playerid35,playerid0,playerid9,customsub0in,playerid36,rightfreekicktakerid,playerid44,playerid27,playerid1,playerid38,playerid31,playerid7,playerid20,playerid39,playerid42,playerid48,playerid13,playerid6,customsub0out,playerid37,playerid5,playerid45,playerid8,playerid14,playerid46,longkicktakerid,playerid12,playerid2,rightcornerkicktakerid,playerid30,customsub1in,playerid15,playerid41,playerid47,playerid23,playerid16,customsub1out,leftcornerkicktakerid,playerid18,playerid4,playerid40,playerid49,customsub2out,teamid,playerid22,playerid24,playerid11,customsub2in,playerid3,captainid,playerid51,leftfreekicktakerid,playerid25,playerid33,playerid19,playerid17,playerid26,playerid50,playerid34,penaltytakerid,playerid32,freekicktakerid,playerid28,playerid21,playerid10,playerid43,playerid29
-1,220901,235790,-1,-1,222665,-1,260143,231936,-1,-1,234378,226491,-1,-1,-1,205498,222665,-1,-1,209989,-1,246669,256958,-1,222665,231448,243715,246669,278773,-1,227813,-1,-1,260144,257711,-1,234378,230666,251805,-1,-1,-1,1,265693,258033,207421,-1,232580,222665,-1,234378,271807,-1,236988,233934,259097,-1,-1,246669,-1,222665,274389,232938,251566,-1,273926
-1,202811,210881,-1,-1,200458,-1,264209,227174,-1,274348,229906,74207,-1,-1,-1,212501,216393,-1,-1,257057,-1,260247,261336,-1,200458,246923,227678,210881,257793,-1,219693,-1,-1,272379,248465,-1,210881,226162,200458,-1,-1,-1,2,236987,210635,199189,-1,241464,210881,-1,200458,246871,264411,247172,207557,243917,-1,279634,200458,260129,200458,271411,212419,221697,-1,72027
-1,240595,238336,-1,-1,235770,-1,274959,232185,-1,-1,218343,264746,-1,-1,-1,242749,234319,-1,-1,212099,-1,257063,173671,-1,212099,238196,242751,218343,-1,-1,195037,-1,-1,270201,231540,-1,235770,245766,235770,-1,-1,-1,3,278314,256965,194017,-1,221281,234319,-1,235770,277556,-1,243167,251522,74055,-1,-1,245652,-1,235770,278317,256366,245652,-1,279225
-1,234803,220039,-1,-1,212366,-1,258532,229073,-1,-1,178287,254522,-1,-1,-1,244559,212366,-1,-1,239377,-1,255913,231951,-1,212366,221705,239540,212366,-1,-1,244240,-1,-1,251311,224447,-1,212366,225867,240912,-1,-1,-1,4,248718,236321,233442,-1,212090,212090,-1,212366,246002,-1,238368,235027,219795,-1,-1,220039,-1,212366,278712,256442,225509,-1,-1
206585,228789,238616,-1,256268,257534,-1,273883,259307,-1,230918,257534,278813,-1,-1,-1,246340,263620,-1,192505,256079,-1,247090,238074,-1,247090,254796,248695,257534,202652,-1,222104,-1,-1,259356,242578,-1,247090,232411,239231,-1,-1,-1,5,273906,269626,237386,-1,262859,247090,-1,257534,229984,272829,242444,258485,204246,-1,260942,257534,277795,257534,278017,229942,259197,-1,71998
-1,204935,208135,-1,-1,243282,-1,270373,152908,-1,270676,232080,225024,-1,-1,-1,245741,193474,-1,-1,266609,-1,243282,247649,-1,243282,243657,202695,243282,279625,-1,253510,-1,-1,74634,180216,-1,243282,261188,244380,-1,-1,-1,7,257896,74635,251892,-1,207599,202695,-1,243282,268631,-1,211784,237704,74413,-1,-1,221479,268633,243282,241599,270866,221479,-1,268632
-1,242656,247361,-1,-1,232104,-1,262096,244591,-1,261492,258906,203215,-1,-1,-1,246053,235735,-1,-1,248384,-1,232104,71814,-1,248384,243134,229266,241184,73354,-1,231838,-1,-1,263324,208892,-1,232104,206534,241184,-1,-1,-1,8,263734,271217,213693,-1,239360,235735,-1,232104,74145,73362,247249,193331,271380,-1,271382,270206,73353,232104,261382,73219,270206,-1,73352
71347,212831,224458,-1,259430,231281,-1,278292,231281,-1,271977,236772,225100,-1,-1,-1,246174,246104,-1,269791,239837,-1,209331,232223,-1,231281,242434,237678,231281,269944,-1,264298,-1,-1,240926,273651,-1,216267,242516,216267,-1,-1,-1,9,265459,264299,232487,-1,203376,203376,-1,231281,253428,278894,253072,240913,266815,-1,264561,209331,279128,231281,71227,271975,241084,-1,260406
-1,210257,239085,-1,-1,192985,-1,277427,271574,-1,-1,192985,231866,-1,-1,-1,203574,207410,-1,-1,218667,-1,270409,188377,-1,192985,253124,239818,192985,210514,-1,208920,-1,-1,269688,253052,-1,192985,206517,251517,-1,-1,-1,10,264681,277961,186942,-1,229237,192985,-1,192985,263169,-1,264349,200159,70996,-1,-1,239085,-1,192985,157804,237692,246420,-1,277295
268415,226753,233064,-1,-1,212198,-1,163264,236401,-1,268442,254088,233049,-1,-1,-1,237238,269136,-1,-1,200145,-1,231677,235243,-1,212198,190460,203263,212198,273599,-1,221660,-1,-1,269087,169588,-1,212198,255475,234574,-1,-1,-1,11,238041,205988,268438,-1,239301,212198,-1,212198,258171,272643,250961,243647,71973,-1,272644,212198,268439,212198,268443,259399,212198,-1,268445
