firstnameid,lastnameid,playerjerseynameid,commonnameid,role3,gkglovetypecode,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
14099,5998,13208,0,33,0,40,137,60201,0,3,0,87,0,90,0,0,0,80,0,19,46,18,76,73,0,0,0,87,9,0,52,21,87,87,7,0,81,83,223101,89,2029,85,92,41,0,0,3,90,87,0,176,0,0,27,69,1,145757,23,0,0,91,72,81,17563680,0,73,1,2,0,65536,87,0,27,13,51,4,87,86,3,4,0,0,0,64,89,86,59,0,0,0,6,2,0,0,25,160273,0,0,14,1,0,4,79,4,0,82,27,0,16,0,3,0,84,3,0,87,501,3,0,0,2,0,0,0,15,0,8,0,88,55,0,12,82,0,0,3
993,26356,26356,0,0,0,41,144,60201,0,2,0,80,0,70,0,0,0,91,0,150,57,-1,62,92,0,0,0,85,5,0,43,15,76,89,9,0,86,87,223101,74,2029,93,76,53,0,0,2004,78,81,0,182,0,0,-1,87,1,141652,25,0,0,82,84,93,134742020,0,78,0,2,0,16,73,0,51,10,49,5,82,85,2,0,0,0,0,79,83,76,94,0,0,1,6,1,0,0,0,160432,0,0,14,1,0,3,87,2,0,83,51,0,9,0,1,0,91,3,0,89,500,3,0,0,2,0,0,0,0,0,2,0,82,27,17,-1,92,0,0,6
24913,15156,15156,0,0,0,19,118,60201,0,3,287,68,0,68,0,0,0,68,0,104,90,-1,86,68,0,0,0,81,8,0,92,15,71,86,14,0,90,88,232001,84,2029,69,75,85,0,0,4003,78,73,0,180,0,0,-1,84,1,142014,14,0,0,84,87,63,11030528,0,76,1,2,0,64,75,0,240,12,84,4,89,70,1,4,0,0,0,93,70,82,75,0,0,1,14,10,0,0,0,160432,0,0,25,1,0,3,77,3,0,91,240,0,14,0,1,1024,69,2,0,86,500,5,0,0,2,0,0,0,0,0,2,0,72,76,0,-1,56,0,0,3
22643,25882,25882,0,0,0,31,121,70000,1,7,0,75,1,70,0,0,0,90,0,75,58,-1,92,71,1,0,0,92,7,0,80,15,87,88,8,0,87,87,223101,92,2029,82,73,40,0,0,2021,78,73,0,171,1,0,18,71,1,143208,14,0,0,85,80,90,82310,0,71,1,2,0,32,87,0,246,5,62,4,91,71,2,1,0,0,0,87,75,89,81,0,0,1,12,8,0,0,0,160432,0,0,14,1,0,4,84,5,0,92,246,0,15,0,2,128,86,1,0,88,500,2,0,0,2,0,0,0,0,0,8,0,74,54,0,-1,83,0,0,7
6920,3081,3081,0,22,0,24,123,60201,0,5,0,95,0,76,0,0,0,88,0,25,67,-1,93,88,5,0,0,94,11,0,68,0,95,88,8,0,90,91,223101,92,2029,80,84,61,0,0,1505,85,82,0,182,1,0,14,75,2,143375,12,0,0,88,80,86,8389283,0,74,0,2,0,8,81,0,250,8,66,4,90,94,2,0,0,0,0,78,77,92,71,0,0,1,13,7,1,0,0,160432,0,0,14,1,0,3,81,2,0,90,250,0,16,0,2,0,85,3,0,88,503,4,0,0,2,0,0,0,11,0,391,0,80,65,3,23,81,0,0,6
24537,15156,15156,0,0,0,43,141,70000,0,6,287,81,0,86,0,0,0,90,0,61,41,-1,64,82,0,0,0,86,11,0,43,0,72,86,16,0,92,87,232001,81,2029,89,87,17,0,0,34,88,86,0,175,0,0,-1,71,0,145269,25,0,0,89,76,88,16842753,0,73,0,2,0,2,86,0,330,13,45,4,81,61,3,0,0,0,0,76,88,76,72,0,0,0,9,2,0,0,25,160111,0,0,25,1,0,4,72,2,0,88,330,0,14,0,2,1024,88,3,0,86,501,4,0,0,2,0,0,0,15,0,2,0,87,50,0,-1,87,0,0,6
16481,24411,24411,0,0,0,26,133,60201,0,6,0,78,0,80,0,0,0,86,0,16,57,-1,77,75,0,0,0,87,14,0,61,15,76,85,10,0,87,87,223101,84,2029,85,84,51,0,0,26,83,84,0,178,1,0,12,68,1,143810,18,0,0,83,65,82,17301504,0,72,1,2,0,2,78,0,524,13,58,3,84,71,2,3,0,0,0,42,82,80,75,0,0,1,12,10,0,0,0,160154,0,0,21,1,0,4,77,3,0,75,524,0,6,0,2,512,85,2,0,85,500,3,0,0,2,0,0,0,0,0,2,0,83,55,18,-1,91,0,0,6
13670,21772,21772,0,25,0,43,131,60201,1,21,28,92,1,92,0,0,0,87,0,71,39,12,78,84,0,0,0,88,9,0,46,11,80,88,13,0,83,89,220001,86,2029,78,95,33,0,0,1001,93,84,0,173,1,0,25,62,0,142749,18,0,0,92,60,88,17104896,0,70,0,2,0,1048576,91,0,570,12,40,4,82,93,4,2,0,0,0,41,90,83,61,0,0,1,15,9,0,0,0,160601,0,0,133,1,0,4,54,4,0,72,570,0,9,0,4,0,83,10,0,88,501,4,0,0,9,0,0,0,15,0,2,0,87,33,0,-1,81,0,0,0
24990,6520,24986,24986,0,0,33,131,2150301,0,3,287,84,0,84,0,0,0,86,0,12,38,-1,84,81,2,0,0,86,15,0,65,15,85,87,6,0,88,81,224001,87,2029,75,84,40,0,0,1516,85,85,0,180,1,0,-1,80,1,142246,18,0,0,89,76,86,17629472,1,74,0,2,0,0,81,0,1025,5,43,4,88,92,3,3,0,0,0,54,81,87,49,0,0,1,5,3,0,0,0,160922,0,0,38,1,0,4,77,4,0,86,1025,0,10,0,3,0,80,5,0,87,503,3,0,0,4,0,0,0,21,0,2,1,83,32,0,-1,78,0,0,0
13664,30922,13297,0,18,0,9,105,2150301,0,3,0,57,0,75,0,0,0,73,0,78,87,14,84,65,0,0,0,48,7,0,89,15,91,89,9,0,87,84,232001,80,2029,58,77,85,0,0,2017,81,83,0,178,1,0,7,73,1,142745,3,0,0,88,78,71,2110468,0,74,0,2,0,8388608,81,0,1041,9,86,5,90,55,1,0,0,0,0,83,82,84,81,0,0,2,7,3,0,0,0,160432,0,0,52,1,0,4,50,5,0,88,1041,0,9,0,1,1216,60,3,0,89,500,2,0,0,2,0,0,0,0,0,2,0,83,84,0,-1,57,0,0,3
