stadiumname,swapcrowdplacement,stadiumid,teamid,forcedhome
Emirates Stadium,0,156,1,0
Villa Park,0,115,2,0
Ewood Park,0,496,3,0
Estadio de las Artes,0,158,4,0
Stamford Bridge,0,28,5,0
Goodison Park,0,265,7,0
Elland Road,0,432,8,0
Anfield,0,13,9,0
Etihad Stadium,0,246,10,0
Old Trafford,0,1,11,0
Riverside Stadium,0,349,12,0
St. James' Park,0,100,13,0
The City Ground,0,449,14,0
MATRADE Loftus Road Stadium,0,337,15,0
St. Mary's Stadium,0,113,17,0
Tottenham Hotspur Stadium,0,409,18,0
London Stadium,0,355,19,0
Estadio de las Artes,0,158,21,0
Signal Iduna Park,0,9,22,0
BORUSSIA-PARK,0,343,23,0
Europa-Park Stadion,0,447,25,0
Estadio de las Artes,0,158,27,0
Volksparkstadion,0,41,28,0
Estadio de las Artes,0,158,29,0
RheinEnergieStadion,0,423,31,0
BayArena,0,12,32,0
Estadio de las Artes,0,158,33,0
VELTINS-Arena,0,30,34,0
MHPArena,0,418,36,0
Weserstadion,0,413,38,0
Allianz Stadium,0,247,45,0
Estadio de las Artes,0,158,48,0
Estadio de las Artes,0,158,50,0
Estadio de las Artes,0,158,52,0
Estadio de las Artes,0,158,54,0
Bluenergy Stadium,0,482,55,0
Estadio de las Artes,0,158,57,0
Estadio de las Artes,0,158,58,0
Estadio de las Artes,0,158,62,0
Stade Bollaert-Delelis,0,488,64,0
Decathlon Arena,0,477,65,0
Groupama Stadium,0,426,66,0
Estadio de las Artes,0,158,67,0
Estadio de las Artes,0,158,68,0
Estadio de las Artes,0,158,69,0
Estadio de las Artes,0,158,70,0
Estadio de las Artes,0,158,71,0
Estadio de las Artes,0,158,72,0
Parc des Princes,0,14,73,0
Estadio de las Artes,0,158,74,0
Estadio de las Artes,0,158,76,0
Estadio de las Artes,0,158,77,0
Celtic Park,0,480,78,0
Estadio de las Artes,0,158,80,0
Estadio de las Artes,0,158,81,0
Estadio de las Artes,0,158,82,0
Estadio de las Artes,0,158,83,0
Ibrox Stadium,0,479,86,0
Estadio de las Artes,0,158,88,0
Estadio de las Artes,0,158,89,0
Estadio de las Artes,0,158,91,0
Estadio de las Artes,0,158,92,0
Stadium 350,0,350,94,0
King Power Stadium,0,335,95,0
Estadio de las Artes,0,158,97,0
Stadium of Light,0,326,106,0
The Hawthorns,0,327,109,0
Molineux Stadium,0,415,110,0
Estadio de las Artes,0,158,121,0
Estadio de las Artes,0,158,127,0
Estadio de las Artes,0,158,142,0
Estadio de las Artes,0,158,143,0
Craven Cottage,0,328,144,0
Estadio de las Artes,0,158,149,0
SchücoArena,0,454,159,0
Vonovia Ruhrstadion,0,473,160,0
Estadio de las Artes,0,158,162,0
Sportpark Ronhof Thomas Sommer,0,474,165,0
Olympiastadion,0,135,166,0
MEWA ARENA,0,414,169,0
Max-Morlock-Stadion,0,422,171,0
Estadio de las Artes,0,158,172,0
Volkswagen Arena,0,406,175,0
Estadio de las Artes,0,158,180,0
Estadio de las Artes,0,158,181,0
Estadio de las Artes,0,158,189,0
Estadio de las Artes,0,158,191,0
Estadio de las Artes,0,158,205,0
Estadio de las Artes,0,158,206,0
Estadio de las Artes,0,158,209,0
Estadio de las Artes,0,158,210,0
Estadio de las Artes,0,158,211,0
Estadio de las Artes,0,158,217,0
Orange Vélodrome,0,29,219,0
Estadio de las Artes,0,158,229,0
Estadio de las Artes,0,158,230,0
Estadio de las Artes,0,158,231,0
Estadio de las Artes,0,158,232,0
Estádio do SL Benfica,0,457,234,0
Estádio do Dragão,0,456,236,0
Estádio José Alvalade,0,486,237,0
Cívitas METROPOLITANO,0,364,240,0
Estadio de las Artes,0,158,241,0
Estadio de las Artes,0,158,242,0
Estadio Santiago Bernabéu,0,2,243,0
Estadio de las Artes,0,158,244,0
Johan Cruijff ArenA,0,15,245,0
De Kuip,0,487,246,0
Philips Stadion,0,463,247,0
Estadio de las Artes,0,158,252,0
Estadio de las Artes,0,158,254,0
Estadio de las Artes,0,158,256,0
Estadio de las Artes,0,158,260,0
Estadio de las Artes,0,158,263,0
Estadio de las Artes,0,158,266,0
Estadio de las Artes,0,158,267,0
Estadio de las Artes,0,158,269,0
Estadio de las Artes,0,158,270,0
Estadio de las Artes,0,158,271,0
Estadio de las Artes,0,158,278,0
Estadio de las Artes,0,158,280,0
Estadio de las Artes,0,158,294,0
Estadio de las Artes,0,158,298,0
Estadio de las Artes,0,158,299,0
Estadio de las Artes,0,158,300,0
Estadio de las Artes,0,158,301,0
Estadio de las Artes,0,158,305,0
Estadio de las Artes,0,158,306,0
Estadio de las Artes,0,158,308,0
Estadio de las Artes,0,158,310,0
Estadio de las Artes,0,158,319,0
Estadio de las Artes,0,158,320,0
Estadio de las Artes,0,158,321,0
Estadio de las Artes,0,158,322,0
Estadio de las Artes,0,158,324,0
RAMS Park,0,494,325,0
Ülker Stadyumu,0,495,326,0
Estadio de las Artes,0,158,327,0
Estadio de las Artes,0,158,347,0
Estadio de las Artes,0,158,357,0
Estadio de las Artes,0,158,361,0
Estadio de las Artes,0,158,378,0
Estadio de las Artes,0,158,379,0
Estadio de las Artes,0,158,381,0
Estadio de las Artes,0,158,383,0
Estadio de las Artes,0,158,393,0
Estadio de las Artes,0,158,417,0
Estadio de las Artes,0,158,418,0
Estadio de las Artes,0,158,420,0
Estadio de las Artes,0,158,423,0
Estadio de las Artes,0,158,433,0
Estadio de las Artes,0,158,436,0
Estadio de las Artes,0,158,445,0
Estadio San Mamés,0,388,448,0
Estadio Benito Villamarín,0,392,449,0
Estadio ABANCA-Balaídos,0,394,450,0
Stage Front Stadium,0,393,452,0
Visit Mallorca Estadi,0,440,453,0
Estadio de las Artes,0,158,456,0
Reale Arena,0,397,457,0
Estadio de las Artes,0,158,459,0
Estadio Mestalla,0,10,461,0
Estadio José Zorrilla,0,427,462,0
Estadio de Mendizorroza,0,399,463,0
Municipal de Ipurua,0,395,467,0
Estadio Martínez Valero,0,465,468,0
Estadio de Gran Canaria,0,391,472,0
Estadio El Sadar,0,437,479,0
Estadio de Vallecas,0,429,480,0
Ramón Sánchez-Pizjuán,0,389,481,0
Estadio de la Cerámica,0,386,483,0
Heinz von Heiden-Arena,0,417,485,0
