isloantobuy,teamidloanedfrom,playerid,loandateend
0,64,70005,161697
0,1917,70030,161697
0,144,70099,161697
0,111138,70134,161697
0,115995,70145,161697
0,14,70229,161697
0,327,70241,161697
0,52,70256,161697
0,1919,70275,161697
0,19,70446,161697
0,131682,70471,161697
0,1745,70650,161697
0,1943,70734,161697
0,76,70768,161697
0,149,70836,161697
0,1808,70841,161697
0,100761,70858,161697
0,206,70922,161697
0,166,70951,161697
0,112096,70952,161697
0,100761,70960,161697
0,9,70994,161697
0,9,70995,161516
0,45,71000,161697
0,418,71059,161516
0,1792,71163,161697
0,31,71177,161697
0,31,71178,161697
0,452,71239,161697
0,1473,71315,161516
0,1477,71328,161516
0,1906,71356,161697
0,115845,71396,161697
0,106,71617,161697
0,607,71832,161697
0,379,72022,161697
0,110374,72035,161697
0,112387,72089,161697
0,54,72097,161697
0,110374,72180,161697
0,1939,72212,161697
0,21,72245,161697
0,21,72301,161697
0,76,72306,161697
0,450,72426,161697
0,116328,72705,161697
0,1871,72923,161697
0,10029,72974,161697
0,234,73035,161697
0,820,73051,161516
0,113299,73060,161667
0,113299,73064,161667
0,1842,73095,161697
0,116328,73231,161697
0,479,73259,161697
0,48,73296,161697
0,110075,73300,161697
0,48,73333,161697
0,115841,73423,161697
0,31,73426,161697
0,1943,73510,161697
0,110,73524,161697
0,1961,73571,161485
0,605,73593,161697
0,13,73611,161697
0,1799,73615,161697
0,449,73630,161697
0,15015,73632,161516
0,116328,73648,161697
0,112139,73745,161697
0,95,73861,161697
0,17,73864,161697
0,1794,73905,161697
0,110556,73928,161697
0,242,73934,161697
0,246,73964,161697
0,45,74064,161697
0,115841,74071,161697
0,457,74091,161697
0,101088,74100,161697
0,1746,74150,161697
0,448,74317,161697
0,115845,74343,161697
0,472,74370,161697
0,144,74430,161697
0,48,74496,161697
0,110556,74520,162062
0,7,74635,161697
0,112096,74690,161697
0,95,74721,161697
0,116010,74741,161697
0,65,74774,161697
0,95,74775,161697
0,95,74860,161697
0,18,74862,161697
0,14,74863,161697
0,1796,74864,161881
0,112387,74949,161697
0,10,74956,161697
0,112393,74964,161697
0,1745,74987,161697
0,191,74992,161697
0,112199,179573,161516
0,1793,181468,161516
0,1928,184242,161697
0,1943,194404,161697
0,244,194879,161697
0,325,198717,161697
0,241,199576,161697
0,5,202652,161697
0,1477,202994,161516
0,112172,204092,161697
0,19,204311,161697
0,206,204451,161697
0,73,205069,161697
0,19,205569,161697
0,22,205693,161697
0,45,206058,161697
0,1958,206430,161697
0,5,206585,161697
0,481,208330,161697
0,240,208421,161697
0,45,208574,161697
0,181,208675,161697
0,112096,209572,161697
0,50,210671,161697
0,1903,210832,161697
0,1874,211068,161697
0,45,211320,161697
0,115841,211361,161697
0,1806,211504,161697
0,115845,211515,161697
0,110178,211723,161697
0,7,211784,161697
0,112172,212188,161697
0,2,212501,161697
0,234,212814,161697
0,86,213017,161697
0,1962,213434,161697
0,18,213648,161697
0,1943,213693,161697
0,236,213917,161697
0,110832,214944,161697
0,115845,214979,161697
0,111708,215015,161516
0,280,215399,161697
0,231,215443,161516
0,169,215556,161697
0,19,215798,161697
0,112096,216247,161697
0,112139,216320,161697
0,112387,216388,161697
0,175,216860,161697
0,2,217036,161697
0,219,219581,161697
0,111711,219614,161881
0,1861,219953,161697
0,110556,219984,161697
0,94,220019,161697
0,111434,220084,161697
0,171,220385,161697
0,241,220440,161697
0,457,221014,161697
0,219,221087,161697
1,38,221168,161697
0,112259,221538,161697
0,111715,221619,161516
0,111708,221990,161516
0,232,222636,161697
0,1744,223007,161697
0,205,223157,161697
0,110373,223570,161697
0,607,223629,161697
0,1831,223697,161697
0,21,223885,162062
0,10,224081,161697
0,110374,224158,161697
0,449,224179,161697
0,481,224309,161697
0,1809,224322,161516
0,325,224718,161697
0,327,224724,161697
0,206,224933,161697
0,7,225024,161697
0,111674,225293,161697
0,361,225310,161697
0,97,225317,161697
0,1831,225533,161697
0,45,225610,161697
0,113974,225844,161697
0,1746,225995,161697
0,111399,225998,161485
0,1938,226018,161697
0,73,226166,161697
0,110556,226468,161697
0,1960,226507,161697
0,1915,227446,161697
0,1961,227929,161697
0,1951,227945,161697
0,1923,228369,161697
0,980,228534,161697
0,1806,228639,161697
0,88,228815,161697
0,94,228888,161697
0,1815,228983,161697
0,142,229046,161485
0,1745,229082,161697
0,1842,229150,161697
0,320,229263,161516
0,95,229901,161697
0,244,230623,161697
0,605,230713,161697
0,112139,230749,161697
0,73,230767,161697
0,111811,230817,161697
0,5,230918,161697
0,1842,231073,161697
0,111706,231167,161697
0,326,231240,161697
0,52,231352,161697
0,1,231448,161697
0,77,231533,161697
0,481,231628,161697
0,1896,231652,161697
0,206,231835,161697
0,171,231874,161697
0,8,232080,161697
0,1937,232114,161697
0,100409,232144,161697
1,271,232225,161697
0,48,232293,161697
0,112115,233018,161668
0,111706,233034,161881
0,11,233049,161697
0,327,233053,161697
0,111716,233057,161516
0,131681,233189,161697
0,1943,233201,161697
0,14,233267,161697
0,8,233301,161697
0,326,233478,161697
0,1923,233484,161697
0,271,233707,161697
0,111434,233732,161697
1,1824,233848,161516
0,1799,233866,161697
0,461,233885,161697
0,66,234078,161697
0,73,234153,161697
0,306,234227,161466
0,320,234358,161697
0,1824,234573,161697
0,673,234683,161697
0,110374,234711,161697
0,1861,234856,161697
0,14,235026,161697
0,171,235157,161697
0,237,235172,161697
0,22,235407,161697
0,112393,235500,161697
0,417,235606,161516
0,4,235807,161697
0,111811,235840,161697
0,111974,235842,161697
0,1744,235867,161697
0,100409,235888,161697
0,10020,235955,161697
0,111706,235966,161516
0,112996,235970,161697
0,483,236276,161697
0,1842,236311,161516
0,4,236321,161697
0,1947,236528,161697
0,14,236530,161516
0,101014,236535,161697
0,1831,236613,161697
0,116034,236648,161697
0,1925,236663,161697
0,111092,236757,161697
0,110374,236791,161697
0,189,236836,161697
0,347,236838,161697
0,1807,236938,161697
0,1947,237185,161697
0,106,237188,161697
0,110373,237335,161697
0,1804,237341,161697
0,1908,237511,161697
0,472,237524,161697
0,232,237560,161697
0,718,237641,161516
0,81,237807,161697
0,14,237809,161697
0,1951,237927,161485
0,1952,237933,161697
0,110556,238004,161697
0,325,238067,161697
0,169,238068,161697
0,1477,238089,161516
0,1516,238236,161516
0,308,238273,161697
0,112096,238519,161697
0,1477,238576,161516
0,450,238756,161697
0,54,238873,161697
0,175,239136,161697
0,36,239138,161697
0,2014,239323,161697
0,115845,239368,161697
0,97,239373,161697
0,1925,239529,161697
0,347,239573,161697
0,166,239589,161697
0,101026,239642,161516
0,113974,239732,161697
0,115841,239770,161697
0,113974,239838,161697
0,69,239956,161697
0,15001,240019,161516
0,1843,240095,161697
0,1745,240240,161697
1,110374,240452,161697
0,319,240499,161516
0,897,240503,161697
0,12,240597,161697
0,450,240654,161697
0,110374,240690,161697
