firstname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,lipcolor,cardstrictness,shoecolorcode2,skinsurfacepack,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,skinmakeup,socklengthcode,weight,eyedetail,gender,headassetid,faceposerpreset,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,nationalitycode,skincomplexion,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Dong-Kyoo,Choi,2150301,0,0,0,92,0,0,31,232001,500,2,165,83,315,143941,0,4,68,2,0,27113,4,3,0,0,0,0,0,4,0,500,176705,167,4,0,30,0,9,0
Hans,de Noteboom,60201,0,0,287,90,0,1,31,232001,4001,1,185,4,315,143870,0,4,88,2,0,27072,4,3,0,0,0,0,0,3,0,500,179576,7,2,0,30,0,6,0
Benoît,Taillade,2150301,0,0,0,149,0,2,31,251101,2007,1,191,16,315,142284,0,4,78,2,0,27109,0,3,0,0,0,0,0,3,0,500,181722,18,4,0,30,0,4,0
Gökberk,Topaloğlu,2150301,0,0,0,16,0,1,31,251101,28,1,172,68,315,146185,0,4,61,2,0,27073,3,3,0,0,0,0,0,3,0,500,181902,48,4,0,30,0,1,0
Gustavo,Apollonio,2150301,0,0,287,29,0,0,31,253101,2001,2,173,31,315,146855,0,4,72,2,0,27074,3,2,0,0,0,0,0,3,0,500,182165,27,2,0,30,0,2,0
Loïc,Dacquigny,2150301,0,9,0,155,0,1,31,253101,4002,2,180,17,315,140357,0,4,74,2,0,27067,0,2,0,0,0,0,0,3,0,500,182553,18,1,0,30,0,2,3
Manuel Rui,Barbosa,60201,0,0,0,97,0,1,31,244101,1521,1,175,78,315,140357,0,4,65,2,0,27070,3,9,0,0,0,0,0,7,0,500,182561,54,6,0,30,0,1,0
Ingvar,Tollefsen,2150301,0,6,0,104,0,1,31,232001,2507,1,186,41,315,141361,0,4,77,2,0,27099,0,5,0,0,0,0,0,2,0,500,182693,36,3,0,30,0,5,6
Mehmet,Yıldıraz,60201,0,0,0,150,0,1,31,251101,3,1,166,76,315,147532,0,4,73,2,0,27109,0,3,0,0,0,0,0,3,0,500,182737,48,4,0,30,0,9,0
Rainier,Vannier,60201,0,0,287,16,0,1,31,232001,4001,0,173,16,315,144545,0,4,63,2,0,27092,3,5,0,0,0,0,0,2,0,500,182753,18,2,0,30,0,1,0
Sung-Kwan,Cho,60201,0,0,0,59,0,1,31,221001,505,1,176,83,315,144075,0,4,69,1,0,27075,4,9,0,0,0,0,0,4,0,500,182754,167,4,0,30,0,2,0
Leonardo,San Milano,60201,0,3,0,100,0,2,31,251101,1,1,176,31,315,144471,0,4,65,2,0,27080,0,4,0,0,0,0,0,4,0,500,182777,27,4,0,30,0,1,0
Zachariasz,Krzywicki,60201,0,1,0,75,0,1,31,232001,2012,1,172,66,315,145720,0,4,75,2,0,27082,4,2,0,0,0,0,0,2,0,500,182780,37,1,0,30,0,3,1
Valente,Larrazábal,60201,0,0,287,21,0,2,31,232001,4003,1,178,53,315,140099,0,4,69,2,0,27080,0,4,0,0,0,0,0,4,0,500,182817,45,3,0,30,0,1,0
Pim,Ploegmakers,60201,0,9,243,0,0,1,31,232001,1517,2,166,10,315,145396,0,4,75,2,0,27099,0,5,0,0,0,0,0,2,0,500,183061,34,2,0,30,0,9,3
Pedro,Orteguilla,60201,0,9,0,291,0,2,31,232001,3507,1,172,53,315,146600,0,4,70,2,0,27092,3,5,0,0,0,0,0,2,0,500,183074,45,3,0,30,0,2,3
