bs_zygomaxilla_NL_XXX_D_U,bs_zygomaxilla_NR_XXX_R_A,bs_mandible_NR_IXA_B_F,bs_maxilla_NL_SXX_N_W,bs_chin_NN_SXX_SL_SR,bs_brow_NL_XLX_R_A,bs_canine_NL_XXX_N,bs_brow_NL_XLX_B_F,bs_brow_NR_SMX_B_F,bs_temple_NR_XXX_B_F,bs_orbits_NR_XXX_N_W,bs_orbits_NR_SXX_D_U,bs_teeth_NN_XXX_D_U,ca_ears_NR_XXX_N_W,bs_cuspid_NR_XXX_SL_SR,fl_eyes_NR_XXX_R_A,bs_skull_NN_SXX_N_W,bs_mandible_NR_XXP_B_F,ca_laryngeal_NN_XXX_N_W,bs_orbits_NL_XXX_R_A,bs_maxilla_NR_IXX_B_F,fl_eyes_NR_XXX_D_U,bs_incisorLower_NL_XLX_U,bs_mandible_NL_SXA_N_W,bs_cuspid_NL_XXX_N,bs_brow_NN_XMX_D_U,ca_ears_NL_XXX_B_F,bs_temple_NL_XXX_R_A,bs_zygomaxilla_NR_XXX_D_U,bs_coronal_NN_SXX_R,bs_incisor_NR_XLX_D_U,bs_incisor_NR_IMX_D_U,bs_brow_NN_XMX_SL_SR,bs_canine_NR_IXX_R,bs_maxilla_NR_SXX_D_U,bs_maxilla_NL_IXX_R_A,bs_incisorLower_NL_XLX_SL_SR,ca_ears_NL_XXX_SL_SR,bs_incisor_NL_IMX_R,bs_incisorLower_NL_XLX_N,bs_noseRoot_NN_XXX_D_U,bs_cuspid_NL_SXX_D_U,bs_incisor_NR_ILX_D_U,ca_ears_NL_XXX_R_A,bs_cuspid_NL_XXX_U,bs_cuspid_NR_SXX_D_U,bs_cuspid_NR_XXX_N,bs_mandible_NR_IXA_N_W,ca_ears_NR_XXX_R_A,bs_skull_NN_SXX_R_A,bs_noseBridge_NN_XXX_N_W,bs_incisorLower_NR_SMX_D_U,bs_chin_NN_XXX_B_F,bs_canine_NL_XXX_SL_SR,bs_incisor_NR_XLX_SL_SR,bs_brow_NR_XLX_N_W,bs_maxilla_NL_IXX_B_F,bs_incisorLower_NR_XLX_U,bs_mandible_NR_SXA_D_U,bs_skull_NN_XXP_N_W,bs_chin_NN_XXX_R_A,bs_orbits_NL_SXX_D_U,bs_temple_NL_XXX_B_F,ca_adamsapple_NN_XXX_D_U,bs_orbits_NL_XXX_N_W,bs_mandible_NL_XXP_N_W,bs_canine_NR_XXX_N,bs_nose_NN_XXX_N_W,bs_incisor_NL_XLX_N_W,bs_mandible_NR_XXP_N_W,ca_laryngeal_NN_XXX_B_F,bs_mandible_NL_IXA_B_F,bs_chin_NN_XXX_SL_SR,bs_molarsLower_NR_XXX_U,bs_brow_NL_XLX_N_W,bs_mandible_NL_IXA_R_A,bs_incisorLower_NL_SMX_D_U,bs_brow_NR_XLX_R_A,bs_incisor_NR_XMX_D_U,bs_cuspid_NR_XXX_U,bs_maxilla_NR_IXX_N_W,bs_mandible_NR_IXA_R_A,bs_incisorLower_NR_XLX_N,bs_noseBridge_NN_XXX_R_A,bs_incisor_NR_IMX_R,bs_canine_NL_IXX_R,bs_mandible_NL_IXA_D_U,bs_orbits_NR_XXX_R_A,bs_incisorLower_NL_SLX_D_U,bs_nose_NN_XXX_B_F,bs_mandible_NL_XXP_R_A,bs_temple_NR_XXX_N_W,bs_chin_NN_XXX_N_W,bs_chin_NN_SXX_D_U,bs_orbits_NR_XXX_B_F,bs_teethLower_NN_XXA_N_W,bs_brow_NL_SMX_D_U,bs_incisorLower_NL_XMX_N,bs_skull_NN_XXP_R_A,bs_chin_NN_SXX_N_W,bs_chin_NN_XXX_D_U,bs_canine_NL_XXX_D_U,bs_brow_NL_SMX_N_W,bs_temple_NL_XXX_N_W,bs_orbits_NL_XXX_B_F,bs_mandible_NR_SXA_B_F,bs_noseRoot_NN_XXX_SL_SR,ca_ears_NL_XXX_N_W,bs_coronal_NN_SXX_D_U,bs_maxilla_NL_IXX_N_W,bs_incisor_NL_XMX_D_U,bs_teeth_NN_XXX_SL_SR,bs_cuspid_NL_XXX_SL_SR,ca_ears_NL_XXX_D_U,bs_forehead_NN_XXX_U,bs_incisor_NL_XMX_N_W,bs_maxilla_NL_IXX_D_U,bs_maxilla_NR_IXX_R_A,bs_molarsLower_NL_XXX_U,bs_coronal_NN_SXX_N_W,bs_canine_NR_IXX_D_U,bs_incisor_NL_XLX_D_U,ca_adamsapple_NN_XXX_B_F,bs_incisor_NR_XMX_SL_SR,bs_temple_NR_XXX_R_A,bs_temple_NL_XXX_D_U,bs_noseRoot_NN_XXX_B_F,bs_orbits_NL_SXX_B_F,bs_forehead_NN_XXX_R_A,bs_orbits_NR_SXX_B_F,bs_incisorLower_NR_XMX_N,bs_temple_NR_XXX_D_U,bs_incisor_NL_XLX_SL_SR,bs_brow_NN_XMX_R_A,bs_zygomaxilla_NR_XXX_B_F,bs_teethLower_NN_XXA_D_U,bs_teeth_NN_XXX_B_F,bs_orbits_NL_SXX_N_W,bs_orbits_NL_XXX_D_U,bs_noseBridge_NN_XXX_SL_SR,bs_maxilla_NR_SXX_B_F,bs_teeth_NN_XXX_R_A,bs_incisor_NR_XMX_N_W,bs_maxilla_NR_IXX_D_U,bs_orbits_NR_SXX_R_A,bs_forehead_NN_XXX_B_F,bs_mandible_NL_IXA_N_W,bs_coronal_NN_SXX_B_F,bs_skull_NN_XXP_SL_SR,bs_coronal_NN_SXX_SL_SR,bs_brow_NL_XLX_D_U,bs_forehead_NN_XXX_SL_SR,bs_maxilla_NL_SXX_B_F,bs_noseRoot_NN_XXX_N_W,bs_incisorLower_NR_XMX_SL_SR,bs_zygomaxilla_NL_XXX_R_A,bs_zygomaxilla_NL_XXX_B_F,bs_maxilla_NL_SXX_R_A,bs_nose_NN_XXX_D_U,bs_mandible_NR_XXP_D_U,bs_incisor_NL_XMX_SL_SR,fl_eyes_NR_XXX_B_F,bs_incisor_NL_ILX_R,bs_molars_NL_XXX_D_U,bs_incisor_NR_XLX_N_W,ca_ears_NR_XXX_SL_SR,bs_brow_NR_SMX_R_A,bs_brow_NN_XMX_B_F,bs_canine_NR_XXX_SL_SR,bs_skull_NN_SXX_F,bs_mandible_NR_SXA_N_W,bs_brow_NL_SMX_R_A,fl_eyes_NR_XXX_N_W,ca_laryngeal_NN_XXX_D_U,bs_molars_NR_XXX_D_U,bs_skull_NN_XXP_D_U,bs_chin_NN_SXX_R_A,bs_mandible_NL_XXP_D_U,bs_forehead_NN_XXX_N_W,bs_nose_NN_XXX_SL_SR,fl_eyes_NL_XXX_B_F,bs_orbits_NR_SXX_N_W,bs_chin_NN_SXX_B_F,bs_noseBridge_NN_XXX_D_U,bs_orbits_NR_XXX_D_U,fl_eyes_NL_XXX_R_A,bs_mandible_NR_IXA_D_U,bs_mandible_NL_SXA_R_A,bs_teeth_NN_XXX_N_W,bs_brow_NL_SMX_B_F,bs_brow_NR_XLX_D_U,bs_maxilla_NR_SXX_N_W,bs_incisor_NL_ILX_D_U,bs_mandible_NL_SXA_B_F,bs_canine_NL_IXX_D_U,ca_laryngeal_NN_XXX_SL_SR,bs_brow_NR_SMX_N_W,bs_incisorLower_NL_XMX_U,bs_zygomaxilla_NR_XXX_N_W,ca_ears_NR_XXX_B_F,bs_incisorLower_NR_XLX_SL_SR,bs_canine_NR_XXX_D_U,bs_orbits_NL_SXX_R_A,bs_skull_NN_XXP_B_F,bs_incisor_NR_ILX_R,bs_incisorLower_NL_XMX_SL_SR,bs_teeth_NN_XXA_N_W,bs_mandible_NL_SXA_D_U,bs_mandible_NR_SXA_R_A,bs_mandible_NL_XXP_B_F,bs_brow_NN_XMX_N_W,fl_eyes_NL_XXX_D_U,bs_skull_NN_SXX_SL_SR,bs_teeth_NN_XXA_D_U,bs_noseBridge_NN_XXX_B_F,bs_brow_NR_XLX_B_F,ca_ears_NR_XXX_D_U,bs_skull_NN_SXX_D_U,fl_eyes_NL_XXX_N_W,bs_noseRoot_NN_XXX_R_A,bs_incisorLower_NR_XMX_U,bs_zygomaxilla_NL_XXX_N_W,bs_brow_NR_SMX_D_U,bs_incisor_NL_IMX_D_U,ca_adamsapple_NN_XXX_SL_SR,bs_nose_NN_XXX_R_A,bs_incisorLower_NR_SLX_D_U,bs_maxilla_NL_SXX_D_U,bs_mandible_NR_XXP_R_A,bs_maxilla_NR_SXX_R_A,assetid,fc_neck_restore,fc_mouthbag_restore
-37,0,13,-49,0,-10,0,16,52,-20,-41,28,48,-4,0,-17,-22,33,43,6,29,30,0,-15,0,-1,-7,-10,-36,0,0,0,2,0,35,-40,2,-4,0,0,-37,0,1,3,0,0,0,-4,6,11,24,0,3,1,0,-6,30,0,-4,22,12,30,-24,34,-35,-23,0,-20,2,-25,-54,14,6,0,-18,42,1,-2,1,0,8,39,0,28,0,0,3,11,0,-11,-32,-32,-18,15,-27,1,9,0,0,4,39,-2,-47,-43,-27,-54,3,-4,2,-14,0,1,1,61,0,9,10,-46,0,45,2,1,-100,2,-14,14,0,11,18,11,0,17,1,21,-16,0,-83,36,-21,-3,8,-16,7,16,-30,-2,-6,0,4,0,-42,-15,13,-43,0,0,-22,28,79,-32,2,0,0,0,4,-11,30,54,0,0,-15,33,-28,13,0,10,24,-31,26,-8,0,29,-19,-9,-30,-12,0,-1,13,55,-41,-46,1,-48,1,-2,-52,0,45,-7,1,1,-28,14,0,1,8,-4,1,34,-38,33,-5,0,-15,12,58,3,-23,16,0,43,10,0,2,12,2,32,-29,28,4373,0,100
-58,5,-11,-75,2,0,0,51,-17,-11,-50,10,17,-75,0,-17,46,38,81,36,-12,75,0,-79,0,9,-18,-20,-66,0,0,1,3,0,38,49,1,-79,0,0,-2,0,0,-19,0,0,0,-15,-23,3,0,0,9,0,0,-22,-9,0,-30,36,0,1,-22,-1,-39,82,0,-11,1,91,7,-11,-24,0,-6,26,2,-5,-1,0,-36,23,0,-26,0,0,-3,29,2,-28,-7,-17,-3,-35,-10,1,-28,0,-30,-46,47,-1,-15,-12,-15,58,6,-62,0,-33,0,-35,-1,33,0,7,-26,54,0,-21,-1,1,-87,1,-15,-21,23,28,31,33,0,-15,1,11,-5,1,-5,43,-4,12,-43,-29,4,-28,-20,0,-20,-27,-6,3,-52,-1,-37,-25,1,0,-11,25,66,-25,0,11,0,1,1,-69,-14,-6,1,0,-69,-10,-58,-9,1,-9,31,-26,14,27,13,45,-67,24,-5,-21,-6,-9,-33,-15,-52,-74,1,58,0,-5,-18,0,13,-19,1,0,-19,-28,0,1,6,-32,-12,36,-49,78,7,2,33,51,37,15,-51,0,0,39,-21,1,5,10,0,38,-5,21,5244,0,100
-45,-22,14,-99,13,13,0,6,44,21,-70,17,28,-42,0,12,-3,61,47,43,10,71,0,-77,0,-14,-23,38,-58,0,-2,0,0,0,22,-1,1,-25,0,0,24,0,0,-30,0,1,0,-5,-30,-41,41,0,1,0,0,-100,11,0,-52,66,18,23,23,-4,-55,-11,0,-43,2,-14,38,16,15,0,-100,54,1,13,-2,0,-47,52,0,4,0,0,1,43,0,-24,-58,-23,6,-27,-17,0,-17,0,-7,-36,55,0,-69,-44,-15,89,-2,-36,-29,-42,0,-8,1,-10,0,9,20,-1,0,31,0,0,-80,2,28,-2,-3,67,34,51,0,-7,1,9,-43,0,-37,3,-10,-1,1,-27,7,19,-26,75,-7,-39,12,-3,-8,-23,1,-48,0,-22,-37,12,44,-100,1,-24,0,1,1,-24,58,-10,0,0,-70,52,-96,-11,1,-56,46,-100,76,11,-31,23,-72,-5,-17,18,-2,-20,-34,35,-10,-100,0,88,2,0,-60,0,89,-27,0,1,-29,-18,0,0,9,-51,-21,60,-52,73,6,1,19,-6,-8,-50,-79,10,0,82,-19,0,1,36,1,19,-54,13,9797,0,100
-100,4,15,-38,3,33,0,-14,88,-26,-46,35,57,29,-1,-50,44,-15,16,-10,74,-12,0,-31,0,22,-24,-18,-100,0,1,0,0,0,38,-10,-1,-54,0,0,-23,2,3,-16,0,0,0,-8,-18,5,23,1,-8,-2,1,55,69,0,-4,33,7,39,-26,9,-46,-19,0,-13,4,-15,26,12,93,0,25,20,0,41,0,0,-29,18,0,29,0,0,30,-10,-1,-29,-10,-18,-28,-31,-5,4,27,0,-12,-31,39,0,30,-19,1,52,2,37,12,-24,2,-15,-1,17,0,6,-5,-9,0,18,1,-1,-47,3,-24,-2,-17,0,-18,-12,0,0,2,19,20,1,-17,38,-12,-3,-40,-4,9,-10,-1,2,-11,-1,2,7,-11,-2,-38,25,2,4,24,17,63,3,2,22,0,0,0,-43,-10,-57,0,0,-34,-7,-69,7,0,-13,34,7,44,-6,12,50,-32,48,-8,-54,28,-15,-29,80,-6,-36,1,50,0,-3,56,0,-14,-25,2,0,-6,-14,0,1,7,-4,-17,-14,100,-12,-1,0,-86,-22,20,12,-65,-2,0,-21,30,0,3,21,1,40,-10,15,70004,0,100
50,16,-17,-41,8,11,0,1,-7,22,-44,14,65,48,0,-20,-57,7,28,-24,63,14,0,-23,0,-86,-25,18,50,0,2,-1,0,0,66,-11,3,-76,0,0,7,3,1,4,0,1,0,52,3,-8,28,7,-4,0,0,-100,62,0,0,28,19,14,20,-1,-42,-14,0,9,0,-12,12,-14,9,0,-90,5,6,7,1,0,-39,4,0,43,0,0,-7,-17,1,-21,-17,-37,-39,-47,-35,-1,43,0,-22,-69,39,0,3,-36,-26,58,0,41,-2,-32,4,3,3,20,19,5,20,-9,0,86,1,1,-67,4,19,37,8,30,3,31,0,35,0,-4,-12,2,28,19,-15,-1,-20,-35,12,19,-22,-90,55,-24,0,4,-40,5,-18,-2,0,16,-11,-9,79,-8,-1,1,0,0,0,-92,-36,-7,-4,0,-31,-35,-87,-4,2,10,45,-5,29,5,9,13,-43,54,-17,-16,-13,10,0,-6,-40,-34,1,57,1,-1,7,0,-12,-29,4,0,-21,-7,0,0,5,1,7,3,-20,18,-12,3,-23,0,20,28,-85,28,0,-17,45,4,2,23,4,65,-18,-8,70020,0,100
-26,9,20,-35,14,16,0,-49,-11,63,-46,25,17,-16,0,-11,7,19,34,16,1,48,0,4,0,-29,-40,-33,-26,0,0,-2,-3,0,29,-2,0,-35,0,0,-20,-1,-1,-4,0,-2,0,8,-4,-22,48,0,-7,0,0,55,0,0,-36,51,11,22,60,-31,-20,74,0,-68,4,84,20,15,-1,0,60,21,0,16,0,0,-45,16,0,-21,0,0,-34,8,-2,-68,-17,-27,6,-29,-35,3,-52,0,-17,-16,-16,0,4,-21,-38,69,-1,-14,26,-54,-2,-12,0,-25,0,12,-8,-3,0,15,0,-1,-52,2,-32,-55,-18,15,-20,22,0,-57,2,44,-43,-1,-45,74,-23,7,-64,-35,8,-8,-20,-11,4,-52,0,-4,-42,-10,-52,-100,0,3,-36,26,7,-67,2,-1,0,0,5,-26,42,-27,0,0,7,40,-33,-21,-1,-22,39,-68,6,28,-22,76,-56,-24,-27,-14,-38,-34,2,-23,-48,-39,-2,68,0,-3,-5,0,-20,-38,-1,0,-15,-68,0,0,9,-34,-33,18,37,55,2,-1,-19,-45,-26,5,-24,0,0,-1,-50,-3,2,7,0,28,-12,24,70508,0,100
47,-35,43,-52,8,28,0,0,-38,3,-5,0,69,-7,0,0,24,29,42,31,83,-40,0,-43,0,-2,9,-5,50,0,0,2,3,0,-30,-8,0,-99,0,0,-52,0,2,17,0,2,0,12,19,-2,-33,1,27,1,0,-62,87,0,-34,46,0,5,-4,-1,-10,0,0,-24,5,0,44,52,-1,0,-64,5,0,32,1,0,-24,11,0,-19,0,0,-7,31,0,-77,-25,-33,-25,-55,-6,0,29,0,-17,-92,47,1,-52,-31,2,79,1,6,7,-27,2,-2,1,-76,0,6,-41,-10,0,48,1,1,-58,0,-10,10,-81,-22,5,-16,0,10,1,4,34,5,-55,-1,2,2,7,16,4,-42,9,-24,16,-13,-2,-4,50,2,4,-77,-1,-36,34,2,80,-44,2,-24,0,3,2,-80,0,-84,2,0,-36,0,-60,-2,2,-16,27,-45,3,7,-10,4,-30,-10,-3,3,-2,-27,-23,-35,45,-46,0,79,0,0,-35,0,61,3,0,0,8,-2,0,2,5,-33,-25,30,-29,-36,-2,7,-57,-12,-80,9,-57,-25,0,63,31,2,0,18,0,-29,-23,0,70540,0,100
-13,17,5,-41,9,16,0,-1,0,19,-25,1,41,-27,0,6,-20,36,29,50,-11,11,0,-54,0,-22,-25,12,-17,0,1,0,0,0,54,-18,2,-22,0,0,-50,2,2,26,0,0,0,-18,26,13,-6,3,15,-1,0,-55,-9,0,34,35,12,9,22,1,-40,0,0,-20,0,-4,-30,8,2,0,-71,52,0,20,1,0,-33,51,0,17,0,0,22,43,0,-42,-39,-23,-16,-22,-41,0,-41,0,-4,-47,46,0,-48,-14,-32,0,4,-4,-4,-46,2,-10,0,-56,0,5,13,-21,0,52,2,0,-90,1,16,-13,-19,10,20,6,0,-9,1,-4,-44,0,-70,-34,-11,0,-32,-7,4,13,-32,8,-18,9,-1,7,-3,-4,-33,7,0,17,-32,43,40,-15,1,18,0,1,0,24,66,-5,-1,0,-57,69,-33,-4,0,-16,33,-13,13,10,12,-31,-44,13,-16,19,19,-15,-9,-8,-9,-39,2,6,1,-2,-63,0,-19,-39,0,2,-34,8,0,0,3,36,-12,36,49,9,-3,1,-35,-15,-58,-6,-44,-20,0,21,-45,0,5,17,0,52,-36,42,70772,0,100
3,-5,-3,-20,3,6,0,45,-35,30,-52,11,67,22,0,-4,9,34,26,-2,75,12,0,-52,0,6,-16,28,8,0,1,0,-3,0,18,-15,-2,-30,0,0,-11,1,1,34,0,2,0,-39,32,16,-14,1,27,0,1,65,74,0,-17,22,3,13,26,-11,-57,-38,0,-43,0,-38,49,2,-3,0,49,50,1,16,1,0,-49,55,0,36,0,0,12,-11,1,4,-34,14,-33,27,-4,0,20,0,-4,-70,44,2,2,-8,2,67,2,37,-10,-50,1,-27,0,-8,38,8,5,-18,0,30,1,0,-40,0,9,33,22,51,11,40,0,44,2,27,-7,0,-11,-27,0,-1,16,-6,5,6,6,-14,-42,18,2,-2,-13,-15,10,31,1,-7,-14,20,39,4,2,-24,0,0,0,-11,-3,14,1,0,-58,4,-50,-5,1,-8,49,2,-1,3,-23,-19,-54,-12,10,0,16,5,-51,-37,-20,-21,-1,67,0,-3,-23,0,42,-24,-1,2,1,25,0,0,4,-19,4,34,36,9,-1,1,-25,31,1,3,-48,27,0,32,20,0,6,17,0,17,-36,16,70773,0,100
0,-9,0,5,3,40,0,-19,76,1,-37,-11,28,3,1,-31,-8,21,1,21,-21,36,0,-51,0,0,-34,-1,2,0,-2,-6,0,0,17,1,1,-26,0,0,-34,-1,-5,-18,0,-3,0,24,-17,10,10,-4,-31,1,-1,62,-18,0,-23,14,9,-5,0,-8,-23,-51,0,-37,3,-44,-7,-2,2,0,62,10,-5,47,-1,0,-62,4,0,12,0,0,-20,23,-4,-38,-32,-18,-14,-38,-5,0,-20,0,-5,-6,36,1,2,-24,-16,35,-2,3,-20,-60,0,-9,-1,-7,0,12,-36,2,0,-17,-1,0,-52,4,0,-20,8,8,-15,6,0,-14,0,30,6,-3,-60,12,-34,-11,-47,-34,6,-36,-1,-37,23,13,0,8,-45,-3,-55,2,-2,-7,-2,-14,-1,-54,2,-6,0,1,0,-31,-31,-41,0,0,-49,-27,-15,-3,0,0,7,-54,2,-5,-10,4,-27,-36,-37,-44,-23,38,-32,70,-50,0,-4,36,1,1,4,0,67,-33,0,0,4,8,0,0,6,-23,38,19,57,35,5,-9,-56,-31,-3,3,-13,-9,0,61,-18,-4,2,17,1,20,-33,-16,71527,100,100
