previousteamid,playerid
11,20801
73,158023
243,165153
34,167495
1629,176580
18,177003
131681,178509
131682,180930
115841,182494
191,185122
240,186345
241,186942
18,188377
21,188545
73,188943
241,189511
461,189513
481,189805
73,190871
1824,190941
5,192119
10,192366
23,192448
1,192563
481,192629
175,192985
1,193301
241,194765
1943,196978
21,197445
10,199304
245,199434
1,199503
32,200104
243,200145
234,200389
5,201024
240,202556
452,202648
10,202652
1,202811
17,203376
7,203574
1796,203841
10,204485
448,204525
29,204638
21,204923
106,204935
32,204963
219,205175
22,205431
5,205452
5,205498
17,205988
38,206113
2,206517
5,207410
1808,207421
23,207862
52,207865
452,208093
45,208333
240,208418
1824,208574
21,208722
1943,208920
11,209297
52,209331
9,209499
34,209658
22,209889
481,209981
240,209989
45,210008
234,210035
242,210047
234,210257
23,210324
110832,210385
45,210935
21,212190
32,212194
237,212198
10,212218
55,212616
112172,212622
52,212831
28,213331
45,213345
573,213516
5,213661
1013,214997
115845,215333
1952,216267
131682,216352
95,216354
95,216393
110998,216460
69,218667
206,220502
95,220697
21,220814
243,220834
1925,221697
111974,222077
10,222492
243,222665
10029,223334
115841,223848
1,223959
110,224293
1952,224371
110,224458
113974,224987
31,225126
112172,225375
449,225659
243,226161
48,226271
131682,226753
448,227127
45,227535
69,228579
66,228618
245,228702
22,229237
36,229476
112172,229558
131681,230621
10,230666
112172,230899
241,230938
116302,231432
241,231443
247,231447
240,231866
1808,231936
131682,232363
112172,232411
115845,232488
65,232580
22,233049
55,233084
175,233195
8,233419
457,233731
66,233927
52,234236
101112,234396
236,234574
36,235073
189,235149
131682,235212
5,235790
245,235844
450,235944
10029,236703
112172,236772
219,236987
48,237086
112172,237678
1824,237679
243,237681
1043,238794
101110,239053
22,239085
245,239301
54,239580
234,239818
1808,239837
1746,240091
236,240130
112809,240950
131681,241096
5,241159
483,241464
481,241486
240,242444
247,242516
246,243245
237,243576
64,243580
1819,243715
101047,244369
247,245367
110374,246430
234,247090
267,247103
1887,247263
45,247394
2014,247679
25,247819
66,247851
74,248243
112172,251517
65,251809
472,251854
237,252145
22,252371
234,253072
78,253149
112670,256197
10,257534
55,259583
66,264652
116034,278219
