leagueid,teamid,nationid
1003,383,54
1003,517,54
1003,567,54
1014,568,54
1003,598,54
1003,1013,52
1003,1035,54
1014,1039,54
1014,1041,54
1003,1043,54
1014,1048,54
78,1318,14
78,1328,10
78,1330,12
78,1331,13
78,1334,17
78,1335,18
78,1337,21
78,1341,24
78,1343,27
78,1352,36
78,1353,37
78,1354,38
78,1355,25
78,1356,39
78,1359,42
78,1362,45
78,1363,46
78,1366,49
78,1367,50
78,1369,52
78,1386,83
78,1387,95
1003,1629,54
1003,1876,52
1014,1877,52
78,1886,23
1003,101083,52
1014,101085,52
1014,101099,56
1003,101101,56
1014,101103,56
1003,101105,56
1014,101108,58
1003,101110,60
78,105035,34
78,110081,35
1014,110395,52
1003,110580,52
1003,110968,53
1003,110969,53
1014,110974,53
1014,110975,55
1003,110978,55
1003,110980,55
1003,110981,57
1014,110982,57
1003,110986,57
1003,110989,61
1003,110990,61
1014,110991,61
1014,110998,60
1014,111001,60
1014,111006,58
1003,111008,58
1003,111010,59
1003,111014,59
1014,111019,52
1014,111022,52
1014,111052,54
78,111111,129
1003,111325,60
1003,111326,60
1003,111327,55
1003,111328,55
1014,111329,58
78,111462,117
78,111473,198
78,111527,182
1014,111710,52
1014,111722,56
1014,112472,54
1014,112535,55
1014,112584,55
1014,112615,60
1014,112667,53
1003,112670,52
1014,112671,58
1014,112705,55
1003,112716,58
1014,112853,61
1003,112908,57
1014,112914,61
2136,113000,70
2136,113002,14
2136,113003,18
2136,113004,21
2136,113007,36
2136,113008,46
2136,113009,95
2136,113010,83
2136,113011,34
2136,113012,45
1014,113029,59
2136,113394,7
1014,113746,57
2136,113984,42
2136,113996,52
1014,114511,59
1014,114577,53
1014,114580,57
1014,114581,57
1014,115491,53
1014,115530,54
1014,115536,60
2136,115682,38
1014,116263,59
1014,116292,53
1014,116295,58
1014,116323,58
2136,116428,24
76,130000,211
76,130001,211
1014,131161,59
1014,131474,61
1014,131511,56
