artificialkey,adsponserid,teamid,isapproved,dynamicimageid
1,1,111235,1,123
2,2,111235,1,1087
3,6,111235,1,126
4,4,111235,1,895
5,3,111235,1,1088
6,2,111235,1,507
7,5,111235,1,124
8,7,111235,1,394
9,16,111235,1,0
10,173,111235,1,0
11,5,31,1,558
12,1,31,1,228
13,3,31,1,158
14,5,31,1,156
15,5,31,1,559
16,9,31,1,663
17,6,31,1,861
18,5,31,1,558
19,188,31,1,0
20,173,31,1,0
21,1,171,1,20
22,1,171,1,698
23,1,171,1,519
24,1,171,1,294
25,1,171,1,20
26,1,171,1,521
27,1,171,1,519
28,1,171,1,292
29,188,171,1,0
30,173,171,1,0
31,6,1831,1,229
32,6,1831,1,863
33,6,1831,1,74
34,6,1831,1,1041
35,6,1831,1,606
36,6,1831,1,602
37,6,1831,1,229
38,6,1831,1,863
39,16,1831,1,0
40,173,1831,1,0
41,5,169,1,349
42,6,169,1,1065
43,1,169,1,349
44,8,169,1,516
45,4,169,1,349
46,3,169,1,346
47,5,169,1,349
48,5,169,1,349
49,16,169,1,0
50,173,169,1,0
51,50,1,1,0
52,255,1,1,0
53,305,1,1,0
54,8,1,1,56
55,255,1,1,0
56,305,1,1,0
57,8,1,1,56
58,255,1,1,0
59,305,1,1,0
60,8,1,1,56
61,50,2,1,0
62,297,2,1,0
63,5,2,1,1115
64,296,2,1,0
65,298,2,1,0
66,299,2,1,0
67,300,2,1,0
68,301,2,1,0
69,302,2,1,0
70,303,2,1,0
71,5,32,1,65
72,4,32,1,668
73,10,32,1,487
74,1,32,1,933
75,8,32,1,497
76,5,32,1,1067
77,8,32,1,8
78,6,32,1,1068
79,16,32,1,0
80,173,32,1,0
81,6,22,1,476
82,6,22,1,38
83,6,22,1,153
84,6,22,1,864
85,6,22,1,82
86,6,22,1,154
87,6,22,1,149
88,6,22,1,151
89,16,22,1,0
90,173,22,1,0
91,1,23,1,584
92,1,23,1,583
93,1,23,1,1062
94,1,23,1,583
95,1,23,1,100
96,1,23,1,1062
97,1,23,1,1063
98,1,23,1,580
99,16,23,1,0
100,173,23,1,0
101,50,1808,1,0
102,5,1808,1,57
103,119,1808,1,0
104,5,1808,1,45
105,24,1808,1,110
106,5,1808,1,24
107,30,1808,1,0
108,4,1808,1,40
109,120,1808,1,0
110,5,1808,1,25
111,1,110176,1,135
112,1,110176,1,136
113,1,110176,1,135
114,5,110176,1,138
115,5,110176,1,139
