competitionid,stage,weather,ballid
1,0,0,80
1,0,2,7
4,0,0,122
4,0,2,7
10,0,0,158
10,0,2,7
13,0,0,68
13,0,2,69
14,0,0,63
14,0,2,56
16,0,0,26
16,0,2,27
17,0,0,88
17,0,2,89
19,0,0,49
19,0,2,50
20,0,0,51
20,0,2,52
21,0,0,49
21,0,2,50
22,0,0,51
22,0,2,52
31,0,0,72
31,0,2,71
32,0,0,92
32,0,2,93
33,0,0,171
39,0,0,41
41,0,0,199
41,0,2,7
50,0,0,90
50,0,2,91
51,0,0,6
53,0,0,29
53,0,2,30
54,0,0,31
54,0,2,32
56,0,0,97
56,0,2,7
60,0,0,63
60,0,2,56
61,0,0,63
61,0,2,56
63,0,0,6
65,0,0,161
65,0,2,7
66,0,0,59
66,0,2,7
68,0,0,98
68,0,2,142
76,0,0,66
78,0,0,66
78,0,2,67
80,0,0,58
80,0,2,7
81,0,0,124
81,0,2,7
83,0,0,42
83,0,2,7
189,0,0,151
189,0,2,7
201,0,0,78
201,0,2,79
201,4,0,78
201,8,0,78
202,0,0,60
202,0,2,60
202,4,0,60
202,8,0,60
203,0,0,61
203,0,2,61
203,4,0,61
203,8,0,61
204,0,0,66
204,0,2,142
204,8,0,66
206,0,0,99
206,0,2,7
206,4,0,99
206,8,0,99
207,0,0,54
207,8,0,54
208,0,0,66
208,0,2,7
208,4,0,66
208,8,0,66
210,0,0,72
210,0,2,72
210,5,0,72
210,8,0,72
211,0,0,72
211,0,2,72
211,8,0,72
212,0,0,66
212,0,2,7
212,4,0,66
212,8,0,66
213,0,0,66
213,0,2,7
213,8,0,66
214,0,0,24
214,0,2,24
214,8,0,24
215,0,0,184
215,0,2,33
215,8,0,184
216,0,0,184
216,0,2,33
216,8,0,184
217,0,0,23
217,0,2,7
218,0,0,66
218,0,2,142
218,8,0,66
219,0,0,87
219,0,2,7
219,8,0,87
220,0,0,6
220,0,2,7
220,8,0,6
221,0,0,6
223,0,0,34
223,0,2,35
223,5,0,109
223,8,0,109
224,0,0,45
224,0,2,118
224,5,0,45
224,8,0,45
225,0,0,29
225,0,2,7
225,8,0,29
226,0,0,47
226,0,2,121
226,5,0,47
226,8,0,47
227,0,0,111
227,0,2,111
227,5,0,48
227,8,0,111
228,0,0,77
228,8,0,77
232,0,0,36
232,8,0,36
233,0,0,28
233,0,2,28
233,8,0,28
234,0,0,66
234,0,2,142
234,8,0,66
241,0,0,6
241,0,2,7
241,8,0,6
242,0,0,6
242,0,2,7
242,8,0,6
243,0,0,6
243,0,2,7
243,8,0,6
244,0,0,6
244,0,2,7
244,8,0,6
245,0,0,6
245,0,2,7
245,8,0,6
268,0,0,66
268,0,2,142
268,8,0,66
308,0,0,81
308,0,2,81
308,8,0,81
314,0,0,66
314,0,2,142
314,8,0,66
330,0,0,180
330,0,2,180
330,8,0,180
332,0,0,6
347,0,0,6
350,0,0,64
350,0,2,142
350,8,0,64
351,0,0,73
351,0,2,67
351,8,0,73
353,0,0,39
353,0,2,7
353,8,0,39
354,0,0,31
357,0,0,37
360,0,0,135
360,8,0,135
361,0,0,135
365,0,0,126
366,0,0,66
390,0,0,189
414,0,0,135
414,8,0,135
451,0,0,26
820,0,0,99
821,0,0,37
822,0,0,37
840,0,0,37
841,0,0,37
842,0,0,37
843,0,0,37
844,0,0,37
845,0,0,37
846,0,0,37
847,0,0,37
848,0,0,37
849,0,0,37
850,0,0,37
851,0,0,37
860,0,0,37
861,0,0,37
862,0,0,37
863,0,0,37
864,0,0,37
865,0,0,37
866,0,0,37
867,0,0,37
868,0,0,37
869,0,0,37
870,0,0,37
871,0,0,37
871,8,0,37
900,0,0,37
901,0,0,37
970,0,0,66
980,0,0,37
981,0,0,37
990,0,0,99
991,0,0,37
992,0,0,37
993,0,0,37
1003,0,0,74
1003,0,2,74
1003,5,0,74
1003,8,0,74
1004,0,0,180
1014,0,0,74
1014,0,2,74
1014,4,0,74
1014,8,0,74
1015,0,0,74
1015,8,0,74
2012,0,0,156
2028,0,0,6
2039,0,0,6
2076,0,0,82
2092,0,0,44
2093,0,0,147
2094,0,0,119
2095,0,0,44
2096,0,0,147
2118,0,0,6
2136,0,0,66
2139,0,0,66
2149,0,0,133
2161,0,0,66
2162,0,0,66
2163,0,0,66
2164,0,0,66
2166,0,0,6
2167,0,0,6
2168,0,0,6
2169,0,0,66
2170,0,0,49
2173,0,0,6
2187,0,0,66
2188,0,0,66
2189,0,0,66
2190,0,0,66
2191,0,0,66
2192,0,0,66
2193,0,0,66
2194,0,0,66
2195,0,0,66
2196,0,0,66
2215,0,0,82
2216,0,0,192
2216,0,2,193
2218,0,0,66
2218,0,2,67
2221,0,0,76
2221,0,2,76
2222,0,0,196
2226,0,0,66
3000,0,0,6
3001,0,0,6
3005,0,0,37
3010,0,0,6
3011,0,0,6
3020,0,0,6
3021,0,0,6
3030,0,0,6
3031,0,0,6
5060,0,0,180
5065,0,0,66
5066,0,0,66
5067,0,0,37
5067,0,2,7
5068,0,0,151
5069,0,0,151
