competitionid,hometeamid,matchupid,homepotid,awayteamid
223,247,1,2,131682
224,237,1,1,433
226,110468,1,2,1906
223,189,2,1,22
224,449,2,0,324
226,1871,2,4,1874
223,64,3,2,325
224,110075,3,3,209
226,1887,3,0,897
223,191,4,2,246
224,1884,4,2,266
226,2,4,0,319
223,1831,5,1,479
224,245,5,0,256
226,77,5,2,1516
223,232,6,3,243
224,711,6,3,1908
226,211,6,1,326
223,481,7,0,13
224,48,7,3,417
226,310,7,5,298
223,1,8,0,241
224,2014,8,1,744
226,1824,8,0,65
223,900,9,3,78
224,86,9,1,483
226,837,9,5,896
223,81,10,3,234
224,9,10,0,219
226,327,10,2,100761
223,230,11,3,1896
224,267,11,2,15001
226,254,11,3,112513
223,38,12,2,236
224,278,12,2,52
226,10032,12,3,673
223,73,13,0,101059
224,252,13,2,101047
226,1898,13,1,1788
223,457,14,1,115841
224,74,14,1,101016
226,263,14,4,100325
223,112172,15,1,10
224,1808,15,0,25
226,80,15,2,393
223,11,16,0,240
224,19,16,0,1809
226,918,16,3,873
223,131681,17,3,819
224,306,17,3,32
226,674,17,1,710
223,21,18,0,115845
224,114385,18,3,114326
226,110374,18,0,231
223,232,19,3,325
224,237,19,1,266
226,1874,19,4,1906
223,479,20,1,900
224,209,20,2,324
226,2,20,0,10032
223,247,21,2,1
224,86,21,1,110075
226,110374,21,0,254
223,1831,22,1,131682
224,256,22,2,417
226,897,22,5,674
223,246,23,2,234
224,744,23,1,711
226,1871,23,4,326
223,189,24,1,38
224,245,24,0,1808
226,1887,24,0,1516
223,243,25,0,230
224,1809,25,1,1908
226,310,25,5,211
223,1896,26,2,241
224,114385,26,3,74
226,393,26,3,896
223,131681,27,3,13
224,2014,27,1,25
226,837,27,5,100761
223,22,28,1,191
224,306,28,3,433
226,112513,28,1,327
223,101059,29,2,78
224,483,29,0,19
226,1898,29,1,673
223,481,30,0,81
224,1884,30,2,252
226,1788,30,4,263
223,21,31,0,236
224,219,31,0,32
226,1824,31,0,298
223,73,32,0,457
224,101016,32,1,52
226,110468,32,2,77
223,10,33,0,115841
224,101047,33,2,114326
226,873,33,4,710
223,240,34,1,112172
224,278,34,2,267
226,80,34,2,65
223,11,35,0,64
224,449,35,0,9
226,918,35,3,231
223,115845,36,1,819
224,15001,36,3,48
226,100325,36,5,319
223,241,37,0,131681
224,1908,37,1,101047
226,1887,37,0,674
223,10,38,0,234
224,1808,38,0,114326
226,837,38,5,393
223,22,39,1,13
224,9,39,0,74
226,211,39,1,1906
223,131682,40,3,191
224,252,40,2,114385
226,896,40,1,1874
223,457,41,1,325
224,245,41,0,86
226,327,41,2,110374
223,479,42,1,246
224,324,42,2,256
226,897,42,5,1516
223,115845,43,1,1831
224,267,43,2,1884
226,100761,43,5,1871
223,115841,44,1,232
224,219,44,0,278
226,1898,44,1,2
223,243,45,0,189
224,209,45,2,433
226,326,45,2,310
223,21,46,0,819
224,110075,46,3,237
226,112513,46,1,1824
223,1,47,0,900
224,744,47,1,1809
226,254,47,3,263
223,240,48,1,78
224,711,48,3,306
226,10032,48,3,1788
223,11,49,0,73
224,32,49,0,483
226,298,49,3,110468
223,481,50,0,112172
224,19,50,0,449
226,710,50,4,77
223,1896,51,2,81
224,48,51,3,266
226,873,51,4,65
223,38,52,2,230
224,52,52,3,15001
