previousteamid,playerid
11,20801
73,155862
73,158023
73,164240
243,165153
34,167495
463,173608
1629,176580
18,177003
1795,178213
21,178603
21,182521
112096,183711
191,185122
1,186153
240,186345
10,186942
23,188350
18,188377
21,188545
73,188943
241,189332
21,189509
241,189511
461,189513
481,189805
73,190871
1824,190941
5,192119
247,192318
10,192366
481,192387
23,192448
1,192563
481,192629
10029,192984
175,192985
243,193041
1,193301
241,194765
1943,196978
21,197445
106,197655
9,198706
481,199451
1,199503
32,200104
243,200145
246,200260
234,200389
5,201024
45,201153
243,201535
241,202556
452,202648
10,202652
1,202811
17,203376
7,203574
1796,203841
10,204485
448,204525
29,204638
110374,204639
21,204923
106,204935
32,204963
219,205175
38,205431
5,205452
5,205498
245,205693
17,205988
38,206113
2,206517
5,207410
1808,207421
237,207566
23,207862
452,208093
45,208333
240,208418
1824,208574
452,208618
21,208722
1943,208920
9,209499
34,209658
22,209889
481,209981
240,209989
234,210035
242,210047
234,210257
23,210324
110832,210385
45,210514
45,210935
21,212190
32,212194
237,212198
10,212218
55,212616
112172,212622
28,213331
45,213345
573,213516
69,213565
17,213648
5,213661
1013,214997
1837,215333
74,215441
1952,216267
95,216354
13,216388
95,216393
110998,216460
1896,216547
66,216594
69,218667
110580,219522
481,219693
95,220697
21,220814
243,220834
3,220901
1925,221697
111974,222077
10,222492
243,222665
10029,223334
115841,223848
452,224179
110,224293
237,224334
1952,224371
110,224458
31,225126
13,225193
112172,225375
243,226161
448,227127
45,227535
10,227813
66,228618
245,228702
467,228813
22,229237
237,229391
112172,229558
452,229668
10,230666
241,230938
116302,231432
241,231443
247,231447
69,231747
240,231866
1808,231936
112172,232411
115845,232488
65,232580
55,233084
175,233195
8,233419
378,233486
457,233731
66,233927
1794,233934
52,234236
101112,234396
236,234574
5,234642
36,235073
45,235243
100888,235410
5,235790
245,235844
450,235944
65,236045
245,236401
112172,236772
219,236987
112172,237678
1824,237679
243,237681
483,237942
1043,238794
101110,239053
22,239085
245,239301
54,239580
234,239818
1808,239837
1746,240091
236,240130
112809,240950
236,241084
10,241461
483,241464
481,241486
211,241671
744,241788
32,241852
247,242516
246,243245
237,243576
64,243580
1819,243715
211,244260
101047,244369
247,245367
1876,246191
483,246242
110374,246430
234,247090
267,247103
1887,247263
45,247394
2014,247679
25,247819
66,247851
74,248243
112172,251517
65,251809
472,251854
237,252145
22,252371
234,253072
1913,253109
78,253149
237,253306
55,259583
