chestbadge,shortsnumberplacementcode,shortsnumbercolorprimg,teamcolorsecb,shortsrenderingdetailmaptype,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,teamcolorprimg,shortsnumbercolorterb,shortsnumbercolorprimr,teamcolortertb,jerseynumbercolorterg,jerseynameoutlinecolorr,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseyrightsleevebadge,jerseynumbercolorprimb,jerseyshapestyle,jerseybacknameplacementcode,teamcolorprimr,jerseynamecolorg,jerseyleftsleevebadge,jerseynameoutlinecolorb,teamcolorsecg,shortsnumbercolorsecg,teamcolortertr,jerseynumbercolorsecg,renderingmaterialtype,shortsnumbercolorterr,teamcolorsecr,jerseycollargeometrytype,shortsnumbercolorterg,jerseynamecolorr,teamcolorprimb,jerseyrenderingdetailmaptype,jerseynameoutlinecolorg,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,teamcolortertg,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,powid,isinheritbasedetailmap,islocked,numberfonttype,jerseynamefonttype,teamkitid,teamcolorprimpercent,teamcolorsecpercent,year,captainarmband,teamtechid,isembargoed,hasadvertisingkit,jerseynameoutlinewidth,dlc,teamcolortertpercent,armbandtype,shortsnumberfonttype,shortstyle,jerseyfit,jerseyrestriction
0,0,0,58,0,0,0,0,0,0,235,0,0,231,0,0,0,0,0,0,0,0,1,235,0,0,0,58,0,231,0,0,0,58,0,0,0,235,0,0,0,0,0,231,0,0,0,0,0,0,1,0,7708,77,15,0,0,0,0,0,0,0,75,0,1,0,0,0
0,0,0,58,0,0,0,0,0,0,235,0,0,231,0,0,0,0,0,0,0,0,1,235,0,0,0,58,0,231,0,0,0,58,0,0,0,235,0,0,0,0,0,231,0,0,1,-1,0,0,0,0,7709,77,15,0,0,0,0,0,0,0,75,0,0,0,0,0
0,1,30,51,0,0,220,220,220,220,231,220,234,230,12,12,45,1,12,13,220,0,1,231,220,0,12,19,220,230,220,0,220,210,0,220,220,231,0,12,220,220,12,230,220,0,0,-1,0,0,262,135,1344,49,44,0,13,1,0,0,2,0,88,1,262,0,0,0
0,1,220,28,0,0,220,220,220,220,252,12,220,30,12,12,220,1,12,13,220,0,1,190,220,0,12,26,220,30,220,0,12,29,7,12,220,5,0,12,220,220,12,30,220,0,1,-1,0,0,262,135,1345,63,29,0,13,1,0,0,2,0,95,0,262,0,0,0
0,1,12,41,0,0,25,12,12,25,217,220,12,19,220,220,12,1,220,13,12,0,1,211,12,0,220,181,25,182,25,0,220,160,7,220,12,30,0,220,25,12,220,230,25,0,2,-1,0,0,265,135,1346,77,9,0,13,1,0,0,2,0,96,1,265,0,0,0
0,1,220,73,0,0,25,12,12,220,65,12,220,62,220,220,220,1,220,13,12,0,1,44,12,0,220,65,220,35,25,0,12,44,0,12,12,73,0,220,25,12,220,43,220,0,3,-1,0,0,265,135,1347,98,98,0,13,1,0,0,2,0,99,1,262,3,0,0
0,1,12,237,0,0,220,220,220,25,12,220,12,230,12,12,12,1,12,13,220,0,1,100,220,0,12,197,25,230,220,0,220,156,0,220,220,37,0,12,220,220,12,230,25,0,0,-1,0,0,262,135,1348,62,36,0,13,2,0,1,2,0,88,1,265,0,0,1
0,1,12,228,0,0,25,12,12,25,226,220,12,226,220,220,12,1,220,13,12,0,1,224,12,0,220,226,25,139,25,0,220,224,22,220,12,228,0,220,25,12,220,182,25,0,1,-1,0,0,265,135,1349,98,98,0,13,2,0,1,2,0,97,1,265,0,0,1
0,1,220,30,0,0,220,220,220,220,30,12,220,29,12,12,220,1,12,13,220,0,1,30,220,0,12,30,220,29,220,0,12,30,7,12,220,30,0,12,220,220,12,29,220,0,2,-1,0,0,262,135,1765,99,99,0,13,2,0,1,2,0,98,0,262,0,0,1
0,1,220,113,0,0,220,220,220,220,162,12,220,202,12,12,220,1,12,13,220,0,1,129,220,0,12,62,220,150,220,0,12,28,0,12,220,196,0,12,220,220,12,176,220,0,3,-1,0,0,262,135,5745,65,28,0,13,2,0,1,2,0,98,0,262,0,0,1
0,1,38,145,0,0,220,225,38,220,231,140,225,231,71,4,29,0,4,14,29,0,1,231,38,0,140,73,220,231,220,0,4,3,11,71,225,231,0,71,220,29,140,231,220,0,0,-1,0,0,238,49,1350,50,46,0,14,3,0,0,2,0,93,0,89,0,0,0
0,1,220,30,0,0,238,220,220,52,39,12,220,29,12,12,220,0,12,14,220,0,1,39,220,0,12,40,57,226,57,0,12,226,7,12,220,39,0,12,52,220,12,38,238,0,1,-1,0,0,238,49,1351,89,8,0,14,3,0,0,2,0,80,0,89,0,0,0
0,1,12,67,0,0,220,12,12,220,233,220,12,71,220,220,12,0,220,14,12,0,1,250,12,0,220,233,220,252,220,0,220,250,0,220,12,67,0,220,220,12,220,236,220,0,2,-1,0,0,238,49,1766,92,92,0,14,3,0,0,2,0,87,1,89,0,0,0
0,1,220,63,0,0,220,194,22,12,229,15,220,63,220,194,220,0,220,60,50,0,1,229,22,0,50,35,12,24,220,0,194,25,0,8,194,229,0,22,220,50,220,36,12,0,0,-1,0,0,23,49,1352,92,5,0,14,4,0,0,0,0,92,1,89,2,0,0
0,1,68,229,0,0,238,220,220,220,72,220,36,232,12,12,69,0,12,60,220,0,1,34,220,0,12,229,220,232,57,0,220,229,5,220,220,73,0,12,52,220,12,232,220,0,1,-1,0,0,23,49,1353,90,7,0,14,4,0,0,2,0,85,0,89,0,0,0
0,1,12,226,0,0,220,12,12,220,193,220,12,226,220,220,12,0,220,60,12,0,1,107,12,0,220,193,220,106,220,0,220,107,0,220,12,226,0,220,220,12,220,192,220,0,2,-1,0,0,23,49,1767,96,96,0,14,4,0,0,2,0,91,1,89,0,0,0
0,1,220,247,0,0,220,220,220,220,60,12,220,112,12,12,220,1,12,13,220,0,1,47,220,0,12,247,220,47,220,0,12,247,0,12,220,113,0,12,220,220,12,60,220,0,0,-1,0,0,262,135,1354,92,5,0,13,5,0,0,2,0,100,0,262,0,0,0
0,1,30,161,0,0,33,28,30,99,34,220,28,44,220,220,77,1,220,13,77,0,1,27,30,0,220,97,41,27,41,0,220,46,26,220,28,44,0,220,99,77,220,33,33,0,1,-1,0,0,265,135,1355,77,22,0,13,5,0,0,2,0,77,0,265,0,0,0
0,1,220,66,0,0,220,220,220,220,230,12,220,65,12,12,220,1,12,13,220,0,1,253,220,0,12,230,220,253,220,0,12,253,0,12,220,66,0,12,220,220,12,230,220,0,2,-1,0,0,262,135,1356,98,98,0,13,5,0,0,2,0,100,1,262,0,0,0
0,1,220,26,0,0,220,220,220,220,212,12,220,190,12,12,220,1,12,13,220,0,1,188,220,0,12,23,220,186,220,0,12,21,7,12,220,192,0,12,220,220,12,210,220,0,3,-1,0,0,262,135,1357,82,16,0,13,5,0,0,2,0,78,0,262,0,0,0
0,1,30,230,0,0,220,220,220,99,75,220,28,207,12,12,77,1,12,13,220,0,1,9,220,0,12,230,41,207,220,0,220,230,0,220,220,125,0,12,220,220,12,207,33,0,0,-1,0,0,262,135,1358,89,9,0,13,7,0,1,2,0,94,0,265,0,0,0
0,1,227,74,0,0,220,224,227,220,80,12,224,64,12,12,41,1,12,13,41,0,1,241,227,0,12,48,220,11,220,0,12,17,0,12,224,81,0,12,220,41,12,42,220,0,1,-1,0,0,262,135,1359,87,10,0,13,7,0,1,2,0,94,0,262,0,0,0
0,1,220,70,0,0,220,220,220,220,106,12,220,50,12,12,220,1,12,13,220,0,1,8,220,0,12,155,220,7,220,0,12,30,0,12,220,57,0,12,220,220,12,90,220,0,2,-1,0,0,262,135,1768,91,6,0,13,7,0,1,2,0,94,0,262,0,0,0
0,1,220,131,0,0,33,28,30,220,192,12,220,167,220,220,220,1,220,13,77,0,1,190,30,0,220,130,220,163,41,0,12,130,7,12,28,195,0,220,99,77,220,164,220,0,3,-1,0,0,265,135,2769,63,32,0,13,7,0,1,2,0,91,0,262,0,0,0
0,1,81,229,0,0,255,28,81,2,229,164,28,228,209,0,164,0,255,14,164,0,1,229,81,0,0,229,209,228,209,0,28,229,0,81,28,229,0,0,2,164,2,228,255,0,0,-1,0,0,23,49,633,97,97,0,14,8,0,0,0,0,96,1,89,0,0,0
0,1,81,82,0,0,255,28,81,2,53,164,28,73,209,0,164,0,255,14,164,0,1,45,81,0,0,53,209,45,209,0,28,45,11,81,28,82,0,0,2,164,2,50,255,0,1,-1,0,0,23,49,634,91,91,0,14,8,0,0,0,0,94,1,89,0,0,0
0,1,193,137,0,0,220,251,193,220,47,220,251,137,220,251,95,0,220,14,95,0,1,178,193,0,95,73,220,106,220,0,220,106,7,220,251,115,0,193,220,95,220,74,220,0,2,-1,0,0,23,49,4385,73,12,0,14,8,0,0,0,0,95,0,89,0,0,0
0,1,220,150,0,0,220,220,220,220,16,12,220,37,12,12,220,0,12,13,220,0,1,134,220,0,12,220,220,133,220,0,12,235,19,12,220,38,0,12,220,220,12,15,220,0,0,-1,0,0,262,135,1360,91,6,0,13,9,0,0,2,0,98,0,262,0,0,0
0,1,220,79,0,0,220,220,220,220,231,12,220,33,12,12,220,0,12,13,220,0,1,230,220,0,12,145,220,33,220,0,12,75,0,12,220,230,0,12,220,220,12,33,220,0,1,-1,0,0,262,135,1361,65,11,0,13,9,0,0,2,0,99,0,262,0,0,0
0,1,220,72,0,0,220,220,220,220,24,12,220,28,12,12,220,0,12,13,220,0,1,21,220,0,12,66,220,21,220,0,12,66,0,12,220,28,0,12,220,220,12,23,220,0,2,-1,0,0,262,135,1769,65,33,0,13,9,0,0,2,0,69,0,262,0,0,0
0,1,220,145,0,0,25,12,12,220,60,12,220,118,220,220,220,0,220,13,12,0,1,72,12,0,220,91,220,77,25,0,12,104,7,12,12,114,0,220,25,12,220,65,220,0,3,-1,0,0,265,135,1770,50,33,0,13,9,0,0,2,0,86,1,262,0,0,0
0,1,30,214,0,0,220,220,220,99,162,220,28,231,12,12,77,1,12,500013,220,0,1,108,220,0,12,162,41,231,220,0,220,108,0,220,220,214,0,12,220,220,12,231,33,0,0,-1,0,0,262,135,1362,92,92,0,13,10,0,1,2,0,97,0,265,0,0,0
0,1,220,224,0,0,220,220,220,220,224,12,220,43,12,12,220,1,12,500013,220,0,1,224,220,0,12,224,220,87,220,0,12,224,10,12,220,224,0,12,220,220,12,40,220,0,1,-1,0,0,262,135,1363,92,92,0,13,10,0,1,2,0,98,0,262,0,0,0
0,1,12,30,0,0,25,12,12,25,111,220,12,85,220,220,12,1,220,500013,12,0,1,239,12,0,220,30,25,237,25,0,220,30,0,220,12,90,0,220,25,12,220,107,25,0,2,-1,0,0,265,135,1771,93,5,0,13,10,0,1,2,0,99,0,265,0,0,0
0,1,220,48,0,0,220,220,220,220,39,12,220,48,12,12,220,1,12,500013,220,0,1,45,220,0,12,39,220,44,220,0,12,45,7,12,220,48,0,12,220,220,12,39,220,0,3,-1,0,0,262,135,4640,94,94,0,13,10,0,1,2,0,97,0,262,0,0,0
0,1,160,231,0,0,25,25,47,131,135,61,219,235,220,220,131,1,220,500013,61,0,1,69,47,0,220,231,160,235,47,0,25,231,9,47,25,193,0,220,61,61,220,235,219,0,4,-1,0,0,262,135,10415,86,13,0,13,10,0,1,2,0,99,0,265,0,0,0
0,1,27,37,0,0,220,20,27,220,163,220,20,227,220,0,77,1,220,500013,77,0,1,117,31,0,0,33,220,226,220,0,220,93,0,220,22,207,0,0,220,77,220,227,220,0,10,-1,0,0,16,18,9368,95,11,0,100,10,0,0,0,0,92,0,16,3,0,0
0,1,220,48,0,0,12,220,220,12,37,12,220,53,12,0,220,1,12,500013,220,0,1,18,220,0,0,30,12,18,12,0,12,172,7,12,220,55,0,0,12,220,12,35,12,0,11,-1,0,0,95,18,9369,87,17,0,100,10,0,0,0,0,94,0,95,0,0,0
0,1,12,42,0,0,220,12,12,220,72,220,12,42,220,0,12,1,220,500013,12,0,1,231,12,0,0,72,220,231,220,0,220,231,19,220,12,42,0,0,220,12,220,72,220,0,12,-1,0,0,16,18,9370,86,10,0,100,10,0,0,0,0,97,0,16,3,0,0
0,1,12,49,0,0,220,220,220,25,20,220,12,230,12,12,12,1,12,13,220,0,1,204,220,0,12,35,25,230,220,0,220,118,0,220,220,51,0,12,220,220,12,230,25,0,0,-1,0,0,262,135,1364,83,8,0,13,11,0,0,2,0,88,1,265,0,0,0
0,1,220,230,0,0,220,220,220,220,53,12,220,31,12,12,220,1,12,13,220,0,1,42,220,0,12,243,220,30,220,0,12,243,11,12,220,52,0,12,220,220,12,31,220,0,1,-1,0,0,262,135,1365,78,15,0,13,11,0,0,2,0,95,0,262,0,0,0
0,1,220,172,0,0,220,220,220,220,77,12,220,135,12,12,220,0,12,13,220,0,1,88,220,0,12,143,220,88,220,0,12,145,7,12,220,135,0,12,220,220,12,77,220,0,2,-1,0,0,262,135,1366,78,9,0,13,11,0,0,2,0,100,0,262,0,0,0
0,1,220,175,0,0,25,12,12,220,223,12,220,52,220,220,220,1,220,13,12,0,1,223,12,0,220,180,220,120,25,0,12,181,0,12,12,218,0,220,25,12,220,39,220,0,3,-1,0,0,265,135,1367,91,6,0,13,11,0,0,2,0,98,1,262,3,0,0
0,1,220,230,0,0,238,220,220,12,14,12,220,30,12,220,220,1,12,14,220,0,1,192,220,0,220,230,12,193,57,0,12,230,0,12,220,30,0,220,52,220,12,14,12,0,0,-1,0,0,23,49,1368,81,18,0,14,12,0,0,0,0,94,0,89,0,0,0
0,1,12,233,0,0,220,12,12,220,231,220,12,231,220,12,12,1,220,14,12,0,1,231,12,0,12,197,220,231,220,0,220,137,0,220,12,231,0,12,220,12,220,231,220,0,1,-1,0,0,23,49,1369,54,39,0,14,12,0,0,0,0,83,1,89,0,0,0
0,1,220,130,0,0,238,220,220,12,173,12,220,239,12,220,220,1,12,14,220,0,1,12,220,0,220,67,12,12,57,0,12,9,0,12,220,238,0,220,52,220,12,173,12,0,2,-1,0,0,23,49,1772,78,12,0,14,12,0,0,0,0,98,1,89,0,0,0
0,1,220,35,0,0,25,12,12,220,218,12,220,41,220,220,220,1,220,13,12,0,1,218,12,0,220,34,220,39,25,0,12,34,22,12,12,218,0,220,25,12,220,39,220,0,0,-1,0,0,265,135,1370,52,44,0,13,13,0,0,2,0,100,0,262,0,0,1
0,1,220,30,0,0,220,220,220,220,129,12,220,231,12,12,220,1,12,13,220,0,1,0,220,0,12,30,220,231,220,0,12,29,0,12,220,94,0,12,220,220,12,231,220,0,1,-1,0,0,262,135,1371,92,7,0,13,13,0,0,2,0,99,0,262,0,0,1
0,1,220,68,0,0,220,220,220,220,120,12,220,92,12,12,220,1,12,13,220,0,1,8,220,0,12,169,220,7,220,0,12,250,7,12,220,92,0,12,220,220,12,119,220,0,2,-1,0,0,262,135,1773,79,8,0,13,13,0,0,2,0,95,0,262,0,0,0
0,1,12,55,0,0,25,12,12,25,43,220,12,45,220,220,12,1,220,13,12,0,1,37,12,0,220,43,25,39,25,0,220,37,11,220,12,55,0,220,25,12,220,39,25,0,3,-1,0,0,265,135,3334,96,96,0,13,13,0,0,2,0,99,1,265,0,0,1
0,1,12,227,0,0,220,220,220,25,26,220,12,231,12,12,12,0,12,13,220,0,1,202,220,0,12,227,25,231,220,0,220,227,0,220,220,55,0,12,220,220,12,231,25,0,0,-1,0,0,262,135,635,92,6,0,13,14,0,1,2,0,93,0,265,0,0,1
0,1,30,185,0,0,220,220,220,220,226,220,234,185,12,12,45,0,12,13,220,0,1,226,220,0,12,160,220,126,220,0,220,127,0,220,220,226,0,12,220,220,12,160,220,0,1,-1,0,0,262,135,636,78,18,0,13,14,0,1,2,0,93,0,262,0,0,1
