competitioncolor1g,badge_ls,competitionid,competitioncolor2r,competitioncolor2g,competitioncolor1b,badge_rs,competitioncolor1r,competitioncolor2b,badge_chest_champions,badge_ls_champions,badge_chest,badge_rs_champions,goalscoringrecord,hasmediarope,celebrationmediapen,isteampitchflagenabledstage,isstanchionflamethrowerenabledstage,celebrationsponsorboard,winterballid,goaljingle,isstadiumdressingenabledstage,isgoallinetechcompenabledstage,abbapenalties,hasvikingclap,subsonbench,competitionimportance,finalballid,presassettwo,adboardplacement,iscompetitionscarfenabled,authentictarpadboardb,introanthemidle,isbannerenabled,pitchtarps,ischampionboardenabled,introconfetti,colorregion,isuniqueadboardscompenabled,ishandshakeboardenabled,country_lock,isballplinthenabledstage,hasstandingcrowd,iscompetitionpoleflagenabled,isteampitchflagenabled,isflamethrowercannonsenabled,hasmascot,iscenterpitchflagenabledstage,iscompetitioncrowdcardsenabled,player_display_pts,isarchwayenabled,isgoallinetechcompenabled,authenticwipe,isrealcompetition,replay360degree,isuniquetrophypedestalenabled,custombibs,isinjuryboardenabled,isintroconfettienabledstage,inflatables,player_display_ptw_tr,iswomencompetition,isstadiumdressingunique,isvanishingsprayhomeenabled,isflamethrowercannonsenabledstage,hasauthentictarpads,isvanishingsprayenabled,finalstadium,stanchionflamethrower,has_var,languageregion,ispitchtarpsenabledstage,celebrationbackboard,adboardplacementstage,isstadiumdressinguniquestage,iscenterpitchflagenabled,crowdregion,pitchbranding,isgoallinetechhomeleagueenabled,stadiumcrowdmap,ballid,celebrationstage,authentictarpadboarda,celebrationarchedboard,isballplinthenabled,introteamportrait,onpitchgraphics,crowdskintonecode,competitionchampionid,haslargeflag,isarchwayenabledstage,isgoalnetadsenabledstage,isstadiumdressingenabled,goalnetads
90,-1,1,250,250,125,100001,0,250,0,0,500001,-1,29,1,1,9,9,1,7,0,9,9,0,0,7,1,80,1,1,1,14,0,1,5,0,0,7,0,3,13,0,0,1,0,0,0,9,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,0,9,0,0,0,9,0,0,0,0,0,80,1,3,0,1,0,0,2,819,0,9,9,0,0
12,100004,4,255,23,12,-1,12,64,0,500004,0,-1,41,1,1,9,9,1,7,1,9,9,0,0,7,1,122,0,0,1,14,0,1,3,0,0,5,0,0,7,0,1,1,0,0,0,9,1,0,0,0,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,0,6,0,1,9,9,0,0,0,1,0,122,0,3,0,1,0,0,2,230,0,9,9,0,0
29,-1,10,250,250,102,100010,39,250,0,-1,0,500010,43,1,1,9,9,1,7,1,9,0,0,0,7,1,158,0,0,0,2,0,1,1,0,0,4,1,0,34,0,1,1,0,0,0,9,1,0,0,1,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,1,6,0,1,9,9,0,0,0,1,0,158,1,2,0,1,0,0,2,246,0,9,9,0,0
19,100013,13,246,247,96,100013,56,247,0,-1,0,500013,36,1,0,9,9,0,69,0,9,0,0,0,7,1,68,0,0,1,0,0,0,0,0,0,3,1,2,14,0,1,0,0,2,1,9,1,0,0,1,3,1,0,1,0,0,9,0,0,0,0,1,8,0,1,0,0,1,1,9,0,9,9,0,0,1,1,0,68,2,0,0,2,0,0,2,10,0,9,9,0,0
155,-1,14,0,20,66,100014,182,137,0,-1,0,100014,59,0,1,9,9,1,56,0,9,0,0,0,7,1,198,0,0,0,12,0,0,1,0,0,3,0,3,14,0,1,0,0,0,0,9,0,0,0,1,1,1,0,0,0,0,9,0,0,0,0,1,9,1,1,0,0,0,1,0,0,9,9,0,0,0,1,0,63,1,4,1,1,0,0,2,1796,0,9,9,0,0
28,-1,16,205,251,62,100016,9,10,0,-1,0,500016,44,1,1,9,9,1,27,0,9,0,0,0,7,1,26,0,1,1,10,0,1,1,0,0,4,1,0,18,0,1,1,0,0,1,9,1,0,2,1,3,1,0,1,0,0,9,0,0,0,0,1,9,1,1,0,0,1,2,0,0,0,9,0,0,1,1,0,26,1,2,0,2,0,0,2,73,0,0,0,0,1
28,-1,17,22,255,62,100017,9,208,0,-1,0,100017,55,1,1,0,9,1,89,0,9,9,0,0,7,1,88,0,1,1,10,0,1,1,0,0,4,0,0,18,0,1,0,1,0,0,9,0,0,2,0,1,1,0,1,0,0,9,0,0,0,0,1,9,1,1,0,0,0,2,0,1,0,9,0,0,0,1,0,88,0,2,0,2,0,0,2,1738,0,0,0,0,1
255,-1,19,210,5,255,100019,255,21,0,-1,0,500019,41,1,1,9,9,2,50,1,9,0,0,0,7,1,49,0,0,1,3,0,1,3,0,1,5,1,0,21,0,1,1,0,0,1,0,1,2,0,1,3,1,1,1,0,0,0,0,0,0,0,1,9,1,1,0,0,1,3,0,0,9,9,1,0,0,1,0,49,2,0,0,2,0,0,2,21,0,9,0,0,1
255,-1,20,210,5,255,100020,255,21,0,-1,0,100020,41,1,1,9,9,1,52,1,9,0,0,0,7,1,51,0,0,1,3,0,1,3,0,0,5,1,0,21,0,1,1,0,0,0,0,1,2,0,1,1,1,1,1,0,0,9,0,0,0,0,1,9,1,1,0,0,1,3,0,0,9,9,1,0,0,1,0,51,1,0,0,2,0,0,2,111235,0,9,0,0,1
1,-1,21,255,255,1,-1,1,255,-1,-1,-1,-1,0,0,1,9,9,1,50,0,8,8,0,0,7,0,49,0,0,1,14,0,1,1,0,0,5,0,0,-1,8,1,1,0,0,0,8,1,2,0,1,1,1,0,0,0,0,9,0,0,0,1,1,9,1,1,0,0,1,3,8,0,9,8,1,0,0,1,0,49,0,3,0,1,0,0,2,-1,0,9,9,1,0
