competitionid,leftbadgeid,teamname,teamid
223,80,LASK,252
224,80,LASK,252
226,80,LASK,252
232,80,LASK,252
223,80,Rapid Wien,254
224,80,Rapid Wien,254
226,80,Rapid Wien,254
232,80,Rapid Wien,254
223,80,Austria Wien,256
224,80,Austria Wien,256
226,80,Austria Wien,256
232,80,Austria Wien,256
223,76,Hajduk Split,263
224,76,Hajduk Split,263
226,76,Hajduk Split,263
232,76,Hajduk Split,263
223,76,Slavia Praha,266
224,76,Slavia Praha,266
226,76,Slavia Praha,266
232,76,Slavia Praha,266
223,76,Sparta Praha,267
224,76,Sparta Praha,267
226,76,Sparta Praha,267
232,76,Sparta Praha,267
223,76,AEK,278
224,76,AEK,278
226,76,AEK,278
232,76,AEK,278
223,76,Olympiacos,280
224,76,Olympiacos,280
226,76,Olympiacos,280
232,76,Olympiacos,280
223,16,ESTAC Troyes,294
224,16,ESTAC Troyes,294
226,16,ESTAC Troyes,294
232,16,ESTAC Troyes,294
223,41,Rosenborg BK,298
224,41,Rosenborg BK,298
226,41,Rosenborg BK,298
232,41,Rosenborg BK,298
223,41,Lillestrøm SK,299
224,41,Lillestrøm SK,299
226,41,Lillestrøm SK,299
232,41,Lillestrøm SK,299
223,41,Viking FK,300
224,41,Viking FK,300
226,41,Viking FK,300
232,41,Viking FK,300
223,330,Universitatea Craiova,308
224,330,Universitatea Craiova,308
226,330,Universitatea Craiova,308
232,330,Universitatea Craiova,308
223,330,Rapid București,310
224,330,Rapid București,310
226,330,Rapid București,310
232,330,Rapid București,310
223,76,CSKA Moskva,315
224,76,CSKA Moskva,315
226,76,CSKA Moskva,315
232,76,CSKA Moskva,315
223,56,IFK Göteborg,319
224,56,IFK Göteborg,319
226,56,IFK Göteborg,319
232,56,IFK Göteborg,319
223,56,Malmö FF,320
224,56,Malmö FF,320
226,56,Malmö FF,320
232,56,Malmö FF,320
223,56,Halmstads BK,321
224,56,Halmstads BK,321
226,56,Halmstads BK,321
232,56,Halmstads BK,321
223,16,Stade Brestois 29,378
224,16,Stade Brestois 29,378
226,16,Stade Brestois 29,378
232,16,Stade Brestois 29,378
223,16,Stade de Reims,379
224,16,Stade de Reims,379
226,16,Stade de Reims,379
232,16,Stade de Reims,379
223,76,PAOK,393
224,76,PAOK,393
226,76,PAOK,393
232,76,PAOK,393
223,41,Molde FK,417
224,41,Molde FK,417
226,41,Molde FK,417
232,41,Molde FK,417
223,41,Tromsø IL,418
224,41,Tromsø IL,418
226,41,Tromsø IL,418
232,41,Tromsø IL,418
223,66,Górnik Zabrze,420
224,66,Górnik Zabrze,420
226,66,Górnik Zabrze,420
232,66,Górnik Zabrze,420
223,56,AIK,433
224,56,AIK,433
226,56,AIK,433
232,56,AIK,433
223,53,Athletic Club de Bilbao,448
224,53,Athletic Club de Bilbao,448
226,53,Athletic Club de Bilbao,448
232,53,Athletic Club de Bilbao,448
223,54,Real Sporting de Gijón,459
224,54,Real Sporting de Gijón,459
226,54,Real Sporting de Gijón,459
232,54,Real Sporting de Gijón,459
223,56,IF Elfsborg,700
224,56,IF Elfsborg,700
226,56,IF Elfsborg,700
232,56,IF Elfsborg,700
223,56,IFK Norrköping,702
224,56,IFK Norrköping,702
226,56,IFK Norrköping,702
232,56,IFK Norrköping,702
223,56,Örebro SK,705
224,56,Örebro SK,705
226,56,Örebro SK,705
232,56,Örebro SK,705
223,56,Hammarby IF,708
224,56,Hammarby IF,708
226,56,Hammarby IF,708
232,56,Hammarby IF,708
223,56,Djurgårdens IF,710
224,56,Djurgårdens IF,710
226,56,Djurgårdens IF,710
232,56,Djurgårdens IF,710
223,56,BK Häcken,711
224,56,BK Häcken,711
226,56,BK Häcken,711
232,56,BK Häcken,711
223,68,Fraport-TAV Antalyaspor,741
