firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,managerid,accessorycode4,hairtypecode,lipcolor,skinsurfacepack,accessorycode3,accessorycolourcode1,headtypecode,height,seasonaloutfitid,birthdate,skinmakeup,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,teamid,eyecolorcode,personalityid,accessorycolourcode3,accessorycode1,headclasscode,nationality,sideburnscode,accessorycolourcode4,headvariation,skintonecode,outfitid,skincomplexion,accessorycode2,hairstylecode,bodytypecode,managerjointeamdate,accessorycolourcode2,facialhaircolorcode
Mikel,Mikel Arteta,Arteta Amatriain,50101,0,0,243,254782,0,160,0,232001,0,0,2521,175,5557,145895,0,75,0,2,0,45119,4,3,1,5,1,0,0,0,45,0,0,0,3,5566,4,0,0,81,159678,0,0
Unai,Unai Emery,Emery Etxegoien,30301,0,0,0,237389,0,30,0,253101,0,0,2020,181,5541,142099,0,75,1,2,0,237389,3,0,2,4,1,0,0,0,45,0,0,0,4,5574,3,0,0,81,160725,0,0
,,,1130201,0,5,287,53686,0,655,0,253101,0,0,2021,183,5551,145139,0,84,0,2,0,26541,2,3,3,6,0,0,0,0,14,0,0,0,2,5566,2,0,0,82,161190,0,3
,,,1130201,0,6,245,257088,0,114,0,232001,0,0,3500,191,5511,145139,0,75,0,2,0,26541,2,3,4,6,1,0,0,0,14,0,0,0,2,5578,2,0,0,85,159872,0,3
Mauricio,,Pochettino,50101,0,3,246,8885,0,174,0,253101,0,0,2512,182,5511,142219,0,81,1,2,0,8885,2,3,5,4,0,0,0,0,52,0,0,0,1,5510,2,0,0,82,160967,0,22
Sean,,Dyche,30301,0,27,28,51404,0,43,0,253101,0,0,3500,183,5538,141971,0,86,1,2,0,51404,1,0,7,6,1,0,0,0,14,0,0,0,3,5517,1,0,0,82,160815,0,17
,,,30301,0,5,251,249179,0,35,0,253101,0,0,1546,182,5509,145139,0,75,0,2,0,26541,3,3,8,6,0,0,0,0,21,0,0,0,3,5713,3,0,0,82,160970,0,23
Arne,,Slot,1130201,0,0,287,250808,0,0,0,232001,0,0,48,184,5509,144609,0,75,1,2,0,250808,2,0,9,4,0,0,0,0,34,0,0,0,2,5725,2,0,0,82,159325,0,3
Josep,Pep Guardiola,Guardiola i Sala,30301,0,6,289,169894,0,0,0,253101,0,0,1502,180,5509,141810,0,73,1,2,0,243712,3,4,10,4,1,0,0,0,45,0,0,1,4,5718,3,0,0,81,158411,0,9
Erik,,ten Hag,1130201,0,9,58,249329,0,0,0,253101,0,0,4008,182,5509,141460,0,75,1,2,0,249329,3,0,11,5,0,0,0,0,34,0,0,0,5,5507,3,0,0,81,160977,0,3
,,,1150101,0,3,251,265587,0,129,0,232001,0,0,4008,188,5557,145139,0,75,0,2,0,26541,2,3,12,6,0,0,0,0,14,0,0,0,2,5569,2,0,0,84,160717,0,3
Eddie,,Howe,1130201,0,1,287,232297,0,118,0,253101,0,0,2021,178,5511,144317,0,75,1,2,0,232297,2,0,13,2,0,0,0,0,14,0,0,0,3,5510,2,0,0,81,160367,0,1
Nuno Herlander,Nuno Espírito Santo,Espírito Santo,30301,0,23,40,250187,0,26,0,253101,0,0,507,188,5511,142913,0,75,0,2,0,250187,6,0,14,9,1,0,0,1,38,0,0,0,6,5722,6,0,0,85,161139,0,8
,,,30301,0,9,243,250029,0,633,0,232001,0,0,1541,178,5560,145139,0,75,0,2,0,26543,3,0,15,7,1,0,0,0,45,0,0,0,3,5507,3,0,0,82,161088,0,0
Russell,,Martin,30301,0,3,266,254124,0,42,0,232001,0,0,2517,185,5557,147275,0,75,0,2,0,254124,1,0,17,3,0,0,0,1,42,0,0,0,1,5713,1,0,0,85,160957,0,3
Ange,,Postecoglou,30301,0,8,259,220812,0,655,0,251101,0,0,2007,184,5511,139840,0,75,1,2,0,220812,4,0,18,5,0,0,0,0,195,0,0,0,1,5578,4,0,0,83,160967,0,8
David,,Moyes,1130201,0,24,0,235732,0,648,0,253101,0,0,3516,185,5511,138985,0,79,1,2,0,235732,1,0,19,8,0,0,0,0,42,0,0,0,3,5506,1,0,0,85,159687,0,4
,,,50101,0,5,238,250585,0,310,0,232001,0,0,2000,192,5551,145139,0,75,0,2,0,26540,2,3,21,1,1,0,0,0,21,0,0,0,2,5506,2,0,0,84,160868,0,9
Edin,,Terzić,1130201,0,19,254,260049,0,162,0,232001,0,0,57,184,5511,146113,0,75,0,2,0,260049,2,0,22,6,0,0,0,1,21,0,0,0,2,5566,2,0,0,82,160602,0,5
,,,30301,0,3,287,138420,0,35,0,253101,0,0,2512,186,5507,145139,0,83,0,2,0,26541,3,3,23,6,0,0,0,0,47,0,0,0,3,5507,3,0,0,85,160237,0,6
