isloantobuy,teamidloanedfrom,playerid,loandateend
0,115995,70145,161332
0,1877,70291,161516
0,112391,70584,161332
0,111022,70691,161516
0,112199,179573,161516
0,34,192660,161332
0,110770,193247,161332
0,112096,208008,161332
0,112390,209166,161332
0,112172,212188,161697
0,112139,213901,161332
0,576,213949,161332
0,111708,215015,161516
0,112139,216320,161332
0,175,220085,161332
0,1877,220148,161516
0,1824,221323,161332
0,112139,221498,161332
0,112259,221538,161697
0,111715,221619,161516
0,607,221772,161332
0,1474,221912,161347
0,112713,221955,161516
0,111708,221990,161332
0,101085,222693,161516
0,1744,223007,161697
0,21,223885,162062
0,112096,224962,161332
0,1013,225282,161516
0,111710,225858,161516
0,111399,225998,161485
0,28,226524,161332
0,116280,226991,161332
0,1876,227186,161332
1,1831,227558,161332
0,1477,227659,161347
0,111674,227785,161332
0,101085,227903,161881
0,1951,227945,161697
0,32,228505,161332
0,980,228534,161697
0,160,228614,161332
0,112172,228941,161332
0,1831,229286,161332
0,1516,229436,161332
0,36,229453,161332
0,112139,230749,161332
0,1877,231212,161516
0,111710,231219,161516
0,110588,231424,161332
0,8,232080,161697
0,112670,232765,161516
0,112670,232826,161332
0,111019,232832,161516
0,112139,232901,161332
0,2056,233011,161347
0,112115,233018,161668
0,111716,233057,161516
1,1824,233848,161516
0,1877,234108,161516
0,306,234227,161466
0,166,234333,161332
0,320,234358,161334
0,112670,234466,161516
0,485,234945,161332
0,576,235056,161332
0,171,235157,161332
0,10029,235424,161332
0,116011,235594,161332
0,112139,235634,161332
0,100409,235888,161332
0,101085,235925,161516
0,111706,235966,161516
0,112996,235970,161332
0,1831,236613,161332
0,169,236624,161332
0,189,236836,161697
0,820,236875,161332
0,982,237965,161347
0,607,238043,161332
0,1477,238089,161516
0,101085,238093,161516
0,112558,238394,161347
0,982,238574,161347
0,1831,238662,161332
0,175,239136,161332
0,166,239589,161332
0,100409,239712,161332
0,319,240499,161516
0,112670,240576,161516
0,101084,240955,161516
0,694,241027,161516
0,1876,241568,161516
0,112096,241963,161697
0,710,242062,161332
0,112670,242073,161332
0,980,242082,161347
0,10030,242562,161332
0,1516,242612,161332
0,607,242661,161332
0,10032,242759,161516
0,1477,243061,161815
0,980,243175,161815
0,607,243213,161332
0,45,243237,161697
0,171,243378,161332
0,982,243824,161668
0,503,244024,161332
0,25,244068,161332
0,298,244220,161516
0,36,244233,161332
0,112670,244757,161516
0,28,244859,161332
0,236,245021,161332
0,1473,245054,161815
0,111711,245057,161516
0,605,245268,161332
0,111706,245439,161516
0,112115,245981,161347
0,112885,246033,161516
0,1877,246263,161516
0,2056,246345,161697
0,269,246399,161332
0,320,246549,161332
0,15,246604,161697
0,149,246789,161697
0,113057,246837,161332
0,1877,246910,161516
0,1794,246946,161363
0,694,247014,161485
0,710,247042,161332
0,1516,247187,161332
0,112670,247400,161516
0,101100,247565,161697
0,209,247640,161697
0,100761,248443,161697
0,980,250896,161697
0,21,250955,161332
0,112965,251139,161516
0,10030,251307,161332
0,112172,251451,161697
0,320,251502,161332
0,897,251604,161332
0,101085,251613,161516
0,100081,251781,161697
0,896,251851,161332
0,101088,252168,161516
0,111708,252193,161516
0,110765,252659,161668
0,9,252897,161697
0,112172,252911,161332
0,110395,253012,161516
0,100409,253036,161332
0,10029,253170,161332
0,28,253171,161332
0,36,253173,161332
0,1704,253182,161332
0,169,253474,161332
0,1888,253983,161332
0,127,254138,161697
0,1877,254228,161516
0,670,254503,161697
0,110580,254586,161516
0,112885,254695,161516
0,1473,254814,161347
0,111019,254816,161516
0,175,254928,161332
0,110404,254951,161516
0,45,255001,161697
0,1473,255035,161668
0,1473,255160,161347
0,101088,255217,161516
0,1876,255256,161516
0,2056,255297,161815
0,189,255349,161516
0,694,255457,161516
0,101085,255462,161516
0,112115,255500,161668
0,982,255554,161516
0,110502,255562,161332
0,503,255564,161332
0,1876,255924,161516
0,189,256036,161516
0,111715,256146,161516
0,111716,256167,161516
0,1474,256252,161815
0,1915,256326,161516
0,31,256564,161332
0,1824,256658,161332
0,10029,256674,161332
0,900,256726,161332
0,918,256748,161516
0,2056,256791,161668
0,230,256944,161332
0,112172,257007,161332
0,169,257075,161332
0,110500,257172,161332
0,900,257244,161332
0,1013,257380,161516
0,36,257399,161332
0,1877,257549,161516
0,100409,257637,161332
0,308,257765,161697
0,112390,257965,161332
0,111710,258048,161516
0,111710,258051,161516
0,110580,258082,161516
0,237,258103,161332
0,112713,258116,161516
0,111706,258149,161516
0,101084,258200,161516
0,38,258316,161332
0,111019,258528,161516
0,111138,258667,161516
0,101083,258700,161516
0,694,258718,161347
0,1887,258731,161516
0,101100,259053,161332
0,21,259082,161332
0,112172,259233,161332
0,110580,259486,161516
1,25,259586,161332
0,270,259644,161332
0,1824,259750,161332
0,1439,259920,161334
0,112390,260250,161332
0,1478,260474,161668
0,111706,260593,161332
0,700,260880,161516
0,100409,260925,161332
0,78,260951,161485
0,234,260952,161332
0,21,260978,161332
0,112689,261011,161516
0,111019,261096,161516
0,1809,261098,161516
0,1474,261123,161815
0,10032,261164,161332
0,112670,261183,161516
0,674,261244,161332
0,111716,261273,161516
0,111706,261275,161516
0,605,261357,161332
0,111019,261369,161516
0,5,261375,161516
0,112558,261490,161347
0,31,261528,161332
0,29,261653,161332
0,100409,261745,161697
0,112828,261756,161516
0,1013,261884,161516
0,101083,261885,161516
0,1013,262083,161332
0,1876,262240,161516
0,112391,262272,161332
0,100409,262579,161332
0,112996,262585,161332
0,25,262663,161332
0,25,263076,161332
0,171,263077,161332
0,101088,263229,161516
0,112996,263295,161332
0,165,263315,161332
0,38,263404,161332
0,234,263439,161332
0,111710,263500,161516
0,1877,263689,161516
0,1877,263692,161516
0,1516,263761,161332
0,605,263824,161332
0,1474,263845,161668
0,896,263883,161332
0,31,263887,161332
0,101083,264147,161516
0,113018,264263,161332
0,417,264295,161516
1,1824,264409,161332
0,115995,264891,161332
0,115998,264975,161332
0,115997,265034,161332
0,32,265194,161332
0,116011,265253,161332
0,116011,265264,161332
0,116010,265304,161332
0,116012,265333,161332
0,10029,265577,161332
0,31,265799,161332
0,1896,266152,161332
0,1477,266323,161347
0,299,266334,161354
0,1824,266392,161332
0,64,266673,161697
0,1876,266725,161516
0,234,266905,161332
0,116010,266911,161332
0,116343,267374,161332
0,234,267594,161697
0,112670,267625,161516
0,101088,267627,161516
0,112260,267740,161485
0,110395,267852,161332
0,110396,267900,161516
0,111708,267987,161516
0,1874,268098,161516
0,22,268116,161332
0,101059,268300,161516
0,115995,268478,161332
0,112670,268558,161516
0,231,268618,161332
0,1477,268895,161516
0,111710,269690,161516
0,1824,269701,161332
0,111706,269739,161516
0,605,269933,161332
0,36,269951,161332
0,1824,269994,161332
0,234,270109,161332
0,110636,270136,161332
0,900,270328,161332
0,485,270403,161697
0,111710,270456,161516
0,873,270540,161697
0,110093,270822,161516
0,237,270857,161332
0,71,270894,161363
0,116016,271107,161332
0,1925,271173,161697
0,10029,271246,161332
0,205,271467,161516
0,55,271575,161516
0,1831,271659,161332
0,31,271681,161332
0,1877,271933,161516
0,252,272404,161697
0,115995,272482,161332
0,10029,272497,161697
0,171,272601,161332
0,485,272660,161332
0,1877,272721,161516
0,110093,272753,161516
0,605,272830,161332
0,34,272832,161516
0,320,272930,161516
0,320,272935,161516
0,116009,273010,161332
0,101084,273081,161516
0,110953,273700,161516
0,1786,273851,161516
0,1876,273866,161516
0,21,274101,161332
0,110396,274144,161516
0,1877,274145,161516
0,111138,274268,161516
0,417,274538,161516
0,111022,274570,161516
0,1896,274700,161332
0,271,274710,161516
0,169,275094,161332
0,101085,275278,161516
0,1900,275552,161332
0,112387,275568,161332
0,605,275593,161332
0,36,276304,161697
0,171,276310,161697
0,607,276343,161332
0,710,276434,161363
0,10,276528,161516
0,112139,276673,161332
0,237,276901,161332
0,1896,276996,161332
0,112096,277233,161697
0,21,277373,161332
0,271,277473,161332
0,112387,277475,161332
0,918,277501,161516
0,112670,277517,161516
0,693,277619,161332
0,1876,277621,161516
0,21,277668,161332
0,101088,277687,161516
0,101085,277891,161516
0,237,277923,161332
1,418,277991,161363
0,112139,278127,161332
0,69,278260,161697
0,111715,278471,161516
0,1876,279166,161516
0,681,279630,161332
0,110093,279776,161516
0,101088,279834,161516
