firstnameid,lastnameid,playerjerseynameid,commonnameid,role3,gkglovetypecode,role2,role1,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,curve,jerseystylecode,agility,tattooback,accessorycode4,gksavetype,positioning,tattooleftarm,hairtypecode,standingtackle,preferredposition3,longpassing,penalties,animfreekickstartposcode,lipcolor,isretiring,longshots,gkdiving,icontrait2,interceptions,shoecolorcode2,crossing,potential,gkreflexes,finishingcode1,reactions,composure,skinsurfacepack,vision,contractvaliduntil,finishing,dribbling,slidingtackle,accessorycode3,accessorycolourcode1,headtypecode,driref,sprintspeed,undershortstyle,height,hasseasonaljersey,tattoohead,preferredposition2,strength,shoetypecode,birthdate,preferredposition1,tattooleftleg,skinmakeup,ballcontrol,phypos,shotpower,trait1,socklengthcode,weight,hashighqualityhead,eyedetail,tattoorightarm,icontrait1,balance,gender,headassetid,gkkicking,defspe,internationalrep,shortpassing,freekickaccuracy,skillmoves,faceposerpreset,usercaneditname,avatarpomid,finishingcode2,aggression,acceleration,paskic,headingaccuracy,iscustomized,runningcode2,modifier,gkhandling,eyecolorcode,jerseysleevelengthcode,accessorycolourcode3,accessorycode1,playerjointeamdate,headclasscode,tattoofront,nationality,preferredfoot,sideburnscode,weakfootabilitytypecode,jumping,personality,gkkickstyle,stamina,playerid,accessorycolourcode4,gkpositioning,headvariation,skillmoveslikelihood,trait2,shohan,skintonecode,shortstyle,overallrating,smallsidedshoetypecode,emotion,runstylecode,muscularitycode,skincomplexion,jerseyfit,accessorycode2,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,animpenaltiesstartposcode,pacdiv,defensiveawareness,runningcode1,preferredposition4,volleys,accessorycolourcode2,tattoorightleg,facialhaircolorcode
17888,7608,16829,0,0,0,0,35,30301,0,3,0,87,0,90,0,0,0,80,0,19,46,18,76,73,0,0,0,87,9,0,52,21,87,87,7,0,81,83,223101,89,2029,85,92,41,0,0,3,90,87,0,176,0,0,27,69,1,145757,23,0,0,91,72,81,17563680,0,73,1,2,0,65536,87,0,27,13,51,3,87,86,3,4,0,0,0,64,89,86,59,0,0,0,6,2,0,0,0,160273,0,0,14,1,0,4,79,4,0,82,27,0,16,0,3,0,84,3,0,87,501,3,0,0,2,0,0,0,15,0,8,0,88,55,0,12,82,0,0,3
1319,34088,34088,0,0,0,0,141,30301,0,2,0,80,0,70,0,0,0,91,0,150,57,-1,62,92,0,0,0,85,5,0,43,15,76,89,9,0,86,87,223101,74,2029,93,76,53,0,0,2004,78,81,0,182,0,0,-1,87,1,141652,25,0,0,82,84,93,134217732,0,78,0,2,0,16,73,0,51,10,49,5,82,85,2,0,0,0,0,79,83,76,94,0,0,1,6,1,0,0,22,160432,0,0,14,1,0,3,87,2,0,83,51,0,9,0,1,0,91,3,0,89,500,3,0,0,2,0,0,0,0,0,2,0,82,27,17,21,92,0,0,6
32166,19327,19327,0,0,0,0,18,30301,0,3,287,68,0,68,0,0,0,68,0,104,90,-1,86,68,0,0,0,81,8,0,92,15,71,86,14,0,90,88,232001,84,2029,69,75,85,0,0,4003,78,73,0,180,0,0,-1,84,1,142014,14,0,0,84,87,63,11014208,0,76,1,2,0,16384,75,0,240,12,84,4,89,70,1,4,0,0,0,93,70,82,75,0,0,1,14,10,0,0,0,160432,0,0,25,1,0,3,77,3,0,91,240,0,14,0,1,1024,69,2,0,86,500,5,0,0,2,0,0,0,0,0,2,0,72,76,0,-1,56,0,0,3
29218,33449,33449,0,0,0,0,119,1130201,1,7,0,75,1,70,0,0,0,90,0,75,58,-1,92,71,1,0,0,92,7,0,80,15,87,88,8,0,87,87,223101,92,2029,82,73,40,0,0,2021,78,73,0,171,1,0,18,71,1,143208,14,0,0,85,80,90,82310,0,71,1,2,0,32,87,0,246,5,62,4,91,71,2,1,0,0,0,87,75,89,81,0,0,1,12,8,0,0,0,160432,0,0,14,1,0,4,84,5,0,92,246,0,15,0,2,128,86,1,0,88,500,2,0,0,2,0,0,0,0,0,8,0,74,54,0,-1,83,0,0,7
8680,3998,3998,0,0,0,0,124,30301,0,5,0,95,0,76,0,0,0,88,0,25,67,-1,93,88,5,0,0,94,11,0,68,0,95,88,8,0,90,91,223101,92,2029,80,84,61,0,0,1505,85,82,0,182,1,0,14,75,2,143375,12,0,0,88,79,86,8389283,0,74,0,2,0,8,81,0,250,8,66,5,90,94,2,0,0,0,0,78,77,92,71,0,0,1,13,7,1,0,0,160432,0,0,14,1,0,3,69,2,0,90,250,0,16,0,2,0,85,3,0,88,503,4,0,0,2,0,0,0,11,0,391,0,80,65,3,23,81,0,0,6
31716,19327,19327,0,0,0,0,41,1130201,0,6,287,81,0,86,0,0,0,90,0,61,41,-1,64,82,0,0,0,86,11,0,43,0,72,86,16,0,92,87,232001,81,2029,89,87,17,0,0,34,88,86,0,175,0,0,-1,71,0,145269,25,0,0,89,76,88,16842753,0,73,0,2,0,2,86,0,330,13,45,4,81,61,3,0,0,0,0,76,88,76,72,0,0,0,9,2,0,0,0,160111,0,0,25,1,0,4,72,2,0,88,330,0,14,0,2,1024,88,3,0,86,501,4,0,0,2,0,0,0,15,0,2,0,87,50,0,21,87,0,0,6
23777,9108,9108,0,0,0,0,113,50101,1,0,0,48,0,57,0,0,0,50,0,82,87,-1,70,53,0,0,0,57,7,0,89,15,51,88,11,0,85,90,220001,71,2029,40,59,85,0,0,5002,66,83,0,185,1,0,10,90,1,140947,5,0,0,74,88,71,134275088,0,81,0,2,0,2048,56,0,1116,5,88,4,74,40,1,2,0,0,0,91,80,65,87,0,0,1,14,3,0,0,0,160432,0,0,18,1,0,3,82,4,0,81,1116,0,8,0,1,64,51,10,0,88,500,3,0,0,9,0,0,0,0,0,4,0,82,90,0,-1,50,0,0,0
11451,6251,6251,0,0,0,0,112,50101,0,3,0,61,0,82,0,0,0,35,0,43,93,-1,68,51,0,0,0,48,11,0,94,15,57,89,13,0,89,80,224001,53,2029,38,57,92,0,0,42,67,77,0,176,1,0,-1,85,1,142779,5,0,0,68,83,56,167798784,0,74,1,2,0,4096,80,0,1183,14,93,5,71,36,1,3,0,0,0,83,83,62,88,0,0,1,6,8,0,0,0,160684,0,0,27,1,0,3,91,2,0,76,1183,0,13,0,1,64,44,3,0,89,500,2,0,0,4,0,0,0,0,0,2,0,80,93,0,-1,41,0,0,0
13296,40773,40773,0,0,0,0,31,50101,0,3,0,87,0,82,0,0,0,87,0,83,43,-1,81,86,0,0,0,87,15,0,32,15,82,87,8,0,88,83,232001,85,2029,90,91,36,0,0,3,89,83,0,168,1,0,25,59,1,140152,18,0,0,89,63,88,17104904,0,67,1,2,0,1,84,0,1201,14,41,4,87,90,3,1,0,0,0,62,87,85,62,0,0,0,14,9,0,0,0,160432,0,0,27,1,0,4,51,3,0,74,1201,0,7,0,2,0,88,4,0,87,500,3,0,0,2,0,0,0,0,0,8,0,85,40,0,-1,81,0,0,3
40726,40694,40694,0,0,0,0,131,30301,0,0,287,87,0,78,0,0,0,90,0,29,76,-1,95,88,0,0,0,92,10,0,83,31,92,94,7,0,94,96,223101,96,2029,89,96,65,0,3,2502,94,82,0,185,1,0,14,86,59,142332,18,0,0,96,84,88,17105057,0,77,0,2,0,524288,85,0,1397,15,73,5,96,90,4,3,0,0,0,77,84,94,86,0,0,1,8,10,0,0,26,160432,0,0,18,1,0,5,73,2,0,86,1397,0,12,0,3,0,90,4,0,94,503,5,0,0,2,0,0,0,30,0,85,0,83,62,0,-1,91,0,0,0
