fl_lipUpper_NR_SCX_R_A,fl_eyelids_NR_ICX_R_A,fl_lipUpper_NL_SCX_D_U,fl_buccomandibularGroove_NR_XXX_L,mu_platysma_NR_ILX_N_W,fl_lipUpper_NL_SXX_B_F,mu_masseter_NR_XXX_L_M,fl_lipLower_NR_ICX_B_F,mu_platysma_NR_ILX_D,fl_lipLower_NL_IXX_R_A,fl_eyelids_NR_SLX_R_A,fl_lipUpper_NR_SLX_B_F,fl_lipLower_NL_IXX_B_F,fl_epicanthic_NL_XCX_D_U,fl_lipUpper_NL_SXX_R_A,fl_lipLower_NR_ILX_R_A,fl_lipUpper_NN_SMX_N_W,fl_lipLower_NR_ILX_D_U,fl_lipUpper_NL_SXX_D_U,mu_temporalis_NR_XXX_L_M,fl_lipLower_NR_ICX_D_U,fl_lip_NN_XMX_B_F,mu_trapezius_NN_SXX_L_M,fl_eyelids_NL_SLX_N_W,fl_eyelids_NR_ICX_D_U,fl_nasojugalGroove_NR_XXX_L_M,fl_lip_NR_XCX_D_U,mu_sternomastoid_NL_XXX_R_A,fl_eyelids_NL_XLX_D_U,fl_lipUpper_NR_SCX_D_U,mu_masseter_NL_XXX_L_M,fl_eyelids_NR_SMX_R_A,fl_lipLower_NR_SLX_B_F,fl_lip_NL_XLX_D_U,fl_lip_NN_XMX_R_A,fl_lipUpper_NR_ILX_R_A,fl_eyelids_NR_SCX_N_W,mu_platysma_NN_SMX_D_U,fl_lipUpper_NN_IMX_D_U,fl_eyelids_NR_ILX_D_U,fl_lipLower_NR_IXX_N_W,fl_nasojugalGroove_NL_XXX_L_M,fl_lipLower_NN_IMX_SL_SR,fl_lipLower_NL_SLX_R_A,fl_epicanthic_NR_XMX_D_U,fl_lipUpper_NL_ILX_B_F,mu_platysma_NL_SLX_D,fl_lipUpper_NR_SXX_N_W,mu_procerus_NN_XXX_D_U,fl_lipUpper_NL_ILX_R_A,fl_lipLower_NR_SLX_N_W,fl_lip_NR_XLX_D_U,fl_eyelids_NL_SLX_R_A,fl_lip_NL_XCX_N_W,fl_lipLower_NL_SLX_B_F,fl_eyelids_NL_SMX_R_A,fl_lipUpper_NR_ILX_N_W,fl_epicanthic_NR_XCX_B_F,fl_lipLower_NN_IMX_D_U,fl_eyelids_NL_SCX_D_U,fl_eyelids_NR_SLX_N_W,fl_lipLower_NL_IXX_N_W,fl_eyelids_NR_XLX_D_U,fl_eyelids_NR_SMX_N_W,fl_eyelids_NL_ILX_D_U,fl_oromentalGroove_NR_XXX_L,fl_epicanthic_NR_XLX_D_U,fl_nasolabialGroove_NL_SXX_L_M,fl_eyelids_NR_XMX_D_U,fl_lipUpper_NN_SMX_B_F,mu_platysma_NR_SLX_D,fl_buccalRecess_NL_XXX_D_U,fl_epicanthic_NL_XLX_D_U,fl_epicanthic_NR_XLX_R_A,fl_nasojugalGroove_NL_XXX_D_U,fl_lipLower_NR_IXX_R_A,fl_lipLower_NN_SMX_SL_SR,mu_procerus_NN_XXX_L_M,mu_platysma_NL_SLX_N_W,fl_lipLower_NN_IMX_R_A,fl_eyelids_NL_SCX_R_A,fl_lipUpper_NR_SXX_B_F,fl_lipLower_NN_IMX_B_F,fl_eyelids_NL_IMX_D_U,fl_epicanthic_NR_XCX_D_U,fl_lipLower_NL_SLX_N_W,fl_lipUpper_NL_SLX_D_U,fl_lipUpper_NN_SMX_R_A,fl_epicanthic_NL_XMX_N_W,fl_lip_NR_XLX_B_F,fl_lipLower_NL_ICX_D_U,fl_eyelids_NL_IMX_N_W,fl_buccalRecess_NR_XXX_L_M,fl_lipLower_NL_SLX_D_U,fl_lipUpper_NL_SLX_N_W,fl_epicanthic_NR_XMX_R_A,fl_lip_NN_XMX_N_W,fl_eyelids_NR_SCX_R_A,mu_platysma_NR_SLX_N_W,fl_epicanthic_NL_XLX_N_W,mu_trapezius_NN_SXX_D_U,fl_orbitalGroove_NL_IXX_L_M,fl_philtrum_NN_XXX_D_U,fl_eyelids_NR_ILX_R_A,fl_nasojugalGroove_NR_XXX_D_U,mu_corrugator_NR_XXX_D_U,fl_lipUpper_NR_ILX_D_U,mu_platysma_NN_IMX_D,fl_lip_NL_XLX_R_A,fl_eyelids_NL_SCX_N_W,fl_oromentalGroove_NL_XXX_L,fl_lip_NN_XMX_D_U,fl_lipLower_NN_IMX_N_W,fl_philtrum_NN_XXX_N_W,fl_eyelids_NR_SMX_D_U,fl_epicanthic_NL_XMX_B_F,fl_epicanthic_NR_XLX_N_W,fl_eyelids_NR_XMX_N_W,fl_eyelids_NL_SCX_F,fl_lipLower_NR_SLX_D_U,fl_lip_NL_XCX_D_U,fl_lipLower_NL_ICX_N_W,fl_mandibularGroove_NR_XXX_L,fl_lip_NR_XCX_R_A,fl_epicanthic_NL_XMX_R_A,fl_eyelids_NL_XLX_R_A,fl_lip_NL_XLX_B_F,fl_epicanthic_NR_XCX_N_W,fl_lipLower_NR_ICX_R_A,fl_chinCleft_NN_XXX_SL_SR,fl_lipUpper_NR_ILX_B_F,mu_sternomastoid_NL_XXX_L_M,fl_epicanthic_NL_XMX_D_U,fl_lipUpper_NR_SCX_B_F,fl_lip_NL_XCX_R_A,fl_nasolabialGroove_NL_IXX_L,fl_lipLower_NR_SLX_R_A,mu_corrugator_NL_XXX_L_M,fl_epicanthic_NL_XCX_R_A,fl_lip_NL_XCX_B_F,fl_lipUpper_NN_IMX_N_W,fl_chinCleft_NN_XXX_D_U,mu_corrugator_NL_XXX_D_U,fl_eyelids_NR_SLX_D_U,fl_nasolabialGroove_NR_SXX_L_M,fl_philtrum_NN_XXX_R_A,fl_epicanthic_NL_XLX_B_F,fl_eyelids_NR_XLX_N_W,fl_lipLower_NL_IXX_D_U,fl_lipLower_NL_ICX_B_F,fl_lipUpper_NL_SCX_R_A,fl_eyelids_NL_ILX_N_W,fl_eyelids_NR_SCX_D_U,fl_mandibularGroove_NL_XXX_L,fl_epicanthic_NL_XCX_B_F,fl_lipUpper_NN_IMX_SL_SR,fl_eyelids_NR_IMX_R_A,fl_lip_NR_XLX_N_W,fl_lipLower_NR_ILX_B_F,mu_corrugator_NR_XXX_L_M,fl_lipUpper_NL_SCX_B_F,fl_eyelids_NR_ICX_N_W,fl_lipLower_NL_ICX_R_A,fl_philtrum_NN_XXX_B_F,fl_eyelids_NL_XMX_R_A,fl_lipUpper_NR_SLX_R_A,fl_lip_NR_XCX_N_W,fl_lipUpper_NL_SLX_R_A,fl_epicanthic_NR_XMX_N_W,fl_lipUpper_NN_SMX_D_U,fl_lipLower_NR_ILX_N_W,fl_epicanthic_NR_XCX_R_A,fl_lipLower_NL_ILX_B_F,fl_eyelids_NL_IMX_R_A,fl_lipUpper_NR_SXX_D_U,fl_eyelids_NR_SCX_F,mu_platysma_NN_SMX_N_W,fl_lipLower_NL_ILX_R_A,fl_eyelids_NR_ILX_N_W,fl_buccalRecess_NR_XXX_D_U,fl_epicanthic_NL_XLX_R_A,fl_lipUpper_NL_SLX_B_F,fl_lipLower_NR_IXX_D_U,mu_sternomastoid_NR_XXX_L_M,mu_platysma_NL_ILX_D,fl_lipUpper_NN_IMX_B_F,fl_eyelids_NR_XMX_R_A,fl_eyelids_NL_ILX_R_A,fl_orbitalGroove_NR_IXX_L_M,fl_buccomandibularGroove_NL_XXX_L,mu_platysma_NL_ILX_N_W,fl_eyelids_NL_ICX_R_A,fl_eyelids_NR_XLX_R_A,fl_lip_NL_XLX_N_W,fl_lipLower_NN_SMX_R_A,mu_sternomastoid_NR_XXX_R_A,fl_eyelids_NL_SMX_D_U,fl_buccalRecess_NL_XXX_L_M,fl_eyelids_NL_ICX_D_U,fl_eyelids_NL_XMX_N_W,fl_lipLower_NN_SMX_D_U,fl_epicanthic_NR_XMX_B_F,fl_lipUpper_NR_SLX_N_W,fl_nasolabialGroove_NR_IXX_L,fl_lipUpper_NR_SCX_N_W,fl_lipUpper_NL_ILX_D_U,fl_epicanthic_NR_XLX_B_F,fl_eyelids_NL_XLX_N_W,fl_lip_NR_XLX_R_A,fl_eyelids_NL_SLX_D_U,fl_eyelids_NR_IMX_N_W,mu_temporalis_NL_XXX_L_M,fl_lipUpper_NL_SXX_N_W,fl_lipLower_NR_ICX_N_W,fl_lip_NR_XCX_B_F,fl_lipUpper_NN_SMX_SL_SR,fl_lipLower_NL_ILX_D_U,fl_lipLower_NN_SMX_B_F,fl_lipUpper_NR_SXX_R_A,fl_epicanthic_NL_XCX_N_W,fl_lipUpper_NN_IMX_R_A,fl_philtrum_NN_XXX_SL_SR,fl_lipLower_NL_ILX_N_W,fl_lipLower_NR_IXX_B_F,fl_eyelids_NL_ICX_N_W,fl_eyelids_NL_SMX_N_W,fl_eyelids_NL_XMX_D_U,fl_lipUpper_NL_SCX_N_W,fl_lipUpper_NR_SLX_D_U,fl_lipLower_NN_SMX_N_W,fl_lipUpper_NL_ILX_N_W,fl_eyelids_NR_IMX_D_U,assetid
-15,15,48,0,-3,-34,20,-17,0,-28,-11,32,-19,-34,7,-2,-6,-8,9,-14,-29,6,-21,17,-15,17,0,5,54,48,17,-7,-23,42,31,-10,38,13,-14,8,-11,8,14,16,-5,-9,0,16,17,-10,-7,38,-12,3,-27,-2,0,-9,4,69,20,-5,57,18,11,0,-18,31,-17,3,0,18,-15,-6,-3,-26,6,-56,8,12,-31,-27,-16,48,-40,-3,-35,-12,-4,-34,-28,10,24,-40,-19,-14,29,-34,12,-28,-3,46,34,-26,2,65,-20,0,-10,25,0,25,21,33,-3,-25,-28,17,0,-44,0,16,0,24,-15,-9,-33,-20,3,-10,-5,-13,-11,-9,22,0,14,-19,28,-14,36,5,68,23,36,-4,30,-35,-42,-17,-12,-23,72,0,-16,16,-18,41,41,-19,-10,14,2,28,24,-28,3,-28,2,-5,-21,25,36,-17,8,0,12,0,-19,19,-10,26,-44,-12,0,-12,20,-27,40,0,-1,18,-11,41,8,5,-3,19,-8,10,24,-21,-15,0,1,-20,28,-33,-19,23,16,-8,16,4,-11,12,-6,13,4,-30,-13,8,-30,-10,5,15,-22,7,-37,-3,0,47,70004
-23,24,36,0,-2,-31,-1,8,0,-41,8,27,-20,13,18,16,-8,5,10,-39,-9,5,0,33,-5,6,-3,4,37,32,-6,28,-33,50,30,0,18,14,-33,4,-34,6,30,30,-11,-8,0,30,38,-3,-24,49,9,-27,-31,24,-14,-1,0,10,32,-40,40,27,8,0,12,-1,-11,-12,0,15,15,9,21,-43,15,-45,1,-26,-15,-26,5,39,9,-20,-1,-8,15,-30,-15,-1,26,-37,-10,-8,23,-19,4,-47,1,40,61,12,15,0,-17,0,-2,23,0,11,29,50,8,-21,-47,37,0,-38,0,-7,0,20,-3,17,-26,-18,-10,-5,-10,43,-11,-37,25,0,28,-12,5,-20,39,0,0,-16,0,12,24,-12,-47,11,-25,27,14,0,0,28,-5,44,36,-10,-34,14,-11,14,18,-31,-21,-28,12,26,-18,4,38,-2,9,0,30,15,25,15,4,29,-48,43,0,6,16,15,39,0,-2,28,15,41,1,8,7,27,-5,40,18,-13,1,0,0,-17,27,-11,-8,-18,2,-44,35,-2,-20,17,7,15,17,-16,-9,16,-28,-16,15,29,-13,-8,-1,-3,-20,40,70020
-32,20,11,0,-9,-44,-20,24,0,4,-17,28,-17,78,2,3,-7,57,-42,58,66,-62,0,32,-65,-51,9,15,26,10,-20,-3,-75,-21,-4,-3,-14,11,-8,-31,-54,-51,42,39,7,-21,0,-1,3,-4,-33,-22,-18,-24,-73,-3,-35,-22,82,51,32,-58,32,29,-27,0,-67,-79,13,-47,0,4,-66,-12,-22,3,16,-13,-6,-12,-34,-46,-23,67,73,-34,-16,-52,-51,-43,66,-9,29,-6,-54,-5,19,-31,-7,-22,2,22,3,-25,-28,43,1,0,60,-17,0,26,8,79,-31,-54,-24,34,0,-6,8,3,0,-14,-5,-11,-42,-23,7,-12,-23,-22,13,-45,-11,0,41,-69,13,-72,60,-3,33,36,-80,-2,34,-23,9,24,-33,-6,50,0,-19,39,-11,47,45,-70,-43,-38,7,-6,60,-45,-23,-45,-51,-50,-68,11,46,-7,-43,0,33,1,-6,5,-13,31,7,-22,0,-36,58,-28,1,0,-7,24,-12,47,-17,15,-26,33,-51,36,-2,-56,-52,0,17,1,32,-24,60,31,-7,58,-3,7,-73,32,58,-38,3,-23,-38,25,-67,-17,-39,24,17,12,-17,0,-35,63,70508
-49,18,10,0,-7,10,-1,18,0,-28,-8,79,10,-15,2,-19,-41,28,-4,10,47,-26,54,12,14,13,0,17,-6,8,4,0,-27,-35,-2,-25,18,-7,40,8,-65,7,23,-1,-50,-10,0,3,21,-26,-24,-40,-11,-14,-24,0,-50,0,68,5,11,-72,-9,30,9,0,-69,36,-17,-1,0,21,-76,13,-28,-31,8,2,0,-33,-21,7,-7,70,-7,-24,-44,-30,-2,-5,47,2,22,5,-51,-27,-14,-19,-2,8,31,-1,52,-15,-19,-4,-15,0,71,16,0,72,52,40,-24,-12,9,-8,0,4,1,-55,0,-15,-31,-20,-6,-22,-18,-15,-13,-8,-54,6,-15,0,2,8,-13,-32,34,16,1,21,36,-23,38,-4,13,19,-52,-23,6,0,5,26,-18,18,76,7,4,-23,-19,0,52,-30,-13,-34,-3,54,-54,-8,78,-20,-6,0,52,-22,-22,19,14,81,13,-7,0,-1,52,-16,-4,0,-9,19,-21,18,5,13,-25,15,16,-2,20,-13,-52,0,-42,-11,35,-3,74,21,1,2,4,-45,-36,15,29,-5,3,-27,-23,14,-47,8,-21,30,-18,-46,-47,4,-49,69,70540
-18,40,11,0,-7,-9,-25,10,0,-5,-10,30,-6,-6,1,-2,-24,43,-2,-9,35,-19,-8,24,20,20,14,4,27,3,-27,4,-48,42,9,-15,-3,26,-3,15,-29,11,19,20,-18,-15,0,6,13,-19,-18,37,-7,-24,-47,0,-19,0,55,55,23,-40,34,39,16,0,-27,0,7,-1,0,11,-16,0,23,-5,6,-60,-1,-18,-37,-1,-13,77,-2,-19,6,-43,-34,-1,32,-1,63,-3,-37,-31,14,-39,-2,-26,1,33,45,1,38,0,1,0,33,-3,0,36,27,39,-21,-16,-18,37,0,-7,19,-15,0,-4,-31,0,6,-39,-11,-17,-11,-9,-27,-7,-3,0,20,-32,18,-43,36,1,2,-36,0,-1,29,-19,6,14,-22,8,56,0,-4,18,-9,17,37,-22,-3,-4,-10,39,75,-31,-5,-25,-32,-14,-39,9,35,-7,-3,0,37,-4,7,10,-2,30,5,-9,0,-6,76,-2,24,0,-8,47,-4,15,19,0,-27,50,22,40,24,-24,-26,0,21,1,30,-34,27,-48,1,-10,6,4,-42,12,45,0,1,-40,-21,7,-50,1,-4,38,8,-1,1,1,-29,75,70772
-25,16,22,0,-7,-66,-20,-4,0,-48,-12,24,-27,7,5,6,-32,16,-24,14,43,-24,7,55,-32,26,-30,7,19,16,-21,4,-63,43,20,3,18,9,-15,-3,-30,24,33,35,-15,-27,0,8,17,0,-19,42,-12,-18,-60,8,-26,-46,73,92,51,-45,28,37,-7,0,-10,31,-1,-14,0,-2,-22,20,-31,-48,10,-18,-25,-14,-40,-64,-19,26,7,-21,-14,-40,-13,-69,40,14,38,-33,-51,2,35,-45,-23,-48,2,49,33,-11,-29,-8,-10,0,-7,13,0,30,34,72,13,-48,-41,45,0,-35,-29,-3,0,6,0,-13,-66,-3,-7,-7,-25,24,-22,-38,11,0,35,32,71,-48,58,6,-18,0,29,-1,6,-10,-13,0,-30,12,85,0,-50,33,-19,80,35,24,-33,16,-7,44,42,-51,0,-43,-13,12,-50,67,33,-13,-25,0,54,4,11,-1,26,27,-11,24,0,-47,41,-13,51,0,-5,22,-12,79,17,7,18,40,-38,47,31,-48,-41,0,22,-10,2,-14,-9,3,17,0,9,16,-49,30,15,-4,4,-14,-3,20,-58,-23,9,35,0,1,-17,0,-35,27,70773
-13,30,14,0,-5,-22,52,7,0,-26,-3,9,-25,50,4,4,-26,6,-5,-6,37,-49,1,23,40,18,9,-4,-3,11,52,-1,-52,33,4,0,4,16,-5,45,-28,29,21,23,-38,-21,0,0,12,0,-29,34,-3,-17,-51,0,-26,-19,48,65,18,-31,5,15,42,0,-28,-35,6,0,0,13,-31,-6,3,-27,6,-48,1,-9,-26,-22,-30,68,38,-29,-15,-38,-6,-40,35,6,-6,-17,-34,-15,25,-27,1,19,1,31,41,10,-3,49,-1,0,18,1,0,25,13,52,-7,-20,14,52,0,-17,11,7,0,-7,-9,8,-39,-30,-9,-8,-21,14,-22,-21,-9,0,28,14,42,-49,44,40,52,-18,-34,-7,7,-3,-8,8,-14,12,66,0,-30,20,-25,47,29,10,-20,0,-8,34,29,-34,-10,-30,-9,7,-44,34,32,-27,-2,0,13,-1,10,11,-8,10,-6,11,0,-26,29,3,41,0,-5,28,13,48,-1,-5,5,-9,31,49,18,-17,-34,0,33,1,9,-3,18,-25,5,-5,-1,18,-51,13,8,-16,2,-22,-21,9,-43,-24,-2,16,15,23,-20,5,-28,66,71527
-23,48,30,0,-10,-27,-22,-4,0,-49,-16,25,-58,40,6,-7,-36,32,6,-5,16,-70,-1,39,52,9,-5,2,-5,31,-23,-5,-73,51,5,-7,7,16,1,41,-51,9,42,38,-6,-25,0,2,17,-4,-28,61,-15,-14,-75,-4,-36,-15,62,76,36,-46,-4,32,47,0,-41,-32,-8,5,0,34,-51,-4,13,-47,16,-42,-13,-1,-49,-27,-49,87,58,-29,1,-44,-18,-75,14,3,-14,-40,-28,0,32,-49,-11,-21,6,-16,56,-5,12,65,0,0,16,4,0,40,28,82,-11,-27,-21,62,0,-38,-7,29,0,-14,-4,8,-74,-47,-5,-13,-23,5,-21,-41,-14,0,37,-8,49,-87,69,24,66,-17,-33,-12,28,-39,-23,-4,-21,14,83,0,-10,40,-24,82,62,-16,-39,-8,-4,65,46,-73,-16,-70,-20,23,-71,58,60,-25,11,0,44,-6,14,34,0,24,-20,3,0,-42,44,-7,-9,0,-10,45,11,79,-9,2,-8,-20,58,66,23,-27,-27,0,34,-3,22,-39,13,-15,4,-2,1,23,-86,32,30,-25,3,-50,-32,25,-77,-55,-7,33,-9,39,4,4,-36,83,71584
-39,35,23,0,-8,31,28,44,0,-36,-14,66,5,5,9,-6,-18,18,-21,8,-2,7,33,14,14,16,-30,10,40,25,29,-34,-38,-37,24,8,12,6,-31,51,-50,25,36,8,-73,-4,0,3,7,7,-21,-31,-15,-12,-39,-32,-31,25,55,64,12,-43,50,8,49,0,-73,-5,-37,8,0,1,-62,6,-3,-36,14,-51,-20,-46,-41,34,15,60,-8,-19,-34,-51,37,-15,-2,-8,69,-27,-36,-16,0,-42,-15,0,25,52,22,-10,-1,27,-32,0,6,15,0,-22,34,43,-34,36,1,35,0,-25,-33,0,0,9,-12,-10,-15,-24,-6,-16,-3,-21,-63,17,14,0,9,-4,26,-22,33,-9,25,12,-4,-5,26,-13,-17,44,-42,-9,52,0,18,38,-15,12,61,-1,20,-11,-4,39,38,-24,-9,-18,37,13,-58,12,60,-11,-18,0,67,-6,-10,4,4,67,-16,-21,0,16,34,-14,46,0,-5,36,-13,12,-39,12,-32,74,13,36,-30,34,-34,0,3,-35,28,-20,6,9,-8,14,4,-1,-22,26,12,2,8,-15,-43,23,-56,5,-13,10,-40,-2,-30,8,-33,63,72068
-10,1,15,0,-2,-5,3,8,0,-20,-9,18,-19,43,7,-4,-28,24,-8,-31,10,-14,-3,23,35,-15,-8,-4,0,11,-2,-14,-47,0,10,2,17,16,-1,12,-28,-23,22,18,-31,-21,0,0,17,1,-15,2,-9,-11,-48,-15,-20,-10,39,16,19,-30,-1,13,13,0,-4,-6,-12,0,0,18,-13,2,4,-17,7,-38,-2,-9,-34,-4,-11,56,49,-15,0,-35,-1,-41,8,10,-15,-20,-17,-27,18,-30,1,28,3,55,24,-9,6,52,7,0,35,21,0,39,28,36,-40,-37,34,25,0,-20,-8,11,0,-3,-24,-4,-38,-15,1,-7,-19,-6,-25,-20,-2,0,19,-22,16,-44,33,22,61,0,-2,-9,5,11,-15,10,-11,-7,18,0,-11,21,-20,45,38,-16,-15,0,6,39,32,-35,-1,-27,-2,-15,-48,12,35,-20,-7,0,12,-4,-10,18,10,19,-11,-8,0,-5,31,-11,61,0,-2,2,-2,44,-3,-3,-36,-24,36,31,7,-39,-11,0,21,8,4,7,35,-4,10,-24,0,18,-45,14,24,-10,3,-11,-18,10,-51,-15,0,15,-8,12,-2,8,-26,52,72221
