overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-1,86,87,2,202811
-3,82,85,2,221697
1,90,89,9,209331
-2,84,86,9,239837
-2,82,84,10,188377
-2,82,84,10,208920
2,90,88,10,210257
-2,89,91,10,239085
2,89,87,11,212198
2,92,90,21,202126
2,90,88,32,256630
-1,84,85,48,247635
2,89,87,73,207865
-1,85,86,243,177003
-2,86,88,243,205452
-3,88,91,243,231747
-3,87,90,243,238794
-2,86,88,243,239053
-2,83,85,243,240130
-2,83,85,243,241637
-2,88,90,243,252371
2,89,87,325,232293
-1,84,85,115995,243404
3,90,87,115998,226302
3,88,85,115998,227337
-2,83,85,116009,227110
-1,83,84,116009,237288
-1,85,86,116009,245872
-2,83,85,116009,265239
3,91,88,116010,227323
3,88,85,116010,227392
-1,84,85,116015,235657
3,89,86,116017,240714
2,89,87,116017,246219
3,91,88,116033,227316
3,91,88,116033,227361
3,89,86,116034,237197
-1,87,88,116034,246272
-3,84,87,116305,232073
2,90,88,116309,226893
2,89,87,116310,232075
1,91,90,116325,227102
2,90,88,116325,227190
3,93,90,116325,227203
1,90,89,116325,236479
1,89,88,116325,237289
3,90,87,131682,177683
-2,85,87,131682,224232
-2,82,84,131682,228093
1,90,89,131682,231478
