firstname,commonname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,lipcolor,agentid,skinsurfacepack,headtypecode,height,seasonaloutfitid,skinmakeup,weight,hashighqualityhead,eyedetail,gender,headassetid,ethnicity,faceposerpreset,eyecolorcode,personalityid,headclasscode,nationality,sideburnscode,headvariation,skintonecode,outfitid,skincomplexion,hairstylecode,bodytypecode,facialhaircolorcode
Agent,,Test 1,2150000,0,23,243,105,0,264836,223101,69,180,5500,0,75,0,2,0,264836,2,0,3,1,1,14,0,0,2,5500,2,0,83,23
Agent,,Test 2,120102,0,6,0,536,0,264837,132101,9525,180,5705,1,75,0,2,1,264837,2,0,1,1,1,21,0,0,2,5705,2,0,83,6
Test,,Agent_Male_2,60201,0,3,0,149,0,269353,223101,1532,189,5586,0,75,0,2,0,26538,2,0,2,1,0,14,0,0,2,5586,2,0,86,3
Test,,Agent_Male_3,60201,0,0,243,124,0,269354,232001,53,179,5514,0,75,0,2,0,26544,1,0,9,1,0,18,0,0,1,5514,1,0,83,0
Test,,Agent_Male_4,60201,0,20,243,141,0,269355,223101,4005,180,5500,0,75,0,2,0,269355,2,0,2,1,1,21,0,0,2,5500,2,0,83,20
Test,,Agent_Male_5,60201,0,6,289,30,0,269356,253101,26,180,5500,0,75,0,2,0,269356,2,0,9,1,1,27,0,0,2,5500,2,0,83,6
Test,,Agent_Male_6,2150301,0,0,287,82,0,269358,250201,1029,180,5500,0,75,0,2,0,269358,9,0,9,1,1,27,0,0,9,5500,9,0,83,0
Test,,Agent_Male_8,60201,0,0,243,284,0,269360,251101,1505,180,5500,0,75,0,2,0,269360,4,0,3,1,1,18,0,0,4,5500,4,0,83,0
Test,,Agent_Male_9,60201,0,3,0,67,0,269362,224001,4011,180,5500,0,75,0,2,0,269362,4,0,4,1,1,21,0,0,4,5500,4,0,83,3
Test,,Agent_Male_10,60201,0,4,243,298,0,269363,223101,53,185,5533,0,75,0,2,0,26543,1,0,7,1,0,14,0,0,1,5533,1,0,86,4
Test,,Agent_Male_11,2150301,0,22,287,122,0,269364,232001,1534,178,5531,0,75,0,2,0,26546,4,0,9,1,0,21,0,0,4,5500,4,0,83,22
Test,,Agent_Male_12,60201,0,0,289,202,0,269365,240201,1000,180,5500,0,75,0,2,0,269365,9,0,9,1,1,38,0,0,9,5500,9,0,83,0
Test,,Agent_Male_13,60201,0,3,243,101,0,269366,224001,1537,175,5500,0,75,0,2,0,269366,5,0,9,1,1,10,0,0,5,5500,5,0,83,3
Test,,Agent_Male_14,70000,0,3,0,151,0,269367,221001,517,188,5500,0,75,0,1,0,269367,4,0,9,1,1,46,0,0,4,5508,4,0,86,3
Test,,Agent_Male_15,2150301,0,0,287,122,0,269368,251101,69,180,5500,0,75,0,2,0,269368,4,0,9,1,1,14,0,0,4,5500,4,0,83,0
Test,,Agent_Female_2,70102,0,1,0,582,0,269370,122101,7502,180,5705,1,75,0,2,1,269370,1,0,2,1,1,14,0,0,1,5705,1,0,83,5
Test,,Agent_Female_3,70102,0,5,0,286,0,269371,122101,9520,180,5700,1,75,0,2,1,269371,2,0,4,1,1,21,0,0,2,5700,2,0,83,6
Test,,Agent_Female_4,120102,0,3,0,584,0,269372,122101,7037,180,5703,1,75,0,1,1,269372,4,0,3,1,1,27,0,0,4,5703,4,0,83,3
Test,,Agent_Female_5,70102,0,0,0,536,0,269373,122101,9523,180,5703,1,75,0,2,1,269373,2,0,3,1,1,45,0,0,2,5703,2,0,83,0
Test,,Agent_Female_6,60302,0,21,0,550,0,269374,123101,10005,180,5700,1,75,0,2,1,269374,10,0,9,1,1,46,0,0,10,5700,10,0,83,21
Test,,Agent_Female_7,120102,0,13,0,582,0,269375,122101,6025,180,5700,1,75,0,1,1,269375,4,0,9,1,1,18,0,0,4,5700,4,0,83,0
Test,,Agent_Female_8,70102,0,6,0,536,0,269376,122101,7018,180,5702,1,75,0,2,1,269376,2,0,3,1,1,21,0,0,2,5702,2,0,83,3
Test,,Agent_Female_9,70102,0,23,0,286,0,269377,141001,7012,180,5700,1,75,0,1,1,269377,4,0,3,1,1,38,0,0,4,5700,4,0,83,0
Test,,Agent_Female_10,120102,0,1,0,283,0,269378,122101,7018,180,5700,1,75,0,2,1,269378,2,0,2,1,1,27,0,0,2,5700,2,0,83,6
Test,,Agent_Female_11,120102,0,5,0,79,0,269379,123101,7010,180,5705,1,75,0,2,1,269379,5,0,3,1,1,52,0,0,5,5705,5,0,83,6
Test,,Agent_Female_12,120102,0,6,0,535,0,269380,122101,7016,180,5702,1,75,0,2,1,269380,2,0,2,1,1,54,0,0,2,5702,2,0,83,6
Test,,Agent_Female_13,120102,0,5,0,421,0,269381,122101,5501,180,5705,1,75,0,2,1,269381,2,0,10,1,1,60,0,0,2,5705,2,0,83,20
Test,,Agent_Female_14,120102,0,1,0,596,0,269382,122101,9504,180,5702,1,75,0,2,1,269382,2,0,2,1,1,56,0,0,2,5702,2,0,83,2
Test,,Agent_Female_15,70102,0,0,0,578,0,269383,123101,7016,180,5700,1,75,0,2,1,269383,6,0,9,1,1,27,0,0,6,5700,6,0,83,0
