assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,gender,cksupport1,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
1,26,218,1871280,255,1,255,1886,1,228,1,53,3,51,206,3,1,1,255,1,Arsenal,60,0,-1,0,246669,0,9,-1,65,0,2,3,0,9,0,0,60704,0,0,285,18,0,1,85,1,84,85,83,0,1,83,0,-1,82,0,0,0,246669,131586,2,246669,0,0,0,0,14,4,234378,6,1,0,180738,0,0,0,246669,1,0,234378,0,13,0,3,0,84,143,2,0,246669,0,246669,2,9,0,0,366,0,-1,263170,83
2,0,102,800000,229,184,148,1874,139,124,51,51,2,52,47,2,226,102,190,0,Aston Villa,78,0,-1,0,200458,1,7,-1,30,0,2,4,0,7,0,0,42657,0,2,54,109,0,2,80,1,80,79,85,-1,2,79,0,-1,80,0,0,0,216393,4195456,2,200458,0,0,1,0,7,3,216393,5,2,0,581760,0,0,0,202811,1,0,216393,0,7,0,3,0,80,143,1,0,200458,0,200458,2,6,0,0,366,0,-1,528512,86
3,76,1,39000,255,76,255,1875,1,1,182,182,1,53,76,1,182,1,255,76,Blackburn Rovers,202,0,-1,0,264299,0,5,-1,50,0,2,4,0,4,0,0,31367,0,2,55,1796,0,2,70,1,70,70,68,-2,1,69,0,-1,69,2,0,0,264299,262672,2,264299,0,0,0,0,6,2,218343,7,3,0,4227600,0,0,0,234319,0,0,264299,0,3,0,3,0,70,135,7,0,245766,0,264299,2,1,0,0,316,0,-1,525328,68
4,255,255,8000,63,28,8,1874,14,255,80,255,1,53,255,1,80,14,21,28,Bolton Wanderers,255,0,-1,0,239377,0,10,-1,65,0,2,4,0,4,0,0,28723,0,2,61,1917,0,2,66,1,66,67,67,-2,1,66,0,-1,67,2,0,0,212366,131712,0,239377,0,0,0,0,4,2,212366,7,4,0,131712,0,0,0,212090,1,0,212366,0,0,0,3,0,67,135,2,0,220039,0,212366,2,1,0,0,316,0,-1,263296,66
5,20,0,2340000,255,85,255,1905,48,28,200,137,2,51,75,2,200,48,255,85,Chelsea,160,0,-1,0,257534,1,8,-1,65,0,2,3,0,9,0,0,40343,0,2,285,1,0,1,81,1,81,81,81,0,1,79,1,-1,79,1,0,0,257534,131721,3,257534,0,0,2,0,8,4,257534,4,5,2,180873,0,0,0,256079,0,0,257534,0,6,0,3,0,81,143,1,0,257534,0,257534,2,7,0,0,366,0,-1,263305,83
7,54,0,650000,255,54,255,1878,0,45,156,156,2,53,99,2,156,0,255,54,Everton,201,0,-1,0,243282,0,4,-1,30,0,2,4,0,7,0,0,39414,0,0,282,9,0,2,76,1,77,77,76,-2,2,78,0,-1,76,0,0,0,243282,4195400,2,243282,0,0,0,0,5,1,243282,5,7,0,548936,0,0,0,202695,1,0,243282,0,9,0,3,0,76,143,6,0,221479,0,243282,2,4,0,0,366,0,-1,528456,76
8,255,255,200000,134,205,46,1919,235,235,134,255,2,53,225,2,0,46,67,67,Leeds United,1,0,-1,0,213693,0,10,-1,90,0,1,5,0,7,0,0,37890,0,2,269,1939,0,1,73,1,74,74,74,-1,1,73,0,-1,74,2,0,0,247361,66177,2,247361,0,0,0,0,1,3,247361,4,8,0,82561,0,0,0,239360,0,0,247361,0,3,0,3,0,74,135,4,0,239360,0,213693,2,2,0,0,366,0,-1,132225,71
9,27,227,4134150,255,1,255,1892,1,255,1,35,3,53,215,3,1,1,255,1,Liverpool,0,0,-1,0,231281,0,9,-1,65,0,1,3,0,9,0,0,53394,0,1,282,11,0,1,82,1,84,83,84,-2,3,84,0,-1,84,1,0,0,231281,135296,3,231281,0,0,6,0,8,2,216267,3,9,3,182400,0,0,0,203376,0,0,231281,0,19,0,3,0,84,143,6,0,209331,0,231281,2,8,0,0,366,0,-1,264320,84
10,173,108,3825000,255,177,255,1880,133,0,222,233,3,53,40,3,222,133,255,177,Manchester City,94,0,-1,0,186942,0,10,-1,65,0,2,4,0,9,1,0,53400,0,1,300,11,0,2,87,1,84,86,84,-2,1,81,1,-1,83,1,0,0,186942,131712,3,270409,0,0,1,0,7,2,186942,3,10,0,164480,0,0,0,239818,1,0,186942,0,10,0,3,0,85,143,1,0,239085,0,186942,2,10,0,0,366,0,-1,263296,83
11,1,199,4318650,255,1,255,1878,1,30,1,1,2,53,30,2,1,1,255,1,Manchester United,30,0,-1,0,212198,0,7,-1,50,0,2,5,0,10,0,0,74310,0,0,300,9,0,0,80,1,81,80,81,-2,2,81,1,-1,81,0,0,0,212198,263316,0,212198,0,0,3,0,13,4,212198,9,11,1,4202644,0,0,0,212198,0,0,212198,0,20,0,3,0,81,143,4,0,212198,0,212198,2,8,0,0,366,0,-1,528532,81
