overallratingdiff,olddefenserating,newoverallrating,oldoverallrating,oldattackrating,oldmidfieldrating,newdefenserating,teamid,newattackrating,newmidfieldrating
1,82,84,83,84,85,83,1,83,86
1,79,81,80,85,80,80,2,85,81
1,76,77,76,76,76,78,7,77,77
-1,81,80,81,81,80,80,11,81,80
-1,74,74,75,75,73,74,17,74,73
-1,74,75,76,76,76,75,23,75,76
-1,72,72,73,74,73,71,50,72,72
1,76,78,77,77,78,77,66,78,78
1,77,78,77,77,77,78,69,77,77
-1,72,73,74,73,75,71,70,73,75
-1,77,76,77,76,76,77,110,76,75
1,75,77,76,76,75,74,175,78,74
1,76,78,77,76,78,76,219,77,79
1,78,79,78,79,79,80,234,80,78
-1,81,83,84,84,82,80,241,84,82
-2,75,74,76,76,77,74,245,75,75
1,77,79,78,78,78,78,247,79,79
-1,73,72,73,74,70,72,347,73,68
-1,74,75,76,75,76,73,378,74,75
-1,73,72,73,75,73,72,452,74,72
-1,76,75,76,77,76,75,453,75,75
1,77,79,78,78,78,77,457,79,79
-1,78,76,77,73,74,77,481,73,74
-1,76,77,78,78,79,76,483,77,78
1,76,79,78,82,79,76,605,81,80
-1,76,76,77,80,77,75,1824,80,76
-1,73,72,73,72,72,75,1842,71,71
1,77,77,76,76,74,78,1876,77,76
1,76,77,76,78,76,77,1943,77,77
-1,73,73,74,76,73,71,100888,75,73
-2,79,77,79,76,79,78,110062,75,77
1,80,81,80,81,79,80,112172,83,78
1,78,80,79,80,79,79,115841,80,81
1,78,80,79,78,78,78,115845,78,79
1,78,80,79,80,81,79,115997,80,82
1,83,84,83,82,85,84,116009,83,85
1,83,84,83,86,81,83,116010,86,83
1,78,78,77,79,76,79,116011,80,77
2,80,81,79,80,78,82,116012,81,79
-1,73,74,75,76,77,72,116013,76,75
-1,77,77,78,77,80,75,116015,76,80
1,80,83,82,82,83,81,116017,84,86
-1,73,73,74,75,68,70,116020,75,68
-2,73,72,74,80,74,71,116021,80,73
1,85,86,85,85,84,85,116033,87,84
-1,76,75,76,79,73,75,116037,81,71
1,85,86,85,85,88,86,116325,85,89
-1,78,78,79,80,79,77,116327,80,78
-1,73,73,74,74,74,72,116333,73,72
1,83,84,83,86,83,84,131682,86,84
