texturevariationid,gameassetid,assettype,itemid
0,9999,2,463
0,1,2,464
2048,1,2,465
1285,1,2,466
2056,1,2,467
11,1,2,468
3855,1,2,469
3840,3,2,470
0,71,5,588
0,72,5,589
0,75,5,590
0,77,5,591
0,74,5,592
0,73,5,593
0,76,5,594
0,34,2,701
0,108,2,702
0,111,2,703
0,112,2,704
0,113,2,705
0,114,2,706
0,116,2,707
0,121,2,708
0,122,2,709
0,250,2,710
0,252,2,711
0,254,2,712
0,364,2,713
0,365,2,714
0,366,2,715
0,367,2,716
0,368,2,717
0,369,2,718
0,370,2,719
0,371,2,720
0,378,2,721
0,379,2,722
0,380,2,723
0,381,2,724
0,382,2,725
0,383,2,726
0,385,2,727
0,0,3,800
0,21,3,818
0,36,3,826
0,41,3,829
0,43,3,830
0,45,3,832
0,51,3,835
0,63,3,841
0,64,3,842
0,501,3,866
0,528,3,878
0,547,3,883
0,289,3,890
0,290,3,891
0,291,3,892
0,293,3,893
0,294,3,894
0,297,3,895
0,292,3,896
0,298,3,897
0,296,3,898
0,307,3,899
0,308,3,900
0,309,3,901
0,310,3,902
0,311,3,903
0,312,3,904
0,313,3,905
0,314,3,906
0,318,3,907
0,319,3,908
0,320,3,909
0,321,3,910
0,322,3,911
0,323,3,912
0,324,3,913
0,331,3,914
0,239,4,998
0,999,4,999
0,0,4,1000
0,27,4,1001
0,285,4,1002
0,28,4,1003
0,243,4,1004
0,286,4,1005
0,287,4,1006
0,288,4,1007
0,289,4,1008
0,29,4,1009
0,37,4,1010
0,236,4,1011
0,38,4,1012
0,237,4,1013
0,30,4,1014
0,238,4,1015
0,16,4,1016
0,39,4,1017
0,32,4,1020
0,35,4,1021
0,36,4,1022
0,40,4,1023
0,41,4,1024
0,43,4,1025
0,44,4,1026
0,45,4,1027
0,46,4,1028
0,47,4,1029
0,244,4,1030
0,245,4,1031
0,246,4,1032
0,247,4,1033
0,248,4,1034
0,249,4,1035
0,251,4,1036
0,252,4,1037
0,253,4,1038
0,254,4,1039
0,255,4,1040
0,257,4,1041
0,258,4,1042
0,259,4,1043
0,260,4,1044
0,266,4,1045
0,268,4,1046
0,269,4,1047
0,270,4,1048
0,271,4,1049
0,272,4,1050
0,273,4,1051
0,276,4,1052
0,281,4,1054
0,282,4,1055
0,290,4,1056
0,299,4,1057
0,78,5,1163
0,79,5,1165
0,80,5,1167
0,86,5,1188
0,87,5,1215
0,81,5,1231
0,90,5,1253
0,82,5,1259
0,89,5,1266
0,91,5,1275
0,88,5,1278
0,85,5,1282
0,92,5,1333
0,93,5,1363
257,3,2,1478
0,385,3,1484
0,386,3,1485
0,387,3,1486
0,389,3,1487
0,394,3,1489
0,104,5,1541
0,105,5,1542
0,106,5,1543
0,107,5,1544
0,108,5,1545
0,109,5,1546
0,110,5,1547
0,111,5,1548
0,87,5,1549
0,113,5,1550
0,112,5,1551
0,119,5,1552
0,121,5,1553
0,122,5,1554
0,1,5,1555
0,1,5,1556
0,0,11,1700
0,101,11,1701
0,103,11,1702
0,40,11,1703
0,30,11,1704
0,10,11,1705
0,17,11,1706
0,1,11,1707
0,12,11,1708
0,32,11,1709
0,33,11,1710
0,35,11,1711
0,45,11,1712
0,38,11,1713
0,16,11,1714
0,18,11,1715
0,22,11,1716
0,19,11,1717
0,37,11,1718
0,6,11,1719
0,21,11,1720
0,34,11,1721
0,47,11,1722
0,42,11,1723
0,48,11,1724
0,26,11,1725
0,7,11,1726
0,9,11,1727
0,76,11,1728
0,77,11,1729
0,83,11,1730
0,3,11,1731
0,84,11,1732
0,86,11,1733
0,88,11,1734
0,63,11,1735
0,64,11,1736
0,65,11,1737
0,61,11,1738
0,49,11,1739
0,58,11,1740
0,55,11,1741
0,56,11,1742
0,66,11,1743
0,57,11,1744
0,74,11,1745
0,75,11,1746
0,71,11,1747
0,72,11,1748
0,73,11,1749
0,59,11,1750
0,60,11,1751
0,62,11,1752
0,50,11,1753
0,514,11,1754
0,52,11,1755
0,53,11,1756
0,54,11,1757
0,67,11,1758
0,68,11,1759
0,69,11,1760
0,70,11,1761
0,91,11,1762
0,92,11,1763
0,93,11,1764
0,79,11,1765
0,80,11,1766
0,94,11,1767
0,95,11,1768
0,96,11,1769
0,97,11,1770
0,98,11,1771
0,85,11,1772
0,99,11,1773
0,100,11,1774
0,89,11,1775
0,90,11,1776
0,4,11,1777
0,82,11,1778
0,104,11,1779
0,78,11,1780
0,102,11,1781
0,31,11,1782
0,3610,11,1783
0,3612,11,1784
0,3616,11,1785
0,3617,11,1786
0,3620,11,1787
0,3623,11,1788
0,3624,11,1789
0,3628,11,1790
0,3609,11,1791
0,3611,11,1792
0,3615,11,1793
0,3618,11,1794
0,3619,11,1795
