competitionid,isqualified,group,teamid,groupslot
223,1,1,900,1
223,1,1,36,2
223,1,1,237,3
223,1,1,209,4
223,1,2,247,1
223,1,2,10,2
223,1,2,65,3
223,1,2,45,4
223,1,3,131682,1
223,1,3,110062,2
223,1,3,191,3
223,1,3,21,4
223,1,4,211,1
223,1,4,378,2
223,1,4,22,3
223,1,4,32,4
223,1,5,241,1
223,1,5,2,2
223,1,5,243,3
223,1,5,1,4
223,1,6,267,1
223,1,6,73,2
223,1,6,131681,3
223,1,6,246,4
223,1,7,78,1
223,1,7,101059,2
223,1,7,112172,3
223,0,7,1809,4
223,1,8,9,1
223,0,8,1799,2
223,1,8,231,3
223,1,8,189,4
223,1,9,234,1
223,1,9,240,2
223,1,9,69,3
223,1,9,115845,4
224,1,1,18,1
224,1,1,1896,2
224,1,1,266,3
224,1,1,229,4
224,1,2,52,1
224,1,2,457,2
224,1,2,86,3
224,1,2,280,4
224,1,3,72,1
224,0,3,896,2
224,1,3,66,3
224,1,3,1874,4
224,1,4,100761,1
224,1,4,1908,2
224,1,4,1516,3
224,1,4,101047,4
224,1,5,448,1
224,1,5,245,2
224,1,5,11,3
224,1,5,115841,4
224,1,6,700,1
224,1,6,1824,2
224,0,6,114385,3
224,1,6,2014,4
224,0,7,269,1
224,1,7,393,2
224,1,7,110468,3
224,1,7,10029,4
224,1,8,113888,1
224,1,8,320,2
224,1,8,326,3
224,1,8,236,4
224,1,9,918,1
224,1,9,1906,2
224,1,9,327,3
224,1,9,325,4
226,1,1,1887,1
226,1,1,254,2
226,1,1,449,3
226,1,1,1884,4
226,0,2,263,1
226,1,2,417,2
226,1,2,252,3
226,0,2,563,4
226,1,3,110745,1
226,1,3,80,2
226,0,3,873,3
226,0,3,101037,4
226,1,4,10032,1
226,1,4,710,2
226,1,4,5,3
226,1,4,1750,4
226,1,5,100135,1
226,1,5,111235,2
226,0,5,298,3
226,0,5,230,4
226,1,6,306,1
226,0,6,10020,2
226,0,6,71,3
226,1,6,674,4
226,0,7,897,1
226,1,7,898,2
226,0,7,271,3
226,1,7,1871,4
226,1,8,101014,1
226,1,8,100325,2
226,0,8,77,3
226,0,8,461,4
226,0,9,310,1
226,1,9,819,2
226,1,9,110374,3
226,0,9,433,4
227,1,1,116033,1
227,1,1,115998,2
227,1,1,116282,3
227,0,1,131359,4
227,1,2,116010,1
227,1,2,116326,2
227,0,2,131361,3
227,0,2,131363,4
227,1,3,115995,1
227,1,3,116009,2
227,1,3,116280,3
227,0,3,131359,4
227,1,4,116325,1
227,1,4,116017,2
227,0,4,131360,3
227,0,4,116035,4
1003,1,1,567,1
1003,1,1,112716,2
1003,1,1,111010,3
1003,1,1,110980,4
1003,1,2,598,1
1003,1,2,110981,2
1003,1,2,112670,3
1003,1,2,110978,4
1003,1,3,1629,1
1003,1,3,101083,2
1003,1,3,110969,3
1003,1,3,111327,4
1003,1,4,110986,1
1003,1,4,101101,2
1003,1,4,111014,3
1003,1,4,517,4
1003,1,5,1043,1
1003,1,5,110968,2
1003,1,5,101105,3
1003,1,5,111328,4
1003,1,6,383,1
1003,1,6,112908,2
1003,1,6,1013,3
1003,1,6,111326,4
1003,1,7,101110,1
1003,1,7,1035,2
1003,1,7,110580,3
1003,1,7,110989,4
1003,1,8,1876,1
1003,1,8,111008,2
1003,1,8,110990,3
1003,1,8,111325,4
1014,1,1,111710,1
1014,1,1,101103,2
1014,1,1,113029,3
1014,1,1,114577,4
1014,1,2,568,1
1014,1,2,112535,2
1014,1,2,114581,3
1014,1,2,131511,4
1014,1,3,1048,1
1014,1,3,114580,2
1014,1,3,111022,3
1014,1,3,115491,4
1014,1,4,1877,1
1014,1,4,111052,2
1014,1,4,112667,3
1014,1,4,116323,4
1014,1,5,1039,1
1014,1,5,110998,2
1014,1,5,116295,3
1014,1,5,131474,4
1014,1,6,1041,1
1014,1,6,111019,2
1014,1,6,112615,3
1014,1,6,112671,4
1014,1,7,110395,1
1014,1,7,112914,2
1014,1,7,115530,3
1014,1,7,131161,4
1014,1,8,101085,1
1014,1,8,112705,2
1014,1,8,111006,3
1014,1,8,112472,4
