ca_noseSupratip_NN_XXX_R_A,fa_periorbital_NR_IXX_L_M,ca_noseColumella_NN_XXX_D_U,fa_submental_NR_XXX_L_M,fa_jowl_NL_IXX_D_U,fa_preplatysmal_NL_XXX_L_M,ca_noseAla_NR_ICX_D_U,ca_noseAla_NL_ILX_N_W,fa_lip_NR_IXX_L_M,fa_neck_NL_XXP_L_M,fa_forehead_NN_XMX_L_M,fa_jowl_NL_SXX_L_M,ca_earAntihelix_NL_IXX_D_U,fa_cheeksMiddle_NL_XXX_L_M,fa_earHelix_NL_IXX_L_M,ca_noseAla_NR_IXX_N_W,fa_cheeks_NR_XMX_L_M,ca_earHelix_NL_SXP_B_F,ca_earHelix_NL_SXA_N_W,ca_noseAla_NR_IMX_B_F,fa_submandibular_NR_XXX_D_U,ca_noseAla_NL_XXA_N_W,ca_earAntihelix_NL_SXX_B_F,ca_earHelix_NR_IXX_B_F,ca_noseAla_NR_ICX_R_A,ca_earHelix_NL_SXP_N_W,fa_cheeksMiddle_NR_XXX_D_U,fa_submandibular_NR_XXX_L_M,ca_noseSupratip_NN_XXX_D_U,fa_forehead_NL_XLX_D_U,ca_noseColumella_NN_XXX_R_A,ca_noseAla_NR_XXA_R_A,ca_noseTip_NN_XXX_D_U,ca_noseColumella_NN_XXX_B_F,ca_noseAla_NL_ICX_N_W,ca_noseAla_NR_XXA_B_F,fa_lip_NR_IXX_D_U,fa_cheeks_NR_XMX_D_U,ca_noseAla_NR_ICX_B_F,fa_nasolabial_NL_IXX_D_U,fa_nose_NN_XXX_L_M,ca_earlobe_NR_XXX_D_U,ca_noseAla_NL_ICX_B_F,ca_noseAla_NL_IXX_D_U,fa_nasolabial_NR_IXX_D_U,fa_orbital_NL_IXX_D_U,ca_earHelix_NR_SXA_N_W,ca_noseAla_NR_ILX_R_A,ca_noseAla_NR_ILX_B_F,fa_forehead_NR_XLX_D_U,ca_noseAla_NL_IMX_N_W,ca_noseAla_NL_SXX_N_W,ca_noseAla_NL_XXA_R_A,ca_eartragus_NR_XXX_B_F,fa_jowl_NR_IXX_L_M,fa_periorbital_NL_IXX_D_U,fa_orbital_NR_IXX_L_M,fa_preplatysmal_NR_XXX_L_M,ca_noseAla_NR_SXX_R_A,ca_noseSupratip_NN_XXX_SL_SR,ca_noseAla_NR_IMX_N_W,ca_earHelix_NR_SXP_D_U,fa_lip_NL_SXX_D_U,ca_eartragus_NL_XXX_N_W,ca_earHelix_NR_IXX_N_W,ca_earAntihelix_NL_SXX_N_W,fa_submandibular_NL_XXX_L_M,ca_noseAla_NL_ILX_R_A,fa_orbital_NR_IXX_D_U,ca_earHelix_NL_IXX_B_F,ca_earAntihelix_NR_SXX_B_F,ca_noseAla_NR_SXX_B_F,ca_earlobe_NL_XXX_D_U,ca_noseAla_NR_ILX_N_W,ca_earHelix_NL_SXA_B_F,fa_forehead_NR_XLX_L_M,ca_earHelix_NR_SXP_B_F,ca_earHelix_NL_IXX_N_W,fa_periorbital_NL_IXX_L_M,fa_jowl_NR_IXX_D_U,ca_noseTip_NN_XXX_SL_SR,ca_earAntihelix_NR_SXX_N_W,fa_cheeks_NL_XMX_L_M,fa_earHelix_NR_IXX_L_M,fa_nasolabial_NR_IXX_L_M,ca_noseColumella_NN_XXX_SL_SR,ca_noseAla_NL_IMX_R_A,fa_orbital_NL_IXX_L_M,ca_noseAla_NL_SXX_R_A,fa_lip_NL_IXX_L_M,ca_noseAla_NR_SXX_D_U,ca_noseAla_NL_IXX_B_F,fa_temporal_NR_XLX_L_M,ca_noseAla_NR_XXA_N_W,fa_orbital_NR_XLX_D_U,fa_nasolabial_NL_IXX_L_M,fa_cheeksMiddle_NR_XXX_L_M,ca_noseAla_NR_ILX_D_U,ca_earHelix_NR_SXA_B_F,ca_earAntihelix_NR_SXX_D_U,ca_earHelix_NL_IXX_D_U,fa_forehead_NL_XLX_L_M,ca_eartragus_NL_XXX_D_U,ca_earHelix_NR_IXX_D_U,fa_mental_NN_XXX_L_M,ca_earAntihelix_NL_SXX_D_U,fa_lip_NR_SXX_L_M,ca_noseSupratip_NN_XXX_B_F,fa_earHelix_NL_SXX_L_M,fa_orbital_NL_XLX_D_U,fa_forehead_NN_XMX_D_U,fa_jowl_NL_SXX_D_U,ca_noseTip_NN_XXX_R_A,ca_noseAla_NR_XXA_D_U,fa_cheeksMiddle_NL_XXX_D_U,fa_temporal_NL_XLX_L_M,ca_earHelix_NR_SXP_N_W,fa_submental_NR_XXX_D_U,fa_jowl_NL_IXX_L_M,fa_periorbital_NR_IXX_D_U,ca_eartragus_NL_XXX_B_F,ca_noseAla_NR_SXX_N_W,ca_earHelix_NR_SXA_D_U,fa_nasolabial_NL_SXX_D_U,ca_earAntihelix_NL_IXX_B_F,fa_orbital_NL_XLX_L_M,fa_orbital_NL_SXX_D_U,fa_submental_NL_XXX_L_M,fa_temporal_NL_XLX_D_U,ca_earlobe_NL_XXX_N_W,ca_earHelix_NL_SXP_D_U,fa_mental_NN_XXX_D_U,fa_lip_NR_SXX_D_U,ca_noseAla_NR_IMX_D_U,ca_noseSupratip_NN_XXX_N_W,ca_noseTip_NN_XXX_N_W,fa_orbital_NR_SXX_L_M,ca_earHelix_NL_SXA_D_U,ca_noseAla_NR_IXX_R_A,ca_noseAla_NL_IMX_D_U,ca_noseAla_NL_SXX_D_U,fa_nasolabial_NR_SXX_D_U,ca_noseAla_NL_IXX_N_W,ca_earlobe_NR_XXX_N_W,fa_temporal_NR_XLX_D_U,fa_mental_NN_IXX_L_M,ca_earAntihelix_NL_IXX_N_W,fa_neck_NR_XXP_L_M,ca_earAntihelix_NR_IXX_B_F,fa_jowl_NR_SXX_L_M,fa_orbital_NR_XLX_L_M,ca_earlobe_NL_XXX_B_F,fa_mental_NN_IXX_D_U,fa_cheeks_NL_XMX_D_U,ca_noseAla_NL_ICX_D_U,ca_noseAla_NL_XXA_B_F,ca_noseAla_NL_ILX_D_U,fa_jowl_NR_SXX_D_U,fa_lip_NL_IXX_D_U,fa_orbital_NR_SXX_D_U,fa_nasolabial_NR_SXX_L_M,ca_eartragus_NR_XXX_D_U,ca_noseAla_NR_IXX_B_F,ca_noseAla_NL_ICX_R_A,ca_noseAla_NL_IMX_B_F,ca_earlobe_NR_XXX_B_F,fa_submandibular_NL_XXX_D_U,ca_noseAla_NL_ILX_B_F,ca_earAntihelix_NR_IXX_N_W,ca_noseAla_NL_XXA_D_U,ca_noseTip_NN_XXX_B_F,fa_earHelix_NR_SXX_L_M,ca_noseAla_NL_IXX_R_A,fa_orbital_NL_SXX_L_M,ca_noseAla_NR_IXX_D_U,fa_submental_NL_XXX_D_U,fa_lip_NL_SXX_L_M,ca_earAntihelix_NR_IXX_D_U,ca_noseColumella_NN_XXX_N_W,ca_noseAla_NR_IMX_R_A,ca_noseAla_NL_SXX_B_F,fa_nasolabial_NL_SXX_L_M,ca_eartragus_NR_XXX_N_W,ca_noseAla_NR_ICX_N_W,assetid
16,21,45,-22,6,8,-2,-51,-25,9,4,52,42,-32,56,23,-63,21,-17,3,-18,22,47,52,4,19,17,-5,-44,-54,19,40,-6,11,-58,8,20,89,-18,43,-47,3,-19,57,45,55,-9,19,25,-69,-27,21,42,-75,-34,3,-57,5,47,-15,-28,-24,38,-32,8,58,-4,13,70,55,52,55,3,-58,-3,61,27,0,9,13,-14,87,-71,52,64,-8,34,-75,45,-21,-5,12,-55,18,13,62,-21,82,2,23,-56,35,7,-42,-18,21,15,37,76,16,-100,24,37,-13,17,-65,14,13,-17,23,-75,13,-35,58,41,-31,28,-24,68,-80,-34,85,44,21,-38,0,-12,-32,16,20,-7,58,27,-52,69,-5,10,7,39,55,-11,58,52,91,-7,3,75,33,11,23,-52,9,15,6,-1,60,-19,21,51,-17,8,85,17,-40,58,12,13,50,19,32,50,-50,9,-71,530
48,75,35,4,13,33,49,-51,-7,11,-75,38,46,-33,42,18,-31,15,-29,-20,-17,35,42,41,-20,-19,45,7,57,-25,-5,28,57,15,-93,1,-23,88,-23,57,-31,-26,-22,63,64,14,-20,6,38,-24,-19,42,26,-45,34,-24,-32,34,47,-9,-20,8,16,5,6,-23,5,10,12,43,44,23,-25,-51,-8,-38,15,5,73,18,-6,-17,-32,41,6,-2,3,-40,46,-3,74,19,-12,34,44,7,-32,78,-9,17,-42,-40,45,-40,-26,16,-2,22,10,43,58,34,-12,48,44,-18,-18,6,28,-27,-45,41,10,66,32,-25,2,4,42,63,8,36,18,67,-4,24,-24,13,22,64,72,66,16,64,43,-21,17,11,33,42,-23,45,65,81,50,4,75,40,-28,1,-7,47,16,-15,-17,45,-18,38,21,49,11,14,22,-26,65,6,-2,48,33,2,25,-11,11,-90,4083
44,-21,20,-21,-13,1,31,-34,-2,19,-100,87,29,1,49,-24,-2,-24,-22,13,-8,-10,20,49,-4,7,28,25,17,-19,0,8,-64,-4,-51,35,3,48,0,42,-22,-10,0,62,42,74,-29,28,57,-26,-5,-34,9,-45,29,61,-69,1,19,-4,-5,-67,10,-9,-13,40,25,25,80,48,19,33,-9,-36,-37,-18,-29,-15,-4,-12,2,35,-3,49,5,5,22,-80,20,7,32,14,-2,-10,8,5,-4,10,-39,-8,-51,-44,13,-55,-12,-7,56,36,37,9,-92,1,0,64,28,-3,4,13,18,62,-47,-36,-38,37,25,-19,16,-21,10,-61,-66,32,14,61,58,41,-33,-38,6,61,27,38,-23,-55,9,41,65,19,28,91,-7,46,40,39,28,34,8,3,-1,18,-45,13,17,-3,11,49,-7,56,72,62,21,33,8,-28,63,12,58,31,-11,22,31,-44,2,-52,5658
37,-10,88,-27,12,24,77,-40,-41,27,-28,21,95,-6,31,13,-16,30,-58,-45,-34,25,58,36,-36,-33,42,-4,16,-66,14,57,30,-21,-97,4,-18,68,-49,49,-13,21,-48,84,45,58,-61,12,28,-52,-50,57,54,-98,50,65,-16,26,48,-19,-52,0,55,2,-5,31,0,11,69,37,55,66,20,-45,2,17,27,-3,0,12,-18,20,-17,35,39,-16,-1,-27,49,-37,38,-24,-5,21,57,46,2,85,3,50,6,-11,47,4,-10,51,-37,19,6,57,-23,46,-8,27,43,1,-34,-6,45,65,-96,52,-5,62,21,14,14,-26,39,7,0,70,56,32,-64,18,-28,-3,34,30,38,58,16,3,39,-14,-24,25,20,18,0,3,88,66,77,7,85,42,-15,18,-19,44,-21,-34,-40,1,-35,27,-33,27,-26,4,35,-29,86,-5,-41,94,23,-2,68,-12,-2,-100,16947
9,10,52,-12,-1,13,0,-35,39,30,-20,79,31,-10,23,11,0,-12,3,-6,-23,36,25,25,1,-20,-9,14,-19,-37,33,18,44,18,-58,9,8,38,-8,2,-21,-17,-10,58,-3,46,4,22,50,-36,-3,60,19,-58,23,52,34,12,20,-10,-1,27,40,22,-16,-14,14,21,49,23,29,29,-14,-33,-8,10,-9,-19,5,-3,-6,-12,-4,25,0,0,8,27,20,37,23,25,-24,40,48,0,-10,63,-5,20,-55,5,29,-52,-8,18,12,8,37,48,-36,23,24,5,-7,-24,-15,13,22,57,-58,62,0,19,-2,-38,12,-10,17,-6,27,48,38,33,-31,16,24,-1,17,35,22,20,11,-7,17,-9,61,30,0,83,-28,18,55,37,-1,6,62,22,8,7,2,29,28,1,-12,19,-22,49,64,4,5,38,17,18,57,13,12,32,13,6,27,4,25,-61,69992
0,-1,70,-1,1,22,-38,-40,-25,10,14,16,100,-9,100,26,-4,31,-8,-15,-2,17,21,50,0,43,18,13,-41,-36,37,42,72,43,-81,-12,-22,34,-12,18,-94,20,-12,82,21,90,-18,22,29,-30,-32,39,44,-60,34,46,-42,20,18,-7,-32,-12,42,-26,7,42,11,26,90,50,25,32,16,-40,37,36,31,0,2,0,-9,38,3,95,-18,0,-1,-41,18,-22,5,39,-17,15,45,-19,0,56,35,30,-48,32,60,-43,-33,30,16,6,31,43,-49,29,29,-24,19,-19,36,9,34,48,-61,38,13,38,-61,-20,46,0,11,-6,-15,61,40,26,-69,-14,-45,12,17,28,4,40,25,9,8,-43,-17,9,-58,12,-16,8,62,36,-35,-11,54,27,-21,48,-13,58,39,0,-17,10,-3,28,-5,-26,-17,31,17,-42,81,8,14,100,38,-1,31,-10,-11,-77,70021
-1,10,70,-15,-18,-7,0,-38,-8,9,72,70,0,-27,90,14,45,-6,5,-5,22,32,20,29,6,30,14,1,-50,-73,5,15,21,14,-58,-4,19,44,7,17,-71,-19,5,77,11,19,-8,12,38,-69,-10,-1,17,-52,0,47,6,-7,24,-11,-10,-48,27,37,3,100,4,14,14,29,15,18,-22,-36,24,86,-14,4,13,-16,-11,99,56,84,-6,-7,10,11,24,-14,18,0,-32,30,15,-12,-23,54,15,0,-77,66,16,-82,-4,3,2,18,15,14,11,12,2,-20,16,-34,25,16,-2,44,-50,0,-46,52,-34,-41,21,-15,57,7,-43,38,28,44,3,8,15,-44,6,44,16,55,16,6,58,20,44,8,-32,75,-33,11,37,49,-3,-7,52,14,19,15,-14,17,1,6,-8,15,20,36,38,-20,-18,10,6,12,77,15,2,0,12,10,14,-16,34,-58,70037
18,38,51,-32,21,-31,7,-43,32,-20,-25,67,25,-29,7,4,-6,64,28,-34,8,46,68,83,-8,54,13,-16,9,0,28,9,36,8,-82,-4,-20,37,-31,42,3,1,-31,50,38,73,17,28,32,1,-26,30,12,-40,12,95,-37,-30,45,1,-26,-22,39,-10,32,38,-14,29,75,82,68,23,9,-44,6,15,62,32,54,15,0,36,3,3,-7,0,-7,-22,47,26,5,3,-39,47,45,-12,-11,67,4,12,-45,11,31,-38,-50,13,29,-5,16,48,-13,22,23,1,19,-41,49,26,20,93,-39,28,41,25,61,-22,8,-31,46,-18,-26,45,35,52,11,3,20,42,15,54,4,27,5,-11,45,-13,2,-21,58,50,-24,34,51,35,7,-5,67,19,-15,5,-27,29,4,-9,-36,32,8,30,16,1,-35,9,13,22,49,27,29,31,35,-7,20,-19,-10,-83,70183
-6,-20,36,-17,2,-6,-33,-30,13,-6,-8,37,88,-20,28,17,40,-15,-28,-16,11,5,-6,7,9,-9,6,-23,-26,-5,20,17,45,2,-78,-2,-17,39,10,-14,-44,-41,10,33,-11,51,-40,20,36,-6,-41,51,18,-66,20,32,-1,-5,10,4,-39,-39,-16,77,19,67,-24,27,36,10,-9,21,-31,-29,-6,-3,-17,21,-25,0,9,50,48,30,18,15,8,0,10,7,5,5,-31,5,34,10,-20,33,-6,10,-61,-2,52,-65,10,13,-1,-20,1,35,-6,17,34,-6,8,-43,-11,-4,26,26,-63,52,0,2,-19,15,56,-18,34,-40,-35,72,-14,38,0,-26,-6,1,19,39,5,5,18,-41,33,23,60,-6,-22,28,14,14,46,37,-35,-2,32,21,-17,47,-4,49,5,8,-17,13,9,40,52,-9,11,-3,19,0,32,-4,3,87,29,9,21,-11,69,-77,70490
-7,9,63,-19,-11,0,36,-43,0,-12,5,58,42,-17,-26,17,0,-23,-3,-13,19,45,3,17,-6,8,36,-16,-56,-20,19,29,19,36,-69,-3,-56,48,-29,4,-60,0,-30,74,-2,67,-4,33,20,-18,-27,41,33,-64,-16,43,-20,-1,11,-1,-25,-20,26,-4,-34,-3,-15,33,66,18,5,36,1,-41,-26,47,-20,-37,18,-13,1,-1,-9,-30,4,5,14,-23,12,8,3,26,-32,42,20,4,-5,70,-25,-3,-42,30,34,-34,-8,-3,-22,15,-37,22,-37,-11,31,-6,38,-29,8,10,-8,40,-58,41,-12,32,-2,-7,20,-20,58,-44,-27,43,24,46,-18,-8,5,-6,18,46,0,32,14,-39,58,-37,-22,-13,-2,62,-8,2,74,46,36,-4,70,-15,-55,18,13,31,29,-5,-17,0,20,18,-12,-8,-15,-36,14,10,73,10,-28,44,25,16,35,15,5,-67,70673
