homega,previousyeartableposition,homegf,currenttableposition,awaygf,awayga,teamshortform,hasachievedobjective,yettowin,unbeatenallcomps,unbeatenleague,champion,leagueid,prevleagueid,highestpossible,teamform,highestprobable,homewins,artificialkey,nummatchesplayed,teamid,grouping,awaywins,objective,points,actualvsexpectations,homelosses,unbeatenhome,lastgameresult,unbeatenaway,awaylosses,awaydraws,homedraws,teamlongform
5,5,10,5,21,17,0,0,0,0,0,0,1,1,0,0,0,4,0,17,269,8,3,0,27,0,1,0,0,0,3,3,3,0
13,9,17,6,12,10,0,0,0,0,0,0,1,1,0,0,0,4,1,17,270,8,2,0,26,0,1,0,1,0,2,4,4,0
9,3,21,4,9,8,0,0,0,0,0,0,1,1,0,0,0,5,2,17,271,10,2,0,28,0,0,1,1,0,3,3,4,0
10,1,20,1,12,9,0,0,0,0,0,0,1,1,0,0,0,6,3,17,819,10,3,0,33,0,0,1,0,0,2,3,3,0
15,12,10,9,8,16,0,0,0,0,0,0,1,1,0,0,0,3,4,17,820,5,1,0,17,0,3,0,2,0,5,3,2,0
20,11,9,12,7,20,0,0,0,0,0,0,1,1,0,0,0,1,5,17,822,4,0,0,6,0,6,0,2,0,7,1,2,0
13,4,16,8,13,14,0,0,0,0,0,0,1,1,0,0,0,4,6,17,1443,3,1,0,21,0,2,0,2,0,4,4,2,0
18,13,12,10,9,19,0,0,0,0,0,0,1,1,0,0,0,2,7,17,1447,5,2,0,16,0,3,0,0,0,6,1,3,0
9,7,16,2,15,13,0,0,0,0,0,1,1,1,0,0,0,7,8,17,1516,0,3,0,33,0,1,0,0,0,3,3,0,0
8,6,14,3,17,11,0,0,0,0,0,0,1,1,0,0,0,4,9,17,1786,10,4,0,30,0,2,0,0,0,1,4,2,0
9,2,18,7,12,20,0,0,0,0,0,0,1,1,0,0,0,5,10,17,1788,3,2,0,26,0,0,1,2,0,5,1,4,0
12,10,6,11,6,12,0,0,0,0,0,0,1,1,0,0,0,1,11,17,15001,4,0,0,10,0,4,0,2,0,5,3,4,0
12,11,21,4,17,9,0,0,0,0,0,0,4,4,0,0,0,5,12,22,229,10,5,0,36,0,3,0,0,0,3,3,3,0
12,3,27,5,13,12,0,0,0,0,0,0,4,4,0,0,0,6,13,22,230,10,4,0,36,0,3,0,0,0,3,4,2,0
13,4,31,2,20,12,0,0,0,0,0,1,4,4,0,0,0,8,14,22,231,10,6,0,47,0,1,0,0,0,2,3,2,0
