playerid35,playerid0,playerid9,customsub0in,playerid36,rightfreekicktakerid,playerid44,playerid27,playerid1,playerid38,playerid31,playerid7,playerid20,playerid39,playerid42,playerid48,playerid13,playerid6,customsub0out,playerid37,playerid5,playerid45,playerid8,playerid14,playerid46,longkicktakerid,playerid12,playerid2,rightcornerkicktakerid,playerid30,customsub1in,playerid15,playerid41,playerid47,playerid23,playerid16,customsub1out,leftcornerkicktakerid,playerid18,playerid4,playerid40,playerid49,customsub2out,teamid,playerid22,playerid24,playerid11,customsub2in,playerid3,captainid,playerid51,leftfreekicktakerid,playerid25,playerid33,playerid19,playerid17,playerid26,playerid50,playerid34,penaltytakerid,playerid32,freekicktakerid,playerid28,playerid21,playerid10,playerid43,playerid29
-1,220901,235790,-1,-1,234378,-1,-1,251805,-1,-1,234378,278779,-1,-1,-1,226491,222665,-1,-1,209989,-1,271807,227813,-1,234378,205498,243715,271807,-1,-1,257711,-1,-1,230666,265693,-1,234378,202652,278773,-1,-1,-1,1,231936,232938,225193,-1,232580,222665,-1,234378,-1,-1,251566,194404,-1,-1,-1,222665,-1,234378,-1,246669,207421,-1,-1
-1,202811,260247,-1,-1,200458,-1,-1,227174,-1,-1,229906,210635,-1,-1,-1,199189,216393,-1,-1,257057,-1,210881,264209,-1,216393,246923,227678,200458,-1,-1,248465,-1,-1,-1,275468,-1,216393,220834,200458,-1,-1,-1,2,212419,-1,231447,-1,236987,210881,-1,216393,-1,-1,231677,207557,-1,-1,-1,216393,-1,200458,-1,241464,221697,-1,-1
-1,240595,225748,-1,-1,225748,-1,256965,232185,-1,-1,257063,234319,-1,-1,-1,194017,193910,-1,-1,212099,-1,218343,271743,-1,225748,244626,195037,225748,-1,-1,238336,-1,-1,231540,242751,-1,225748,238196,264299,-1,-1,-1,3,243612,264746,245652,-1,221281,195037,-1,232185,278314,-1,242749,74726,251522,-1,-1,225748,-1,225748,259226,235770,245766,-1,256358
-1,234803,238368,-1,-1,239377,-1,270617,229073,-1,-1,221705,251311,-1,-1,-1,235807,212366,-1,-1,239377,-1,255913,256442,-1,212366,244871,239540,239377,-1,-1,231951,-1,-1,254522,244240,-1,212366,178287,240912,-1,-1,-1,4,244559,246002,225867,-1,212090,212090,-1,212366,219795,-1,233442,235027,246296,-1,-1,225509,-1,212366,-1,224447,225509,-1,-1
278017,228789,257534,-1,-1,257534,-1,261375,259307,-1,248158,254796,230918,-1,-1,-1,263620,247090,-1,-1,256079,-1,233049,237386,-1,257534,238616,229942,257534,71997,-1,238074,-1,-1,260942,222104,-1,247090,232411,239231,-1,-1,-1,5,259356,204246,242444,-1,262859,256079,-1,257534,71998,278290,278813,258485,71651,-1,248695,257534,278455,257534,229984,242578,259197,-1,277795
-1,204935,208135,-1,-1,245741,-1,-1,152908,-1,-1,245741,74634,-1,-1,-1,74413,193474,-1,-1,234078,-1,261188,253510,-1,245741,266609,202695,245741,-1,-1,207599,-1,-1,263168,257896,-1,245741,232080,244380,-1,-1,-1,7,180216,243282,243657,-1,247649,202695,-1,245741,256268,-1,251892,237704,270866,-1,-1,221479,-1,245741,-1,172723,221479,-1,-1
-1,242656,247361,-1,-1,247361,-1,-1,244591,-1,-1,232104,248384,-1,-1,-1,258906,236764,-1,-1,235735,-1,246791,213693,-1,247361,243134,229266,247361,-1,-1,231838,-1,-1,206534,208892,-1,247361,198118,241184,-1,-1,-1,8,74145,73219,270206,-1,239360,235735,-1,247361,-1,-1,256776,193331,-1,-1,-1,239360,-1,247361,-1,203215,247249,-1,-1
-1,212831,236772,-1,-1,231281,-1,260406,231281,-1,-1,209331,273651,-1,-1,-1,242434,239837,-1,-1,246104,-1,242516,225100,-1,231281,232487,237678,216267,-1,-1,232223,-1,-1,271977,264298,-1,231281,253072,216267,-1,-1,-1,9,265459,279128,235805,-1,203376,203376,-1,231281,253428,-1,224458,240913,70995,-1,-1,209331,-1,231281,71227,246174,241084,-1,-1
-1,200159,239085,-1,-1,237692,-1,70996,253124,-1,231866,192985,208920,-1,-1,-1,186942,237692,-1,-1,207410,-1,270409,203574,-1,237692,218667,239818,237692,277295,-1,271574,-1,-1,276528,277031,-1,237692,264349,251517,-1,-1,-1,10,76624,269688,206517,-1,229237,192985,-1,237692,276621,-1,256675,210257,277427,-1,-1,239085,-1,237692,271227,75577,246420,-1,157804
-1,226753,259399,-1,-1,212198,-1,-1,236401,-1,-1,190460,273599,-1,-1,-1,268439,253306,-1,-1,234574,-1,254088,269087,-1,212198,269136,235243,190460,-1,-1,238041,-1,-1,233064,277432,-1,212198,268438,239301,-1,-1,-1,11,205988,221660,200145,-1,203263,212198,-1,212198,169588,-1,250961,243647,-1,-1,-1,212198,-1,212198,-1,163264,212198,-1,-1
-1,239358,252066,-1,-1,252066,-1,279251,186156,-1,211009,266815,241523,-1,-1,-1,183422,253054,-1,-1,255145,-1,243619,227806,-1,252066,252796,229682,252066,271311,-1,260842,-1,-1,260402,232413,-1,252066,243608,242181,-1,-1,-1,12,242853,203783,261283,-1,259442,186156,-1,252066,262255,-1,233487,232284,232110,-1,-1,237295,-1,252066,74323,228888,237295,-1,72061
