firstname,surname,eyebrowcode,skintypecode,haircolorcode,facialhairtypecode,hairtypecode,lipcolor,cardstrictness,shoecolorcode2,skinsurfacepack,headtypecode,foulstrictness,height,leagueid,shoetypecode,birthdate,skinmakeup,socklengthcode,weight,eyedetail,gender,headassetid,faceposerpreset,eyecolorcode,jerseysleevelengthcode,headclasscode,sideburnscode,isreal,headvariation,skintonecode,shortstyle,smallsidedshoetypecode,refereeid,nationalitycode,skincomplexion,shoedesigncode,shoecolorcode1,hairstylecode,bodytypecode,facialhaircolorcode
Oliver,Mackey,60201,0,27,0,220,0,1,31,232001,17,1,182,60,315,150194,0,4,75,2,0,27082,4,2,0,0,0,0,0,2,0,500,73469,14,1,0,30,0,1,27
Ross,Martin,60201,0,19,254,672,0,1,31,232001,3500,1,180,60,315,150194,0,4,75,2,0,27072,4,3,0,0,0,0,0,3,0,500,73472,14,1,0,30,0,2,6
David,McNamara,60201,0,23,253,636,0,1,31,232001,2007,1,177,60,315,145080,0,4,80,2,0,27073,3,3,0,0,0,0,0,3,0,500,73473,14,1,0,30,0,3,22
Matthew,McQuillan,60201,0,3,251,186,0,1,31,232001,48,1,177,60,315,146907,0,4,75,2,0,27074,3,2,0,0,0,0,0,3,0,500,73474,14,1,0,30,0,2,3
Andrew,Miller,2150301,0,5,0,150,0,1,31,232001,52,1,184,60,315,146357,0,4,80,2,0,27067,0,2,0,0,0,0,0,3,0,500,73475,14,1,0,30,0,2,5
Stuart,Morland,60201,0,21,243,0,0,1,31,232001,20,1,180,60,315,147362,0,4,75,2,0,27099,0,5,0,0,0,0,0,2,0,500,73476,14,1,0,30,0,2,21
John,Mulligan,60201,0,5,0,660,0,1,31,232001,17,1,174,60,315,144350,0,4,70,2,0,27071,0,2,0,0,0,0,0,2,0,500,73478,14,1,0,30,0,2,5
Jamie,O'Connor,2150301,0,5,287,243,0,1,31,253101,49,1,184,60,315,143374,0,4,77,2,0,27071,0,2,0,0,0,0,0,2,0,500,73479,14,1,0,30,0,1,5
Stephen,Parkinson,60201,0,18,287,693,0,1,31,232001,33,1,181,60,315,148792,0,4,78,2,0,27081,0,4,0,0,0,0,0,5,0,500,73481,14,1,0,30,0,2,18
Adrian,Quelch,70000,0,5,287,297,0,1,31,232001,4021,1,175,60,315,147453,0,4,80,2,0,27072,4,3,0,0,0,0,0,3,0,500,73482,14,2,0,30,0,3,5
Garreth,Rhodes,60201,0,3,287,681,0,1,31,253101,3516,1,176,60,315,143679,0,4,77,2,0,27078,4,5,0,0,0,0,0,1,0,500,73484,14,2,0,30,0,2,3
Ruebyn,Ricardo,60201,0,0,16,240,0,1,31,232001,1528,1,178,60,315,149645,0,4,72,2,0,27073,3,3,0,0,0,0,0,3,0,500,73486,14,4,0,30,0,1,0
Greg,Rollason,60201,0,3,253,284,0,1,31,232001,2006,1,178,60,315,146279,0,4,75,2,0,27036,4,10,0,0,0,0,0,2,0,500,73489,14,1,0,30,0,2,3
Matthew,Russell,60201,0,2,0,138,0,1,31,223101,3,1,185,60,315,150479,0,4,71,2,0,27082,4,2,0,0,0,0,0,2,0,500,73492,14,1,0,30,0,4,2
Lewis,Smith,60201,0,3,0,243,0,1,31,232001,47,1,183,60,315,149715,0,4,76,2,0,27036,4,10,0,0,0,0,0,2,0,500,73493,14,1,0,30,0,2,3
Callum,Walchester,60201,0,3,0,114,0,1,31,232001,2014,1,180,60,315,149569,0,4,76,2,0,27084,0,7,0,0,0,0,0,3,0,500,73497,14,1,0,30,0,2,3
James,Westgate,60201,0,6,0,681,0,1,31,232001,2020,1,187,60,315,149821,0,4,78,2,0,27074,3,2,0,0,0,0,0,3,0,500,73499,14,1,0,30,0,5,6
Ben,Wyatt,60201,0,0,0,190,0,1,31,223101,4021,1,176,60,315,149150,0,4,75,2,0,27093,0,4,0,0,0,0,0,3,0,500,73500,14,2,0,30,0,2,0
Cheryl,Foster,70102,0,12,0,583,0,1,31,132101,5514,1,168,2216,315,145357,1,4,60,2,1,40954,3,8,0,0,0,0,0,2,0,500,73514,50,2,0,30,0,8,12
Aji,Ajibola,60201,0,0,37,241,0,1,31,240201,1024,1,172,60,315,146732,0,4,73,2,0,27076,3,9,0,0,0,0,0,9,0,500,73520,14,8,0,30,0,3,0
Richard,Aspinall,70000,0,20,0,0,0,1,31,232001,58,1,172,60,315,146269,0,4,70,2,0,27110,0,7,0,0,0,0,0,2,0,500,73522,14,2,0,30,0,2,20
Dale,Baines,70000,0,0,0,152,0,1,31,223101,2520,1,170,60,315,150239,0,4,69,2,0,27071,0,2,0,0,0,0,0,2,0,500,73523,14,2,0,30,0,7,0
James,Bancroft,60201,0,12,260,221,0,1,31,223101,2021,1,175,60,315,150640,0,4,73,2,0,27078,4,5,0,0,0,0,0,1,0,500,73525,14,1,0,30,0,1,12
Michael,Barlow,70000,0,13,287,184,0,1,31,223101,3516,1,172,60,315,149411,0,4,71,2,0,27071,0,2,0,0,0,0,0,2,0,500,73526,14,2,0,30,0,2,12
Elliot,Bell,70000,0,5,0,122,0,1,31,223101,2020,1,174,60,315,148758,0,4,73,2,0,27071,0,2,0,0,0,0,0,2,0,500,73527,14,2,0,30,0,2,19
Alex,Chilowicz,60201,0,0,0,29,0,1,31,232001,34,1,170,60,315,147707,0,4,73,2,0,27112,0,5,0,0,0,0,0,2,0,500,73528,95,2,0,30,0,8,0
Paul,Cooper,70000,0,15,0,0,0,1,31,232001,2020,1,175,60,315,145717,0,4,73,2,0,27099,0,5,0,0,0,0,0,2,0,500,73530,14,1,0,30,0,1,15
Steven,Copeland,60201,0,5,0,297,0,1,31,232001,2027,1,170,60,315,146158,0,4,71,2,0,27112,0,5,0,0,0,0,0,2,0,500,73531,14,1,0,30,0,8,9
Michael,Crusham,60201,0,0,259,135,0,1,31,232001,3507,1,172,60,315,146605,0,4,71,2,0,27036,4,10,0,0,0,0,0,2,0,500,73532,14,1,0,30,0,2,0
Alan,Dale,70000,0,19,0,75,0,1,31,223101,4008,1,172,60,315,148768,0,4,71,2,0,27085,4,4,0,0,0,0,0,3,0,500,73534,14,1,0,30,0,2,6
William,Davis,70000,0,6,0,77,0,1,31,223101,29,1,172,60,315,151213,0,4,71,2,0,27071,0,2,0,0,0,0,0,2,0,500,73535,14,2,0,30,0,2,6
James,Durkin,60201,0,12,287,1065,0,1,31,232001,47,1,172,60,315,145679,0,4,76,2,0,27071,0,2,0,0,0,0,0,2,0,500,73536,14,2,0,30,0,2,19
Richard,Eley,70000,0,3,0,175,0,1,31,223101,41,1,174,60,315,150316,0,4,73,2,0,27036,4,10,0,0,0,0,0,2,0,500,73537,14,1,0,30,0,2,20
Aaron,Farmer,60201,0,20,259,445,0,1,31,223101,34,1,173,60,315,149997,0,4,71,2,0,27078,4,5,0,0,0,0,0,1,0,500,73538,14,2,0,30,0,2,3
Andrew,Humphries,60201,0,4,243,221,0,1,31,232001,57,1,180,60,315,150030,0,4,79,2,0,27082,4,2,0,0,0,0,0,2,0,500,73553,14,1,0,30,0,2,4
Aaron,Jackson,60201,0,3,246,660,0,1,31,232001,4019,1,183,60,315,147770,0,4,79,2,0,27051,0,3,0,0,0,0,0,4,0,500,73557,14,1,0,30,0,2,3
Paul,Johnson,60201,0,2,287,681,0,1,31,232001,47,1,178,60,315,146358,0,4,75,2,0,27112,0,5,0,0,0,0,0,2,0,500,73559,14,1,0,30,0,2,2
Zac,Kennard-Kettle,70000,0,17,0,101,0,1,31,223101,4021,1,180,60,315,150770,0,4,75,2,0,27071,0,2,0,0,0,0,0,2,0,500,73560,14,1,0,30,0,2,5
Paul,Marsden,2150301,0,23,0,37,0,1,31,232001,34,1,179,60,315,144822,0,4,75,2,0,27084,0,7,0,0,0,0,0,3,0,500,73591,14,2,0,30,0,2,23
Dong-Kyoo,Choi,2150301,0,0,0,92,0,0,31,232001,500,2,165,83,315,143941,0,4,68,2,0,27113,4,3,0,0,0,0,0,4,0,500,176705,167,4,0,30,0,9,0
Benoît,Taillade,2150301,0,0,0,149,0,2,31,251101,2007,1,191,16,315,142284,0,4,78,2,0,27109,0,3,0,0,0,0,0,3,0,500,181722,18,4,0,30,0,4,0
Gökberk,Topaloğlu,2150301,0,0,0,16,0,1,31,251101,28,1,172,68,315,146185,0,4,61,2,0,27073,3,3,0,0,0,0,0,3,0,500,181902,48,4,0,30,0,1,0
Gustavo,Apollonio,2150301,0,0,287,29,0,0,31,253101,2001,2,173,31,315,146855,0,4,72,2,0,27074,3,2,0,0,0,0,0,3,0,500,182165,27,2,0,30,0,2,0
Loïc,Dacquigny,2150301,0,9,0,155,0,1,31,253101,4002,2,180,17,315,140357,0,4,74,2,0,27067,0,2,0,0,0,0,0,3,0,500,182553,18,1,0,30,0,2,3
Manuel Rui,Barbosa,60201,0,0,0,97,0,1,31,244101,1521,1,175,2092,315,140357,0,4,65,2,0,27070,3,9,0,0,0,0,0,7,0,500,182561,54,6,0,30,0,1,0
Ingvar,Tollefsen,2150301,0,6,0,104,0,1,31,232001,2507,1,186,41,315,141361,0,4,77,2,0,27099,0,5,0,0,0,0,0,2,0,500,182693,36,3,0,30,0,5,6
Mehmet,Yıldıraz,60201,0,0,0,150,0,1,31,251101,3,1,166,76,315,147532,0,4,73,2,0,27109,0,3,0,0,0,0,0,3,0,500,182737,48,4,0,30,0,9,0
Rainier,Vannier,60201,0,0,287,16,0,1,31,232001,4001,0,173,16,315,144545,0,4,63,2,0,27092,3,5,0,0,0,0,0,2,0,500,182753,18,2,0,30,0,1,0
Sung-Kwan,Cho,60201,0,0,0,59,0,1,31,221001,505,1,176,83,315,144075,0,4,69,1,0,27075,4,9,0,0,0,0,0,4,0,500,182754,167,4,0,30,0,2,0
Leonardo,San Milano,60201,0,3,0,100,0,2,31,251101,1,1,176,31,315,144471,0,4,65,2,0,27080,0,4,0,0,0,0,0,4,0,500,182777,27,4,0,30,0,1,0
Valente,Larrazábal,60201,0,0,287,21,0,2,31,232001,4003,1,178,53,315,140099,0,4,69,2,0,27080,0,4,0,0,0,0,0,4,0,500,182817,45,3,0,30,0,1,0
Pim,Ploegmakers,60201,0,9,243,0,0,1,31,232001,1517,2,166,10,315,145396,0,4,75,2,0,27099,0,5,0,0,0,0,0,2,0,500,183061,34,2,0,30,0,9,3
Pedro,Orteguilla,60201,0,9,0,291,0,2,31,232001,3507,1,172,53,315,146600,0,4,70,2,0,27092,3,5,0,0,0,0,0,2,0,500,183074,45,3,0,30,0,2,3
Lasse,Lagerroth,60201,0,1,0,75,0,1,31,232001,4000,1,178,56,315,146600,0,4,82,2,0,27082,4,2,0,0,0,0,0,2,0,500,183077,46,1,0,30,0,3,1
Hyun-Soon,Han,1170502,0,0,0,553,0,1,31,221001,517,1,175,83,315,146600,0,4,66,1,0,27030,4,9,0,0,0,0,0,3,0,500,183079,167,4,0,30,0,3,0
