assetid,internalassetid,internalstringid,stringid,country,id,overlayid,brandtype
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,0,-1,0
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,1,-1,1
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,2,-1,2
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,3,-1,3
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,4,-1,4
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,5,-1,5
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,6,-1,6
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,7,-1,7
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,8,21,1
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,9,29,0
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,10,35,0
opta,opta,BRANDPARTNER_OPTA,BRANDPARTNER_OPTA,WW,11,69,0
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,12,73,0
opta,opta,BRANDPARTNER_OPTA,BRANDPARTNER_OPTA,WW,13,74,0
fc,fc,BRANDPARTNER_FC,BRANDPARTNER_FC,WW,14,102,6
opta,opta,BRANDPARTNER_OPTA,BRANDPARTNER_OPTA,WW,15,112,0
opta,opta,BRANDPARTNER_OPTA,BRANDPARTNER_OPTA,WW,16,113,0
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,17,134,0
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,18,42,2
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,19,15,2
hypermotion,hypermotion,BRANDPARTNER_HYPER,BRANDPARTNER_HYPER,WW,20,135,8
