level_of_emotion,playerid,emotional_teamid
6,1179,45
1,5419,9
1,5419,13
7,5467,9
6,20801,11
7,20801,237
1,20801,240
1,20801,241
6,20801,243
1,28130,1043
1,28130,1629
1,54050,9
6,158023,241
7,165153,66
4,167495,22
5,167495,34
6,168473,21
1,176580,9
6,176580,245
1,176580,246
1,176580,247
7,177003,18
6,178509,1
6,178509,70
6,183277,5
7,183277,65
5,183898,11
6,183898,73
6,186153,1
6,186942,22
3,188350,1831
5,188377,18
7,188377,1794
7,188545,873
5,188567,22
6,188567,219
6,188567,1819
6,189511,241
1,189513,1860
6,190042,48
6,190042,1877
7,190042,111019
1,192119,5
1,192119,240
7,192119,673
4,192366,236
6,192387,115841
7,192448,23
7,192505,229
6,192563,32
4,192629,242
5,192883,22
7,192985,673
6,193041,1853
1,193698,25
1,194765,457
1,197781,243
4,197781,481
7,197781,573
7,198176,246
5,198176,115841
6,199434,245
3,199434,247
6,199503,23
6,199845,115841
6,200104,32
6,200145,243
1,200155,674
6,201024,48
6,201024,673
1,201153,243
1,202126,95
1,202126,110
6,202811,1
1,202811,1335
5,203376,17
7,203376,1915
5,203574,7
6,203841,1796
6,204485,1738
5,204525,457
5,204638,29
6,204883,14
5,204883,64
5,204923,254
1,204923,112172
1,204935,13
6,204935,106
7,206517,2
1,206517,8
1,206517,88
1,206517,1355
5,207421,1808
5,208128,28
4,208128,131681
6,208418,240
6,208722,9
5,209331,110374
6,209499,69
5,209658,34
3,209658,1886
5,209889,22
6,209889,217
6,209981,481
5,210008,73
6,210035,234
4,210035,236
4,210035,237
6,210411,236
6,210413,131681
7,210514,234
6,210881,81
7,210881,100805
7,210935,111974
6,211110,45
1,212194,32
6,212198,237
1,212523,605
4,212622,22
1,213345,38
6,214096,111235
6,215698,65
6,215716,144
6,215914,5
1,215914,95
6,215914,210
6,216267,1952
7,216393,229
4,216547,236
4,216547,237
5,216547,1896
6,220697,1792
1,220697,1925
7,222492,34
7,222665,922
6,224293,110
6,224371,1952
6,224458,110
1,226161,243
6,226271,48
7,226271,449
7,226754,1746
5,227127,448
6,227236,144
7,228618,1738
6,228702,245
6,229348,1917
4,229391,234
5,229476,36
5,230621,131681
5,231443,22
5,231443,241
5,231747,69
3,231747,378
6,232074,116302
6,232488,115845
5,232656,240
6,232656,463
1,233049,10
6,233049,22
6,233419,8
4,233419,71
6,234378,19
1,234378,1355
7,234396,101112
7,235243,245
1,235790,5
7,235794,15
5,235805,110374
1,236015,110
6,237086,48
5,237679,1824
6,238074,1917
1,238794,461
7,239085,417
1,239231,1808
6,239231,1860
5,239580,54
7,239818,234
1,239818,236
1,239818,237
6,239837,1808
6,241096,131681
6,241486,481
7,241637,69
7,242444,234
1,242444,236
1,242444,240
6,242516,247
7,243014,294
6,243245,246
6,243576,237
6,243715,1819
6,244369,101047
6,244749,74
7,246104,245
7,247090,1876
7,247827,1793
7,251805,245
7,251854,472
7,252371,88
6,256197,112670
7,256197,112908
5,264652,66
1,264652,1819
6,264864,116040
6,264866,116040
6,267212,116040
