shortsnumberplacementcode,shortsnumbercolorprimg,jerseyfrontnumberplacementcode,jerseynumbercolorsecr,jerseynumbercolorprimr,jerseynumbercolorprimg,shortsnumbercolorsecb,shortsnumbercolorterb,competitionid,shortsnumbercolorprimr,jerseynumbercolorterg,shortsnumbercolorprimb,jerseynamelayouttype,jerseynumbercolorterr,jerseynumbercolorprimb,jerseybacknameplacementcode,jerseynamecolorg,shortsnumbercolorsecg,jerseynumbercolorsecg,shortsnumbercolorterr,shortsnumbercolorterg,jerseynamecolorr,jerseynumbercolorsecb,jerseynamecolorb,jerseynumbercolorterb,shortsnumbercolorsecr,jerseybacknamefontcase,teamkittypetechid,numberfonttype,jerseynamefonttype,year,teamtechid,shortsnumberfonttype
1,28,0,12,220,220,220,220,14,0,12,136,1,12,220,1,220,220,12,220,220,220,12,220,12,220,0,0,23,49,0,1,89
1,28,0,12,220,220,220,220,60,0,12,136,1,12,220,1,220,220,12,220,220,220,12,220,12,220,0,0,23,49,0,1,89
1,28,0,12,220,220,220,220,61,0,12,136,1,12,220,1,220,220,12,220,220,220,12,220,12,220,0,0,23,49,0,1,89
1,220,0,12,220,220,12,12,14,220,12,220,1,12,220,1,220,12,12,12,12,220,12,220,12,12,0,1,23,49,0,1,89
1,220,0,12,220,220,12,12,60,220,12,220,1,12,220,1,220,12,12,12,12,220,12,220,12,12,0,1,23,49,0,1,89
1,220,0,12,220,220,12,12,61,220,12,220,1,12,220,1,220,12,12,12,12,220,12,220,12,12,0,1,23,49,0,1,89
1,12,0,220,12,12,220,220,14,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,2,23,49,0,1,89
1,12,0,220,12,12,220,220,60,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,2,23,49,0,1,89
1,12,0,220,12,12,220,220,61,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,2,23,49,0,1,89
1,220,0,220,12,12,12,12,14,220,220,220,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,23,49,0,1,89
1,220,0,220,12,12,12,12,60,220,220,220,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,23,49,0,1,89
1,220,0,220,12,12,12,12,61,220,220,220,1,220,12,1,12,12,220,12,12,12,220,12,220,12,0,3,23,49,0,1,89
1,12,0,12,220,220,220,220,14,12,12,12,1,12,220,1,220,220,12,220,220,220,12,220,12,220,0,0,23,49,0,2,89
1,12,0,12,220,220,220,220,60,12,12,12,1,12,220,1,220,220,12,220,220,220,12,220,12,220,0,0,23,49,0,2,89
1,12,0,12,220,220,220,220,61,12,12,12,1,12,220,1,220,220,12,220,220,220,12,220,12,220,0,0,23,49,0,2,89
1,12,0,220,12,12,220,220,14,12,220,12,1,220,12,1,12,220,220,220,220,12,220,12,220,220,0,1,23,49,0,2,89
