bs_zygomaxilla_NL_XXX_D_U,bs_zygomaxilla_NR_XXX_R_A,bs_mandible_NR_IXA_B_F,bs_maxilla_NL_SXX_N_W,bs_chin_NN_SXX_SL_SR,bs_brow_NL_XLX_R_A,bs_canine_NL_XXX_N,bs_brow_NL_XLX_B_F,bs_brow_NR_SMX_B_F,bs_temple_NR_XXX_B_F,bs_orbits_NR_XXX_N_W,bs_orbits_NR_SXX_D_U,bs_teeth_NN_XXX_D_U,ca_ears_NR_XXX_N_W,bs_cuspid_NR_XXX_SL_SR,fl_eyes_NR_XXX_R_A,bs_skull_NN_SXX_N_W,bs_mandible_NR_XXP_B_F,ca_laryngeal_NN_XXX_N_W,bs_orbits_NL_XXX_R_A,bs_maxilla_NR_IXX_B_F,fl_eyes_NR_XXX_D_U,bs_incisorLower_NL_XLX_U,bs_mandible_NL_SXA_N_W,bs_cuspid_NL_XXX_N,bs_brow_NN_XMX_D_U,ca_ears_NL_XXX_B_F,bs_temple_NL_XXX_R_A,bs_zygomaxilla_NR_XXX_D_U,bs_coronal_NN_SXX_R,bs_incisor_NR_XLX_D_U,bs_incisor_NR_IMX_D_U,bs_brow_NN_XMX_SL_SR,bs_canine_NR_IXX_R,bs_maxilla_NR_SXX_D_U,bs_maxilla_NL_IXX_R_A,bs_incisorLower_NL_XLX_SL_SR,ca_ears_NL_XXX_SL_SR,bs_incisor_NL_IMX_R,bs_incisorLower_NL_XLX_N,bs_noseRoot_NN_XXX_D_U,bs_cuspid_NL_SXX_D_U,bs_incisor_NR_ILX_D_U,ca_ears_NL_XXX_R_A,bs_cuspid_NL_XXX_U,bs_cuspid_NR_SXX_D_U,bs_cuspid_NR_XXX_N,bs_mandible_NR_IXA_N_W,ca_ears_NR_XXX_R_A,bs_skull_NN_SXX_R_A,bs_noseBridge_NN_XXX_N_W,bs_incisorLower_NR_SMX_D_U,bs_chin_NN_XXX_B_F,bs_canine_NL_XXX_SL_SR,bs_incisor_NR_XLX_SL_SR,bs_brow_NR_XLX_N_W,bs_maxilla_NL_IXX_B_F,bs_incisorLower_NR_XLX_U,bs_mandible_NR_SXA_D_U,bs_skull_NN_XXP_N_W,bs_chin_NN_XXX_R_A,bs_orbits_NL_SXX_D_U,bs_temple_NL_XXX_B_F,ca_adamsapple_NN_XXX_D_U,bs_orbits_NL_XXX_N_W,bs_mandible_NL_XXP_N_W,bs_canine_NR_XXX_N,bs_nose_NN_XXX_N_W,bs_incisor_NL_XLX_N_W,bs_mandible_NR_XXP_N_W,ca_laryngeal_NN_XXX_B_F,bs_mandible_NL_IXA_B_F,bs_chin_NN_XXX_SL_SR,bs_molarsLower_NR_XXX_U,bs_brow_NL_XLX_N_W,bs_mandible_NL_IXA_R_A,bs_incisorLower_NL_SMX_D_U,bs_brow_NR_XLX_R_A,bs_incisor_NR_XMX_D_U,bs_cuspid_NR_XXX_U,bs_maxilla_NR_IXX_N_W,bs_mandible_NR_IXA_R_A,bs_incisorLower_NR_XLX_N,bs_noseBridge_NN_XXX_R_A,bs_incisor_NR_IMX_R,bs_canine_NL_IXX_R,bs_mandible_NL_IXA_D_U,bs_orbits_NR_XXX_R_A,bs_incisorLower_NL_SLX_D_U,bs_nose_NN_XXX_B_F,bs_mandible_NL_XXP_R_A,bs_temple_NR_XXX_N_W,bs_chin_NN_XXX_N_W,bs_chin_NN_SXX_D_U,bs_orbits_NR_XXX_B_F,bs_teethLower_NN_XXA_N_W,bs_brow_NL_SMX_D_U,bs_incisorLower_NL_XMX_N,bs_skull_NN_XXP_R_A,bs_chin_NN_SXX_N_W,bs_chin_NN_XXX_D_U,bs_canine_NL_XXX_D_U,bs_brow_NL_SMX_N_W,bs_temple_NL_XXX_N_W,bs_orbits_NL_XXX_B_F,bs_mandible_NR_SXA_B_F,bs_noseRoot_NN_XXX_SL_SR,ca_ears_NL_XXX_N_W,bs_coronal_NN_SXX_D_U,bs_maxilla_NL_IXX_N_W,bs_incisor_NL_XMX_D_U,bs_teeth_NN_XXX_SL_SR,bs_cuspid_NL_XXX_SL_SR,ca_ears_NL_XXX_D_U,bs_forehead_NN_XXX_U,bs_incisor_NL_XMX_N_W,bs_maxilla_NL_IXX_D_U,bs_maxilla_NR_IXX_R_A,bs_molarsLower_NL_XXX_U,bs_coronal_NN_SXX_N_W,bs_canine_NR_IXX_D_U,bs_incisor_NL_XLX_D_U,ca_adamsapple_NN_XXX_B_F,bs_incisor_NR_XMX_SL_SR,bs_temple_NR_XXX_R_A,bs_temple_NL_XXX_D_U,bs_noseRoot_NN_XXX_B_F,bs_orbits_NL_SXX_B_F,bs_forehead_NN_XXX_R_A,bs_orbits_NR_SXX_B_F,bs_incisorLower_NR_XMX_N,bs_temple_NR_XXX_D_U,bs_incisor_NL_XLX_SL_SR,bs_brow_NN_XMX_R_A,bs_zygomaxilla_NR_XXX_B_F,bs_teethLower_NN_XXA_D_U,bs_teeth_NN_XXX_B_F,bs_orbits_NL_SXX_N_W,bs_orbits_NL_XXX_D_U,bs_noseBridge_NN_XXX_SL_SR,bs_maxilla_NR_SXX_B_F,bs_teeth_NN_XXX_R_A,bs_incisor_NR_XMX_N_W,bs_maxilla_NR_IXX_D_U,bs_orbits_NR_SXX_R_A,bs_forehead_NN_XXX_B_F,bs_mandible_NL_IXA_N_W,bs_coronal_NN_SXX_B_F,bs_skull_NN_XXP_SL_SR,bs_coronal_NN_SXX_SL_SR,bs_brow_NL_XLX_D_U,bs_forehead_NN_XXX_SL_SR,bs_maxilla_NL_SXX_B_F,bs_noseRoot_NN_XXX_N_W,bs_incisorLower_NR_XMX_SL_SR,bs_zygomaxilla_NL_XXX_R_A,bs_zygomaxilla_NL_XXX_B_F,bs_maxilla_NL_SXX_R_A,bs_nose_NN_XXX_D_U,bs_mandible_NR_XXP_D_U,bs_incisor_NL_XMX_SL_SR,fl_eyes_NR_XXX_B_F,bs_incisor_NL_ILX_R,bs_molars_NL_XXX_D_U,bs_incisor_NR_XLX_N_W,ca_ears_NR_XXX_SL_SR,bs_brow_NR_SMX_R_A,bs_brow_NN_XMX_B_F,bs_canine_NR_XXX_SL_SR,bs_skull_NN_SXX_F,bs_mandible_NR_SXA_N_W,bs_brow_NL_SMX_R_A,fl_eyes_NR_XXX_N_W,ca_laryngeal_NN_XXX_D_U,bs_molars_NR_XXX_D_U,bs_skull_NN_XXP_D_U,bs_chin_NN_SXX_R_A,bs_mandible_NL_XXP_D_U,bs_forehead_NN_XXX_N_W,bs_nose_NN_XXX_SL_SR,fl_eyes_NL_XXX_B_F,bs_orbits_NR_SXX_N_W,bs_chin_NN_SXX_B_F,bs_noseBridge_NN_XXX_D_U,bs_orbits_NR_XXX_D_U,fl_eyes_NL_XXX_R_A,bs_mandible_NR_IXA_D_U,bs_mandible_NL_SXA_R_A,bs_teeth_NN_XXX_N_W,bs_brow_NL_SMX_B_F,bs_brow_NR_XLX_D_U,bs_maxilla_NR_SXX_N_W,bs_incisor_NL_ILX_D_U,bs_mandible_NL_SXA_B_F,bs_canine_NL_IXX_D_U,ca_laryngeal_NN_XXX_SL_SR,bs_brow_NR_SMX_N_W,bs_incisorLower_NL_XMX_U,bs_zygomaxilla_NR_XXX_N_W,ca_ears_NR_XXX_B_F,bs_incisorLower_NR_XLX_SL_SR,bs_canine_NR_XXX_D_U,bs_orbits_NL_SXX_R_A,bs_skull_NN_XXP_B_F,bs_incisor_NR_ILX_R,bs_incisorLower_NL_XMX_SL_SR,bs_teeth_NN_XXA_N_W,bs_mandible_NL_SXA_D_U,bs_mandible_NR_SXA_R_A,bs_mandible_NL_XXP_B_F,bs_brow_NN_XMX_N_W,fl_eyes_NL_XXX_D_U,bs_skull_NN_SXX_SL_SR,bs_teeth_NN_XXA_D_U,bs_noseBridge_NN_XXX_B_F,bs_brow_NR_XLX_B_F,ca_ears_NR_XXX_D_U,bs_skull_NN_SXX_D_U,fl_eyes_NL_XXX_N_W,bs_noseRoot_NN_XXX_R_A,bs_incisorLower_NR_XMX_U,bs_zygomaxilla_NL_XXX_N_W,bs_brow_NR_SMX_D_U,bs_incisor_NL_IMX_D_U,ca_adamsapple_NN_XXX_SL_SR,bs_nose_NN_XXX_R_A,bs_incisorLower_NR_SLX_D_U,bs_maxilla_NL_SXX_D_U,bs_mandible_NR_XXP_R_A,bs_maxilla_NR_SXX_R_A,assetid,fc_neck_restore,fc_mouthbag_restore
-18,17,10,3,-7,-17,0,40,-2,51,-13,69,-38,-34,0,-85,26,46,29,-43,67,-52,0,-5,0,50,-27,0,-16,0,0,-2,6,0,36,-29,0,-38,0,0,-90,0,0,-17,0,0,0,-61,-8,6,-50,0,-8,-1,2,-38,58,0,-49,40,30,81,55,-3,-8,10,0,39,1,8,7,16,-26,0,-57,41,0,-15,0,0,100,42,0,31,0,0,-12,-24,0,-30,-9,7,-35,-84,-35,2,4,0,-23,-2,-75,1,-10,18,-43,70,-5,-51,10,100,1,-23,0,-65,0,10,-78,-31,0,12,1,-1,-48,1,22,-39,-24,-2,-22,-8,0,-32,0,33,-44,-2,75,47,-28,-5,-45,-8,4,-82,-3,-22,-49,-8,2,8,-33,-12,-45,44,0,21,-48,-19,-4,-48,0,-48,0,-2,0,-63,-8,-50,0,0,-37,-4,-8,4,-1,-5,63,-48,-45,-9,-54,18,-67,21,-27,-91,-13,9,-56,13,-38,10,-2,62,2,-6,-2,0,23,-21,0,2,-11,-8,0,2,7,-48,4,46,-39,-62,24,-7,28,18,-54,-4,-6,-12,0,25,8,-2,4,1,1,35,-6,-17,70106,0,100
-10,-7,-9,-20,21,28,0,-11,16,11,-19,25,19,-16,0,-36,-6,-18,23,-48,14,-21,0,-24,0,1,-13,-1,-16,0,3,1,-3,0,38,-10,-1,-40,0,0,-38,3,1,33,0,2,0,-14,36,11,3,0,-12,-2,1,40,16,0,0,38,9,30,18,6,-23,8,0,-13,2,11,20,-1,13,0,52,-11,1,13,0,0,-34,-5,0,19,0,0,14,-47,0,-22,-2,-12,13,-7,-29,0,-20,0,-26,-24,21,2,14,-15,-4,50,-1,-20,3,-43,0,-6,-1,-31,0,5,-25,-12,0,36,3,1,-27,2,1,22,12,12,-3,2,0,15,0,19,-17,1,-12,48,-3,-1,-7,-36,1,-20,-24,-5,-3,-5,8,-10,-97,-22,-9,-36,0,1,-1,-4,43,9,2,-6,0,2,2,-58,1,-5,0,0,-41,-4,-37,-2,0,0,52,11,-11,6,0,58,-46,10,-1,-31,17,-8,-43,-14,-100,-27,-1,45,2,-3,-6,0,-60,-12,0,3,-28,-8,0,1,4,1,-14,-17,-46,-23,-1,3,-21,11,-30,33,-35,17,0,-61,-23,3,2,1,1,37,-1,-4,70857,0,100
11,-6,72,33,7,29,0,-31,5,-8,-25,9,-12,-3,2,-10,-6,70,47,19,68,-39,0,-70,0,-26,-7,3,23,0,0,-3,1,0,63,-33,1,-25,0,0,-11,2,-2,-25,0,0,0,-48,-28,41,14,-1,61,1,0,56,63,0,-19,38,4,11,-15,0,-17,-65,0,-34,0,-47,67,70,3,0,48,38,-1,32,0,0,-20,35,0,26,0,0,24,39,0,15,-30,7,-12,-58,-16,0,-4,0,-24,-64,21,3,38,0,-19,39,-4,12,-47,-12,5,-4,1,15,0,8,10,-30,0,34,1,0,-63,4,-3,-8,16,36,21,19,0,-4,0,79,-38,-1,48,35,-20,-5,6,-43,5,10,-21,-2,-55,16,-1,5,-28,3,-4,14,1,-9,-39,25,14,-43,3,18,0,2,0,-34,-52,1,-1,0,-58,-54,-65,-4,3,4,-2,-47,27,-1,22,10,-28,22,-19,-11,22,12,-46,-9,-39,26,0,36,2,-2,33,0,45,-9,-1,0,-21,-6,0,3,2,-23,6,69,-100,-35,6,-2,16,-40,24,14,-61,16,0,38,-11,-3,4,10,4,61,-30,23,71170,0,100
-29,14,35,-52,4,7,0,-9,-22,36,-43,-9,58,-62,1,-28,33,-4,45,-11,7,-3,0,-46,0,69,-16,13,-28,0,2,0,1,0,29,-12,-1,-78,0,0,-26,2,0,-31,0,1,0,-11,-35,19,45,1,-14,-1,4,-19,-5,0,-15,42,13,4,36,20,-49,-11,0,-48,1,-5,49,30,2,0,10,-18,1,2,0,0,-20,-23,0,19,0,0,12,7,0,-48,-3,-35,-14,-3,-63,0,-23,0,-31,-55,63,2,3,-41,-57,14,0,-54,-22,-18,1,-16,0,-12,0,7,-29,-16,0,78,1,0,-51,1,11,-11,4,43,13,52,0,-13,1,-19,-62,2,-60,31,-8,-13,-15,-31,3,-39,-60,-4,-11,20,6,-2,-14,-5,-20,-12,-3,11,-68,19,18,-31,1,-42,0,0,1,-71,12,-26,0,0,-40,19,-23,7,1,-14,72,-29,17,-4,-29,33,-77,20,-16,-46,3,-21,-41,-14,-31,-52,-1,8,0,-3,12,0,-57,-17,1,2,-58,1,0,-2,6,-14,-28,-4,-100,0,2,0,-48,-2,-5,-12,-29,27,0,-45,-25,2,2,-1,-1,25,-1,15,72852,0,100
19,23,-20,-15,2,0,0,-14,-2,7,-45,14,9,-28,0,-22,19,19,10,-12,-4,-14,0,-80,0,0,-33,-2,8,0,2,-3,2,0,54,-8,-1,-54,0,0,-23,1,1,43,0,0,0,-41,34,10,7,0,-8,-1,1,22,1,0,28,19,19,13,6,11,-44,-9,0,-66,1,7,23,-15,-10,0,19,0,1,9,-1,0,-33,0,0,33,0,0,-6,-14,1,-25,-10,8,-9,-41,-34,0,-56,0,-14,-29,32,0,-27,-11,-33,56,0,-35,-29,-43,0,-1,-2,0,0,7,-23,-9,0,-8,1,-1,-10,1,-10,23,3,11,-6,2,0,25,0,52,-44,0,-62,24,-36,-9,34,-21,3,-30,-40,19,-44,-10,6,7,-39,-3,25,-13,-1,25,-50,12,18,-23,1,-42,0,-1,1,-58,-26,21,0,0,-67,-12,-30,5,0,-7,30,-23,-4,-10,-39,25,-38,1,-27,-33,-4,-50,-43,-10,-38,-24,0,58,0,-3,-42,0,-19,-34,0,0,-42,8,0,-1,4,24,-58,19,28,-16,12,-5,-5,-18,0,6,-24,17,0,-33,-52,0,1,6,0,55,-11,9,72992,0,100
10,40,-18,-75,17,25,0,-18,5,2,-28,-18,83,-15,1,-36,35,43,10,-22,-12,34,0,0,0,22,-27,-4,24,0,3,-4,9,0,50,-2,0,-32,0,0,18,3,1,31,0,3,0,-46,36,22,5,2,7,0,2,41,-12,0,29,43,26,-12,0,13,-30,-56,0,-72,0,-66,42,-13,9,0,52,11,1,32,0,0,-81,8,0,39,0,0,-20,-34,1,-4,-45,-3,-14,6,-49,0,-14,0,-9,-58,84,3,-75,-27,-57,27,12,-15,-45,-81,0,-1,-1,39,0,10,-4,-5,0,-2,0,0,-51,2,-7,4,18,-3,-9,11,0,5,0,44,-77,0,-14,46,5,13,-10,-33,6,-3,-50,-1,-37,5,2,26,-33,19,-9,-23,0,32,-81,42,49,1,4,-42,0,0,1,-28,13,-21,0,0,-10,23,-48,10,0,-26,42,1,-4,29,-48,41,-56,9,-3,-41,-26,3,-100,8,-35,-87,-1,17,1,-3,-61,0,-50,-27,0,2,-39,27,0,0,6,30,1,43,-3,36,20,-6,-1,-20,45,-24,-45,36,0,-44,-8,-1,6,26,0,56,-46,41,74500,0,100
26,14,35,2,9,8,0,-18,13,5,-6,19,58,-40,1,-14,-2,3,-6,-20,-2,-27,0,-63,0,7,-16,-19,31,0,3,1,-5,0,71,-31,0,-50,0,0,-16,3,4,27,0,3,0,-10,25,13,19,1,-26,0,2,26,0,0,-16,34,16,32,9,11,-20,19,0,44,4,17,15,23,4,0,23,3,1,9,2,0,42,-17,0,19,0,0,35,-25,1,-34,10,-6,-24,-28,-18,0,-37,0,-28,-36,44,4,14,-7,-7,16,0,-40,11,67,5,0,-1,34,0,9,-5,-33,0,14,4,1,-61,5,-20,0,-17,-8,-19,-5,0,1,2,17,-36,2,-22,42,-11,5,-20,-27,3,-10,-31,-18,-11,100,5,-2,-82,-21,-14,25,-1,17,-29,13,85,21,4,-6,0,1,2,-56,1,-24,0,0,-62,0,-1,10,3,11,60,27,2,22,7,57,-71,36,-15,-9,15,-46,-33,1,-86,3,0,15,3,-2,7,0,-24,-17,0,2,-30,-11,0,-2,10,-13,-41,3,-35,-23,1,3,-51,-14,36,4,-5,10,0,-12,-30,3,2,-10,1,67,14,14,75087,0,100
-11,4,12,-43,-5,-27,0,58,-16,8,-43,26,80,-58,1,-17,18,-8,17,-14,12,-11,0,-90,0,27,-35,58,8,0,3,2,0,0,52,-42,-1,-100,0,0,-18,7,3,-7,0,6,0,-20,-6,12,-41,5,-5,-1,3,-51,6,0,31,36,30,38,4,35,-32,-11,0,-64,1,-17,54,28,-2,0,-35,-14,5,-31,4,0,2,-11,0,55,0,0,5,-11,3,-20,-1,-24,-19,-40,-22,-2,-58,0,-33,-58,60,4,-62,-36,-10,37,-6,-75,-33,11,6,1,-2,38,0,7,0,-46,0,86,6,1,-49,1,60,80,-1,27,49,12,0,73,0,47,-100,3,-25,44,-15,-2,35,-29,2,-4,-57,-43,-17,-25,5,14,-7,20,22,-45,-2,5,-100,25,76,35,2,-37,0,2,1,-100,9,-33,-1,0,-100,15,-14,13,5,0,69,30,-54,13,-30,48,-69,21,-17,-36,12,-21,-60,-15,-26,-62,2,39,4,0,-73,0,24,-30,0,6,-60,-27,0,-1,4,28,-22,-8,58,-8,23,7,-42,55,32,7,-11,50,0,39,-66,5,1,-2,2,52,-1,26,75355,0,100
-18,13,-4,-7,13,-36,0,37,93,-28,-58,-38,56,-11,1,-29,49,-6,14,-46,80,-21,0,-39,0,4,-7,68,-23,0,4,2,4,0,44,-34,0,-100,0,0,-48,3,2,62,0,4,0,0,65,-7,-21,3,16,-1,1,-35,78,0,-10,27,18,-34,-20,1,-48,-18,0,-29,2,-22,14,-5,-29,0,-1,10,3,-44,2,0,-23,15,0,48,0,0,27,-46,3,-10,-26,-19,-5,28,-46,0,-29,0,2,-49,61,3,-64,3,-33,58,0,-2,35,-42,3,-20,-1,100,0,5,-50,-40,0,22,4,2,-76,1,69,7,-12,25,-23,17,0,1,-1,8,-64,5,-32,74,12,12,35,0,2,-62,-62,12,10,-25,-6,1,30,6,35,31,0,17,-52,14,47,45,3,-37,0,1,1,-70,-4,37,0,0,-49,6,-74,0,1,-25,63,49,39,23,-20,58,-49,-3,5,-28,23,-52,-68,89,18,9,2,45,3,-6,-65,0,7,-11,0,4,-68,-3,0,0,5,-8,-58,-6,-63,-18,8,7,-35,46,94,-8,-71,26,0,29,-28,3,7,16,2,47,-29,12,76040,0,100
-2,13,-30,-66,4,-1,0,16,0,57,-32,17,58,-39,0,0,-5,-21,25,73,-37,-16,0,-77,0,-45,-2,1,-11,0,3,3,0,0,46,1,0,-52,0,0,-26,2,0,19,0,2,0,-43,21,11,-13,2,2,0,0,-24,-37,0,-31,9,18,12,52,18,-35,-3,0,-33,0,6,15,-43,-2,0,6,-9,2,-9,0,0,-32,-13,0,8,0,0,16,85,1,-44,6,0,-47,-8,-55,-2,-62,0,-24,-62,51,2,-92,-8,-43,45,-5,-36,-24,18,0,-28,-2,51,0,0,6,9,0,-31,2,1,-48,0,6,44,20,67,-2,65,0,28,0,-28,-38,3,-68,33,-6,11,25,-54,0,9,-73,-25,-27,4,9,-8,-32,-19,6,-79,-2,16,-38,8,34,26,2,-52,0,1,0,-64,65,-22,0,0,-67,57,-67,2,3,20,58,28,3,20,-41,27,-48,4,2,-5,11,-41,-69,33,-64,-83,1,27,0,-3,-100,0,9,-2,1,2,-77,-9,0,0,-1,-31,-46,-24,-3,-22,11,9,6,27,52,18,-66,17,0,18,-51,2,0,-12,1,37,2,15,76245,0,100
