stadiumname,swapcrowdplacement,stadiumid,teamid,forcedhome
Emirates Stadium,0,156,1,0
Villa Park,0,115,2,0
Ewood Park,0,496,3,0
_Sanderson Park,0,261,4,0
Stamford Bridge,0,28,5,0
Goodison Park,0,265,7,0
Elland Road,0,432,8,0
Anfield,0,13,9,0
Etihad Stadium,0,246,10,0
Old Trafford,0,1,11,0
Riverside Stadium,0,349,12,0
St. James' Park,0,100,13,0
The City Ground,0,449,14,0
MATRADE Loftus Road Stadium,0,337,15,0
St. Mary's Stadium,0,113,17,0
Tottenham Hotspur Stadium,0,409,18,0
London Stadium,0,355,19,0
_Sanderson Park,0,261,21,0
Signal Iduna Park,0,9,22,0
BORUSSIA-PARK,0,343,23,0
Europa-Park Stadion,0,447,25,0
_Stadion Neder,0,178,27,0
Volksparkstadion,0,41,28,0
_Stadion Europa,0,147,29,0
RheinEnergieStadion,0,423,31,0
BayArena,0,12,32,0
_Town Park,0,34,33,0
VELTINS-Arena,0,30,34,0
MHPArena,0,418,36,0
Weserstadion,0,413,38,0
Allianz Stadium,0,247,45,0
_Stadion Olympik,0,195,48,0
_Arena d'Oro,0,229,50,0
_Stadion Olympik,0,195,52,0
_Sanderson Park,0,261,54,0
Bluenergy Stadium,0,482,55,0
_Forest Park Stadium (Square Ground),0,26,57,0
_Town Park,0,34,58,0
_Court Lane,0,228,62,0
Stade Bollaert-Delelis,0,488,64,0
Decathlon Arena,0,477,65,0
Groupama Stadium,0,426,66,0
_Euro Park,0,35,67,0
_Forest Park Stadium (Square Ground),0,26,68,0
_Union Park (Euro Arena),0,33,69,0
_Forest Park Stadium (Square Ground),0,26,70,0
_Estadio de las Artes,0,158,71,0
_Waldstadion (Fussballstadion),0,176,72,0
Parc des Princes,0,14,73,0
_Stade Municipal,0,179,74,0
_Stade Municipal,0,179,76,0
_Ivy Lane,0,180,77,0
Celtic Park,0,480,78,0
_Ivy Lane,0,180,80,0
_Ivy Lane,0,180,81,0
_Ivy Lane,0,180,82,0
_Ivy Lane,0,180,83,0
Ibrox Stadium,0,479,86,0
_Ivy Lane,0,180,88,0
_Forest Park Stadium (Square Ground),0,26,89,0
_Molton Road (Sheldon Stadium),0,249,91,0
_Town Park,0,34,92,0
Portman Road,0,350,94,0
King Power Stadium,0,335,95,0
_Ivy Lane,0,180,97,0
Stadium of Light,0,326,106,0
The Hawthorns,0,327,109,0
Molineux Stadium,0,415,110,0
,0,158,111,0
,0,158,112,0
_Court Lane,0,228,121,0
_Court Lane,0,228,127,0
_Molton Road (Sheldon Stadium),0,249,142,0
_Town Park,0,34,143,0
Craven Cottage,0,328,144,0
_Crown Lane,0,32,149,0
SchücoArena,0,454,159,0
Vonovia Ruhrstadion,0,473,160,0
_Court Lane,0,228,162,0
Sportpark Ronhof Thomas Sommer,0,474,165,0
Olympiastadion,0,135,166,0
MEWA ARENA,0,414,169,0
Max-Morlock-Stadion,0,422,171,0
_Town Park,0,34,172,0
Volkswagen Arena,0,406,175,0
_Court Lane,0,228,180,0
_Court Lane,0,228,181,0
_Union Park (Euro Arena),0,33,189,0
_Waldstadion (Fussballstadion),0,176,191,0
_Town Park,0,34,205,0
_Sanderson Park,0,261,206,0
_Stadion Neder,0,178,209,0
_Stade Municipal,0,179,210,0
_Union Park (Euro Arena),0,33,211,0
_Molton Road (Sheldon Stadium),0,249,217,0
Orange Vélodrome,0,29,219,0
_Stade Municipal,0,179,229,0
_Forest Park Stadium (Square Ground),0,26,230,0
_Ivy Lane,0,180,231,0
_Waldstadion (Fussballstadion),0,176,232,0
Estádio do SL Benfica,0,457,234,0
Estádio do Dragão,0,456,236,0
Estádio José Alvalade,0,486,237,0
Riyadh Air Metropolitano,0,364,240,0
_El Libertador (La Bombastico),0,192,241,0
_Waldstadion (Fussballstadion),0,176,242,0
Estadio Santiago Bernabéu,0,2,243,0
_El Libertador (La Bombastico),0,192,244,0
Johan Cruijff ArenA,0,15,245,0
De Kuip,0,487,246,0
Philips Stadion,0,463,247,0
_Stadion Neder,0,178,252,0
_Stadion Europa,0,147,254,0
_Stade Municipal,0,179,256,0
_Stadio Classico,0,193,260,0
_Stadion Hanguk,0,196,263,0
_Stade Municipal,0,179,266,0
_Waldstadion (Fussballstadion),0,176,267,0
_Waldstadion (Fussballstadion),0,176,269,0
_Court Lane,0,228,270,0
_Union Park (Euro Arena),0,33,271,0
_Waldstadion (Fussballstadion),0,176,278,0
_Waldstadion (Fussballstadion),0,176,280,0
_Stadion Neder,0,178,294,0
_Forest Park Stadium (Square Ground),0,26,298,0
_Crown Lane,0,32,299,0
_Molton Road (Sheldon Stadium),0,249,300,0
_Stadion Neder,0,178,301,0
_Town Park,0,34,305,0
_Town Park,0,34,306,0
_Sanderson Park,0,261,308,0
_Molton Road (Sheldon Stadium),0,249,310,0
_Stadion Neder,0,178,319,0
_Stade Municipal,0,179,320,0
_Town Park,0,34,321,0
_Union Park (Euro Arena),0,33,322,0
_Stadion Neder,0,178,324,0
RAMS Park,0,494,325,0
Ülker Stadyumu,0,495,326,0
_Waldstadion (Fussballstadion),0,176,327,0
_Stadio Classico,0,193,347,0
_Town Park,0,34,357,0
_Town Park,0,34,361,0
_Crown Lane,0,32,378,0
_Stade Municipal,0,179,379,0
_Longville Stadium,0,469,381,0
_Estadio de las Artes,0,158,383,0
_Stadio Classico,0,193,393,0
_Stadion Neder,0,178,417,0
_Town Park,0,34,418,0
_Waldstadion (Fussballstadion),0,176,420,0
_Town Park,0,34,423,0
_Waldstadion (Fussballstadion),0,176,433,0
_Sanderson Park,0,261,436,0
_Town Park,0,34,445,0
Estadio San Mamés,0,388,448,0
Estadio Benito Villamarín,0,392,449,0
Estadio ABANCA-Balaídos,0,394,450,0
RCDE Stadium,0,393,452,0
Estadi Mallorca Son Moix,0,440,453,0
_Stade Municipal,0,179,456,0
Reale Arena,0,397,457,0
_Stade Municipal,0,179,459,0
Estadio Mestalla,0,10,461,0
Estadio José Zorrilla,0,427,462,0
Estadio de Mendizorroza,0,399,463,0
Municipal de Ipurua,0,395,467,0
Estadio Martínez Valero,0,465,468,0
Estadio de Gran Canaria,0,391,472,0
Estadio El Sadar,0,437,479,0
Estadio de Vallecas,0,429,480,0
