competitionid,awayteamleaguepos,hometeamleaguepos,hometeamid,homeleagueid,awayteamform,hometeammatchesplayed,awayteammatchesplayed,stadiumid,fixturedate,fixtureid,fixturetime,awayteamid,hometeamform,awayleagueid
65,7,3,305,65,12010,23,23,34,161708,173100,71100,1571,20211,65
65,2,9,563,65,12222,23,23,34,161709,173103,71100,445,20211,65
65,4,3,305,65,2102,23,25,34,161729,173110,71100,1572,20211,65
65,2,1,306,65,12222,25,23,34,161729,173112,72000,445,22021,65
65,5,9,563,65,20112,23,25,34,161730,173113,71100,834,20211,65
65,6,8,753,65,11,23,25,33,161729,173114,71100,423,2100,65
39,17,16,112996,39,0,17,20,458,161707,174319,70200,694,0,39
39,14,19,114640,39,0,20,19,193,161709,174391,66600,112828,0,39
39,6,3,113149,39,0,20,20,147,161709,174392,70200,687,0,39
39,5,10,112893,39,0,16,20,32,161709,174393,70200,114162,0,39
39,29,8,112606,39,0,20,20,180,161709,174394,70200,111139,0,39
39,11,1,112134,39,0,20,20,26,161709,174395,70200,689,0,39
39,27,26,111651,39,0,19,19,32,161709,174396,70200,112885,0,39
39,20,18,114161,39,0,20,18,249,161709,174397,70200,691,0,39
39,12,23,696,39,0,20,19,178,161709,174399,70200,111144,0,39
39,15,7,111138,39,0,20,20,196,161709,174400,70200,111928,0,39
39,4,17,694,39,0,20,19,33,161709,174401,70200,101112,0,39
39,21,24,111065,39,0,19,20,32,161709,174402,70200,698,0,39
39,25,30,697,39,0,20,20,161,161709,174403,70200,688,0,39
39,22,16,112996,39,0,17,19,458,161709,174404,70200,695,0,39
39,10,20,691,39,0,18,16,196,161707,174620,70200,112893,0,39
39,9,28,113018,39,0,20,19,178,161710,174638,64800,111140,0,39
